date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_h,season_pa,season_g,pa_g,n_eff,f_bat,f_pit,f_park,h_pa,p,p2,odds_dk,odds_mgm,odds_czr,odds2_dk,odds2_mgm,odds2_czr,fair,fair2,odds_dk_u
2026-09-24,824298,672515,Gabriel Moreno,Arizona Diamondbacks,Colorado Rockies,0,Tanner Gordon,685299,R,143,535,127,4.21,3.96,1.13,1.13,1.07,0.29755,75.3,33.9,-411,-450,-480,134,115,132,-305,+195,
2026-09-24,824298,606466,Ketel Marte,Arizona Diamondbacks,Colorado Rockies,0,Tanner Gordon,685299,R,136,606,137,4.42,4.15,1.02,1.13,1.07,0.26812,72.6,31.0,-399,-375,,137,138,132,-265,+223,
2026-09-24,823411,694192,Jackson Chourio,Milwaukee Brewers,Philadelphia Phillies,0,Andrew Painter,691725,R,145,561,123,4.56,4.29,1.11,1.04,1.0,0.25038,71.0,29.3,-221,-250,-235,250,200,205,-245,+241,164
2026-09-24,824866,686948,Drake Baldwin,Atlanta Braves,Cincinnati Reds,1,Brady Singer,663903,R,151,601,135,4.45,4.18,1.1,1.07,1.0,0.25408,70.6,28.8,-260,-275,-250,210,195,181,-240,+247,192
2026-09-24,824623,672640,Otto Lopez,Miami Marlins,Chicago Cubs,0,Matthew Boyd,571510,L,187,674,154,4.38,4.12,1.18,1.01,1.0,0.25659,70.5,28.6,-215,-250,-235,251,210,198,-239,+250,160
2026-09-24,824298,672695,Geraldo Perdomo,Arizona Diamondbacks,Colorado Rockies,0,Tanner Gordon,685299,R,141,660,153,4.31,4.05,0.99,1.13,1.07,0.26018,70.5,28.5,-315,-325,-325,172,160,171,-239,+251,
2026-09-24,823411,650333,Luis Arraez,Philadelphia Phillies,Milwaukee Brewers,1,TBD,,,185,652,150,4.35,4.09,1.19,1.0,1.0,0.25823,70.5,28.6,-241,-295,-240,229,225,195,-239,+250,178
2026-09-24,824298,682998,Corbin Carroll,Arizona Diamondbacks,Colorado Rockies,0,Tanner Gordon,685299,R,136,654,152,4.3,4.04,0.98,1.13,1.07,0.25591,69.7,27.6,-318,-300,-325,166,165,168,-230,+262,
2026-09-24,823326,693304,Nick Gonzales,Pittsburgh Pirates,St. Louis Cardinals,1,Kyle Leahy,681517,R,163,596,145,4.11,3.86,1.16,1.05,1.01,0.26536,69.6,27.2,-274,-250,-245,206,210,188,-229,+268,201
2026-09-24,824866,671739,Michael Harris II,Atlanta Braves,Cincinnati Reds,1,Brady Singer,663903,R,167,608,152,4.0,3.76,1.16,1.07,1.0,0.2693,69.3,26.7,-287,-275,-320,203,200,181,-226,+275,
2026-09-24,824298,664983,Jake McCarthy,Colorado Rockies,Arizona Diamondbacks,1,Eduardo Rodriguez,593958,L,157,580,143,4.06,3.82,1.15,1.0,1.07,0.26548,69.2,26.7,-399,-325,-420,137,155,141,-225,+275,
2026-09-24,824950,670541,Yordan Alvarez,Houston Astros,Athletics,0,Mason Barnett,686930,R,174,673,154,4.37,4.11,1.12,1.02,1.0,0.24853,69.1,27.1,-378,-350,-420,138,150,142,-224,+269,
2026-09-24,822842,673962,Josh Jung,Texas Rangers,New York Mets,1,Zac Thornton,804267,L,116,439,102,4.3,4.04,1.11,1.02,1.01,0.24908,68.6,26.4,-260,-275,-250,217,195,191,-218,+279,192
2026-09-24,824298,571448,Nolan Arenado,Arizona Diamondbacks,Colorado Rockies,0,Tanner Gordon,685299,R,130,581,148,3.93,3.69,1.02,1.13,1.07,0.26755,68.3,25.6,-256,-295,-250,207,180,184,-215,+291,189
2026-09-24,823326,665833,Oneil Cruz,Pittsburgh Pirates,St. Louis Cardinals,1,Kyle Leahy,681517,R,100,410,94,4.36,4.1,1.06,1.05,1.01,0.24396,68.2,26.2,-177,-190,-176,322,270,280,-214,+282,132
2026-09-24,824866,682829,Elly De La Cruz,Cincinnati Reds,Atlanta Braves,0,Tyler Mahle,641816,R,155,618,139,4.45,4.18,1.1,1.01,1.0,0.23992,68.2,26.3,-195,-210,-200,293,250,240,-214,+280,145
2026-09-24,824707,678882,Ceddanne Rafaela,Boston Red Sox,Cleveland Guardians,1,Daniel Espino,682982,R,152,570,136,4.19,3.94,1.14,0.99,1.03,0.25202,68.1,25.9,,,,,,,-213,+286,
2026-09-24,824059,677951,Bobby Witt Jr.,Kansas City Royals,Chicago White Sox,1,David Sandlin,689818,R,153,615,139,4.42,4.15,1.09,1.0,1.02,0.24027,68.0,26.1,-281,-295,-295,196,180,177,-213,+283,
2026-09-24,824298,681198,TJ Rumfield,Colorado Rockies,Arizona Diamondbacks,1,Eduardo Rodriguez,593958,L,159,621,152,4.09,3.84,1.11,1.0,1.07,0.25691,68.0,25.6,-248,-235,-250,228,220,188,-213,+291,183
2026-09-24,823326,664040,Brandon Lowe,Pittsburgh Pirates,St. Louis Cardinals,1,Kyle Leahy,681517,R,150,643,147,4.37,4.11,1.05,1.05,1.01,0.24021,67.7,25.7,-181,-185,-182,324,300,270,-210,+289,136
2026-09-24,823411,661388,William Contreras,Milwaukee Brewers,Philadelphia Phillies,0,Andrew Painter,691725,R,151,628,144,4.36,4.1,1.07,1.04,1.0,0.24012,67.6,25.5,-193,-225,-200,283,230,240,-209,+292,144
2026-09-24,824866,643289,Mauricio Dubón,Atlanta Braves,Cincinnati Reds,1,Brady Singer,663903,R,154,607,150,4.05,3.81,1.1,1.07,1.0,0.25575,67.5,25.1,-230,-225,-235,259,230,210,-208,+298,170
