date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_hr,season_pa,exp_pa,f_bat,f_platoon,f_arsenal,f_pit,f_park,f_wind,f_temp,wind,hr_pa,p,odds_dk,odds_mgm,odds_czr,fair,played,pa_actual,hr_actual,hr_yes,graded_at
2026-08-12,823017,676475,Alec Burleson,St. Louis Cardinals,Philadelphia Phillies,1,Zack Wheeler,554430,R,19,505,4.2,1.17,1.15,,1.02,0.94,1.22,,WIND 11 OUT,,18.7,650,,500,+435,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,822698,673548,Seiya Suzuki,Chicago Cubs,Washington Nationals,0,Jackson Kent,800600,L,20,448,4.4,1.32,1.13,,1.0,1.0,1.0,,,,18.6,346,310,330,+438,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,823994,545361,Mike Trout,Los Angeles Angels,Texas Rangers,1,Cal Quantrill,615698,R,20,451,4.5,1.32,1.07,,1.02,1.02,1.0,,,,18.5,325,250,320,+441,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,823187,665161,Jeremy Peña,Houston Astros,San Francisco Giants,0,Adrian Houser,605288,R,13,318,4.4,1.21,1.14,,1.05,0.91,1.12,,WIND 6 OUT,,18.4,780,625,750,+443,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,824562,682829,Elly De La Cruz,Cincinnati Reds,Chicago White Sox,0,Luis Castillo,622491,R,20,444,4.5,1.33,0.96,,1.07,1.05,1.0,,,,18.2,335,340,320,+449,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823263,641343,Jake Bauers,Milwaukee Brewers,San Diego Padres,0,Robbie Ray,592662,L,21,425,4.0,1.42,0.98,,0.99,0.98,1.18,,WIND 9 OUT,,18.1,512,425,475,+452,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,823263,592518,Manny Machado,San Diego Padres,Milwaukee Brewers,1,Dustin May,669160,R,23,500,4.2,1.36,1.12,,0.86,0.98,1.18,,WIND 9 OUT,,18.1,429,380,425,+452,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,822698,691718,Pete Crow-Armstrong,Chicago Cubs,Washington Nationals,0,Jackson Kent,800600,L,27,532,4.4,1.48,0.97,,1.0,1.0,1.0,,,,18.0,286,280,265,+456,1,6,0,0,2026-08-13T05:31:35Z
2026-08-12,823511,665862,Jazz Chisholm Jr.,New York Yankees,Seattle Mariners,1,Bryce Miller,682243,R,17,435,4.0,1.19,1.1,,1.11,1.08,1.0,,,,17.9,387,300,370,+459,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,824562,678246,Miguel Vargas,Chicago White Sox,Cincinnati Reds,1,Rhett Lowder,695076,R,25,513,4.4,1.43,0.99,,0.97,1.05,1.0,,,,17.9,369,390,350,+459,0,0,0,0,2026-08-13T05:31:35Z
2026-08-12,823187,572233,Christian Walker,Houston Astros,San Francisco Giants,0,Adrian Houser,605288,R,22,484,4.1,1.35,1.06,,1.05,0.91,1.12,,WIND 6 OUT,,17.8,,,,+462,0,0,0,0,2026-08-13T05:31:35Z
2026-08-12,823833,699013,Esmerlyn Valdez,Pittsburgh Pirates,Miami Marlins,0,Janson Junk,676083,R,14,200,3.9,1.65,1.02,,1.04,0.92,1.0,,,,17.8,451,450,425,+462,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823511,502671,Paul Goldschmidt,New York Yankees,Seattle Mariners,1,Bryce Miller,682243,R,16,328,3.8,1.37,0.98,,1.11,1.08,1.0,,,,17.5,,,,+471,0,0,0,0,2026-08-13T05:31:35Z
2026-08-12,823994,592626,Joc Pederson,Texas Rangers,Los Angeles Angels,0,George Klassen,691946,R,22,360,3.3,1.65,1.14,,0.97,1.02,1.0,,,,17.5,293,270,265,+471,1,3,0,0,2026-08-13T05:31:35Z
2026-08-12,825047,606466,Ketel Marte,Arizona Diamondbacks,Colorado Rockies,1,Ryan Feltner,663372,R,21,509,4.4,1.25,0.9,,1.19,1.01,1.0,,ROOF,,17.1,513,400,475,+485,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,824241,693307,Dillon Dingler,Detroit Tigers,Cleveland Guardians,1,Foster Griffin,656492,L,26,466,4.2,1.58,0.87,,1.09,0.95,1.0,,,,17.1,510,360,500,+485,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,824967,683748,Victor Mesa Jr.,Tampa Bay Rays,Athletics,0,Jack Perkins,678022,R,10,169,3.2,1.43,1.16,,1.12,1.0,1.0,,,,17.0,446,340,390,+488,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,825047,682998,Corbin Carroll,Arizona Diamondbacks,Colorado Rockies,1,Ryan Feltner,663372,R,17,507,4.3,1.07,1.07,,1.19,1.01,1.0,,ROOF,,17.0,407,390,390,+488,1,5,1,1,2026-08-13T05:31:35Z
2026-08-12,822698,682928,CJ Abrams,Washington Nationals,Chicago Cubs,1,David Peterson,656849,L,29,503,4.3,1.64,0.92,,0.92,1.0,1.0,,,,17.0,507,425,475,+488,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,825047,571448,Nolan Arenado,Arizona Diamondbacks,Colorado Rockies,1,Ryan Feltner,663372,R,18,442,3.9,1.23,1.02,,1.19,1.01,1.0,,ROOF,,16.9,610,525,575,+492,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,823916,571970,Max Muncy,Los Angeles Dodgers,Kansas City Royals,1,Daniel Lynch IV,663738,L,22,415,3.8,1.5,1.09,,0.86,1.1,1.0,,,,16.8,359,333,350,+495,1,3,0,0,2026-08-13T05:31:35Z
2026-08-12,823511,642708,Amed Rosario,New York Yankees,Seattle Mariners,1,Bryce Miller,682243,R,10,197,3.2,1.33,1.14,,1.11,1.08,1.0,,,,16.7,,,,+499,1,1,0,0,2026-08-13T05:31:35Z
2026-08-12,824883,686948,Drake Baldwin,Atlanta Braves,New York Mets,1,Zac Thornton,804267,L,20,432,4.5,1.35,1.01,,0.93,1.02,1.0,,,,16.7,433,390,425,+499,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823263,664034,Ty France,San Diego Padres,Milwaukee Brewers,1,Dustin May,669160,R,17,334,3.5,1.42,1.17,,0.86,0.98,1.18,,WIND 9 OUT,,16.6,589,525,525,+502,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,823916,521692,Salvador Perez,Kansas City Royals,Los Angeles Dodgers,0,Eric Lauer,641778,L,16,470,4.2,1.08,0.98,,1.19,1.1,1.0,,,,16.6,338,310,320,+502,1,3,0,0,2026-08-13T05:31:35Z
2026-08-12,822779,575929,Willson Contreras,Boston Red Sox,Toronto Blue Jays,0,José Soriano,667755,R,23,447,4.1,1.48,1.04,,0.91,1.01,1.0,,,,16.5,517,425,500,+506,1,4,1,1,2026-08-13T05:31:35Z
2026-08-12,823994,687263,Zach Neto,Los Angeles Angels,Texas Rangers,1,Cal Quantrill,615698,R,20,524,4.5,1.18,1.05,,1.02,1.02,1.0,,,,16.5,410,340,390,+506,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,824883,596019,Francisco Lindor,New York Mets,Atlanta Braves,0,Tyler Mahle,641816,R,11,279,4.4,1.17,1.05,,1.02,1.02,1.0,,,,16.2,438,350,390,+517,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823994,694671,Wyatt Langford,Texas Rangers,Los Angeles Angels,0,George Klassen,691946,R,13,292,4.3,1.27,1.05,,0.97,1.02,1.0,,,,16.2,440,310,390,+517,1,2,0,0,2026-08-13T05:31:35Z
2026-08-12,823017,607208,Trea Turner,Philadelphia Phillies,St. Louis Cardinals,0,Kyle Leahy,681517,R,17,521,4.4,1.05,1.13,,0.94,0.94,1.22,,WIND 11 OUT,,16.1,850,,700,+521,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,824967,666018,Jonathan Aranda,Tampa Bay Rays,Athletics,0,Jack Perkins,678022,R,15,507,4.4,0.98,1.17,,1.12,1.0,1.0,,,,16.1,358,340,390,+521,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,823994,608369,Corey Seager,Texas Rangers,Los Angeles Angels,0,George Klassen,691946,R,11,259,4.2,1.22,1.11,,0.97,1.02,1.0,,,,16.1,323,280,320,+521,1,4,1,1,2026-08-13T05:31:35Z
2026-08-12,823017,802139,JJ Wetherholt,St. Louis Cardinals,Philadelphia Phillies,1,Zack Wheeler,554430,R,16,517,4.5,1.01,1.04,,1.02,0.94,1.22,,WIND 11 OUT,,15.9,900,,750,+529,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,823263,701538,Jackson Merrill,San Diego Padres,Milwaukee Brewers,1,Dustin May,669160,R,19,494,4.2,1.19,1.12,,0.86,0.98,1.18,,WIND 9 OUT,,15.9,471,400,475,+529,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,824967,689414,Liam Hicks,Tampa Bay Rays,Athletics,0,Jack Perkins,678022,R,15,436,4.0,1.09,1.13,,1.12,1.0,1.0,,,,15.8,680,525,625,+533,1,5,1,1,2026-08-13T05:31:35Z
2026-08-12,823511,686527,Dominic Canzone,Seattle Mariners,New York Yankees,0,Will Warren,701542,R,18,348,3.3,1.44,1.06,,1.0,1.08,1.0,,,,15.7,342,325,330,+537,1,5,1,1,2026-08-13T05:31:35Z
2026-08-12,822779,677800,Wilyer Abreu,Boston Red Sox,Toronto Blue Jays,0,José Soriano,667755,R,21,504,4.3,1.26,1.1,,0.91,1.01,1.0,,,,15.7,479,400,425,+537,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,824883,682626,Francisco Alvarez,New York Mets,Atlanta Braves,0,Tyler Mahle,641816,R,13,307,3.7,1.24,1.13,,1.02,1.02,1.0,,,,15.6,469,450,425,+541,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823916,677951,Bobby Witt Jr.,Kansas City Royals,Los Angeles Dodgers,0,Eric Lauer,641778,L,13,448,4.4,0.97,0.97,,1.19,1.1,1.0,,,,15.5,275,340,280,+545,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,823187,670623,Isaac Paredes,Houston Astros,San Francisco Giants,0,Adrian Houser,605288,R,15,484,4.2,1.01,1.17,,1.05,0.91,1.12,,WIND 6 OUT,,15.3,620,575,575,+554,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823511,663757,Trent Grisham,New York Yankees,Seattle Mariners,1,Bryce Miller,682243,R,13,394,4.0,1.05,1.05,,1.11,1.08,1.0,,,,15.3,290,280,280,+554,1,5,2,1,2026-08-13T05:31:35Z
2026-08-12,824967,656775,Cedric Mullins,Tampa Bay Rays,Athletics,0,Jack Perkins,678022,R,13,393,3.8,1.06,1.18,,1.12,1.0,1.0,,,,15.2,438,390,390,+558,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,825047,650489,Willi Castro,Colorado Rockies,Arizona Diamondbacks,0,Merrill Kelly,518876,R,13,402,3.9,1.04,1.09,,1.16,1.01,1.0,,ROOF,,14.9,760,650,700,+571,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823187,646240,Rafael Devers,San Francisco Giants,Houston Astros,1,Bryan King,687911,L,24,507,4.2,1.4,0.85,,1.01,0.91,1.12,,WIND 6 OUT,,14.8,424,390,400,+576,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,822779,672960,Kazuma Okamoto,Toronto Blue Jays,Boston Red Sox,1,Ranger Suarez,624133,L,24,475,4.1,1.46,0.98,,0.86,1.01,1.0,,,,14.7,,425,400,+580,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823187,514888,Jose Altuve,Houston Astros,San Francisco Giants,0,Adrian Houser,605288,R,13,409,4.3,1.03,1.07,,1.05,0.91,1.12,,WIND 6 OUT,,14.6,,,,+585,0,0,0,0,2026-08-13T05:31:35Z
2026-08-12,824883,671739,Michael Harris II,Atlanta Braves,New York Mets,1,Zac Thornton,804267,L,20,457,4.0,1.3,1.02,,0.93,1.02,1.0,,,,14.6,505,450,500,+585,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,824883,645277,Ozzie Albies,Atlanta Braves,New York Mets,1,Zac Thornton,804267,L,20,515,4.3,1.2,1.03,,0.93,1.02,1.0,,,,14.6,501,390,500,+585,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,822698,621020,Dansby Swanson,Chicago Cubs,Washington Nationals,0,Jackson Kent,800600,L,17,447,3.9,1.17,1.1,,1.0,1.0,1.0,,,,14.5,497,390,475,+590,1,5,1,1,2026-08-13T05:31:35Z
2026-08-12,822698,664023,Ian Happ,Chicago Cubs,Washington Nationals,0,Jackson Kent,800600,L,20,495,4.3,1.23,0.95,,1.0,1.0,1.0,,,,14.5,387,475,390,+590,1,3,0,0,2026-08-13T05:31:35Z
2026-08-12,823994,669394,Jake Burger,Texas Rangers,Los Angeles Angels,0,George Klassen,691946,R,19,460,4.0,1.25,1.02,,0.97,1.02,1.0,,,,14.5,445,340,425,+590,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823187,673237,Yainer Diaz,Houston Astros,San Francisco Giants,0,Adrian Houser,605288,R,8,238,3.8,1.06,1.16,,1.05,0.91,1.12,,WIND 6 OUT,,14.4,,,,+594,0,0,0,0,2026-08-13T05:31:35Z
2026-08-12,823833,665052,Griffin Conine,Miami Marlins,Pittsburgh Pirates,1,Carmen Mlodzinski,669387,R,12,170,3.2,1.6,1.2,,0.88,0.92,1.0,,,,14.4,464,475,475,+594,1,5,1,1,2026-08-13T05:31:35Z
2026-08-12,823511,677594,Julio Rodríguez,Seattle Mariners,New York Yankees,0,Will Warren,701542,R,18,470,4.3,1.18,0.91,,1.0,1.08,1.0,,,,14.4,418,333,400,+594,1,5,1,1,2026-08-13T05:31:35Z
2026-08-12,823916,695600,Carter Jensen,Kansas City Royals,Los Angeles Dodgers,0,Eric Lauer,641778,L,16,444,4.0,1.13,0.85,,1.19,1.1,1.0,,,,14.4,528,425,500,+594,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823672,683002,Gunnar Henderson,Baltimore Orioles,Minnesota Twins,0,Zebby Matthews,805673,R,19,542,4.5,1.11,1.02,,1.15,0.99,0.86,,WIND 7 IN,,14.3,750,,625,+599,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,823017,669016,Brandon Marsh,Philadelphia Phillies,St. Louis Cardinals,0,Kyle Leahy,681517,R,16,459,3.9,1.1,1.07,,0.94,0.94,1.22,,WIND 11 OUT,,14.3,900,,750,+599,1,2,0,0,2026-08-13T05:31:35Z
2026-08-12,822698,621438,Tyrone Taylor,Chicago Cubs,Washington Nationals,0,Jackson Kent,800600,L,10,174,3.2,1.41,1.09,,1.0,1.0,1.0,,,,14.3,670,450,625,+599,1,2,0,0,2026-08-13T05:31:35Z
2026-08-12,823916,681624,Andy Pages,Los Angeles Dodgers,Kansas City Royals,1,Daniel Lynch IV,663738,L,19,513,4.3,1.15,1.05,,0.86,1.1,1.0,,,,14.2,359,360,350,+604,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,824967,680869,Zack Gelof,Athletics,Tampa Bay Rays,1,Drew Rasmussen,656876,R,12,255,3.7,1.3,1.08,,0.94,1.0,1.0,,,,14.1,537,360,500,+609,1,4,1,1,2026-08-13T05:31:35Z
2026-08-12,825047,543510,James McCann,Arizona Diamondbacks,Colorado Rockies,1,Ryan Feltner,663372,R,4,113,3.3,1.06,1.15,,1.19,1.01,1.0,,ROOF,,14.1,,,,+609,0,0,0,0,2026-08-13T05:31:35Z
2026-08-12,824967,650490,Yandy Díaz,Tampa Bay Rays,Athletics,0,Jack Perkins,678022,R,17,505,4.4,1.07,0.92,,1.12,1.0,1.0,,,,14.0,462,375,400,+614,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,823511,663728,Cal Raleigh,Seattle Mariners,New York Yankees,0,Will Warren,701542,R,12,363,4.2,1.05,1.01,,1.0,1.08,1.0,,,,13.9,295,280,280,+619,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,825047,681198,TJ Rumfield,Colorado Rockies,Arizona Diamondbacks,0,Merrill Kelly,518876,R,13,469,4.0,0.94,1.09,,1.16,1.01,1.0,,ROOF,,13.8,800,575,700,+625,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,823511,641857,Ryan McMahon,New York Yankees,Seattle Mariners,1,Bryce Miller,682243,R,10,286,3.2,1.09,1.14,,1.11,1.08,1.0,,,,13.8,446,425,425,+625,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,822779,680776,Jarren Duran,Boston Red Sox,Toronto Blue Jays,0,José Soriano,667755,R,16,475,4.2,1.07,1.16,,0.91,1.01,1.0,,,,13.8,750,650,700,+625,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,824883,660670,Ronald Acuña Jr.,Atlanta Braves,New York Mets,1,Zac Thornton,804267,L,12,301,4.4,1.19,0.96,,0.93,1.02,1.0,,,,13.8,370,310,350,+625,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823263,657757,Gavin Sheets,San Diego Padres,Milwaukee Brewers,1,Dustin May,669160,R,15,382,3.4,1.19,1.17,,0.86,0.98,1.18,,WIND 9 OUT,,13.7,581,525,525,+630,1,3,0,0,2026-08-13T05:31:35Z
2026-08-12,823511,668227,Randy Arozarena,Seattle Mariners,New York Yankees,0,Will Warren,701542,R,15,478,4.3,1.02,1.0,,1.0,1.08,1.0,,,,13.7,492,390,500,+630,1,5,1,1,2026-08-13T05:31:35Z
2026-08-12,823187,642715,Willy Adames,San Francisco Giants,Houston Astros,1,Bryan King,687911,L,19,481,4.2,1.21,0.9,,1.01,0.91,1.12,,WIND 6 OUT,,13.6,494,450,500,+635,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,824241,679529,Spencer Torkelson,Detroit Tigers,Cleveland Guardians,1,Foster Griffin,656492,L,20,468,4.0,1.28,0.88,,1.09,0.95,1.0,,,,13.6,503,333,475,+635,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,824883,543760,Marcus Semien,New York Mets,Atlanta Braves,0,Tyler Mahle,641816,R,14,400,3.9,1.1,1.05,,1.02,1.02,1.0,,,,13.6,630,500,525,+635,1,2,0,0,2026-08-13T05:31:35Z
2026-08-12,822698,686611,Dylan Crews,Washington Nationals,Chicago Cubs,1,David Peterson,656849,L,10,284,4.1,1.09,1.13,,0.92,1.0,1.0,,,,13.5,433,390,400,+641,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,823511,676609,José Caballero,New York Yankees,Seattle Mariners,1,Bryce Miller,682243,R,12,353,3.5,1.07,1.03,,1.11,1.08,1.0,,,,13.5,,,,+641,0,0,0,0,2026-08-13T05:31:35Z
2026-08-12,823017,656537,Derek Hill,Philadelphia Phillies,St. Louis Cardinals,0,Kyle Leahy,681517,R,9,174,3.2,1.32,1.01,,0.94,0.94,1.22,,WIND 11 OUT,,13.4,,,,+646,0,0,0,0,2026-08-13T05:31:35Z
2026-08-12,824241,666176,Jo Adell,Cleveland Guardians,Detroit Tigers,0,Framber Valdez,664285,L,17,488,4.1,1.1,1.2,,0.89,0.95,1.0,,,,13.4,620,400,500,+646,1,5,1,1,2026-08-13T05:31:35Z
2026-08-12,825047,664983,Jake McCarthy,Colorado Rockies,Arizona Diamondbacks,0,Merrill Kelly,518876,R,13,407,3.9,1.03,0.97,,1.16,1.01,1.0,,ROOF,,13.3,960,650,750,+652,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,824562,663886,Tyler Stephenson,Cincinnati Reds,Chicago White Sox,0,Luis Castillo,622491,R,10,324,3.6,1.01,1.13,,1.07,1.05,1.0,,,,13.3,534,450,500,+652,1,1,0,0,2026-08-13T05:31:35Z
2026-08-12,824967,668723,Ryan Vilade,Tampa Bay Rays,Athletics,0,Jack Perkins,678022,R,9,196,3.2,1.25,1.01,,1.12,1.0,1.0,,,,13.2,,,,+658,0,0,0,0,2026-08-13T05:31:35Z
2026-08-12,824967,691016,Tyler Soderstrom,Athletics,Tampa Bay Rays,1,Drew Rasmussen,656876,R,19,444,4.1,1.28,0.93,,0.94,1.0,1.0,,,,13.2,443,340,425,+658,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823187,805811,Bryce Eldridge,San Francisco Giants,Houston Astros,1,Bryan King,687911,L,12,314,4.1,1.16,0.93,,1.01,0.91,1.12,,WIND 6 OUT,,13.2,490,600,500,+658,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823511,702284,Cole Young,Seattle Mariners,New York Yankees,0,Will Warren,701542,R,14,481,4.0,0.97,1.08,,1.0,1.08,1.0,,,,13.1,572,475,525,+663,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823511,671218,Heliot Ramos,New York Yankees,Seattle Mariners,1,Bryce Miller,682243,R,9,331,4.1,0.93,0.98,,1.11,1.08,1.0,,,,13.1,435,390,400,+663,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823263,596142,Gary Sánchez,Milwaukee Brewers,San Diego Padres,0,Robbie Ray,592662,L,9,201,3.2,1.24,0.99,,0.99,0.98,1.18,,WIND 9 OUT,,13.0,496,333,475,+669,1,5,1,1,2026-08-13T05:31:35Z
2026-08-12,822698,624424,Michael Conforto,Chicago Cubs,Washington Nationals,0,Jackson Kent,800600,L,9,209,3.2,1.21,1.15,,1.0,1.0,1.0,,,,13.0,,,,+669,0,0,0,0,2026-08-13T05:31:35Z
2026-08-12,823916,686681,Michael Massey,Kansas City Royals,Los Angeles Dodgers,0,Eric Lauer,641778,L,9,332,3.3,0.93,1.08,,1.19,1.1,1.0,,,,12.7,585,525,500,+687,1,1,0,0,2026-08-13T05:31:35Z
2026-08-12,823672,665019,Kody Clemens,Minnesota Twins,Baltimore Orioles,1,Shane Baz,669358,R,20,425,4.0,1.37,1.07,,0.86,0.99,0.86,,WIND 7 IN,,12.6,600,,500,+694,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,823017,663494,Bryan Torres,St. Louis Cardinals,Philadelphia Phillies,1,Zack Wheeler,554430,R,4,114,3.2,1.05,1.08,,1.02,0.94,1.22,,WIND 11 OUT,,12.5,,,,+700,0,0,0,0,2026-08-13T05:31:35Z
