Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Home SP,Home Hand,Home Reliability%,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag
2026-04-24,Detroit Tigers,Cincinnati Reds,55.5,44.5,-131,109,-135,115,-1.2%,-1.9%,-3.3%,-2.0%,Framber Valdez,L,15.0,Andrew Abbott,L,12.1,0.717,0.643,3.61,3.5,-0.9,0.9,FADE ✗,ESTIMATED,106,
2026-04-24,Boston Red Sox,Baltimore Orioles,46.8,53.2,102,-122,-105,-115,-2.7%,-4.4%,-1.8%,-0.3%,Brayan Bello,R,9.1,Brandon Young,R,2.5,0.636,0.701,3.94,4.31,-0.5,0.4,CONFIRMED ✓,ESTIMATED,102,
2026-04-24,Cleveland Guardians,Toronto Blue Jays,46.3,53.7,-131,109,-125,105,-10.4%,-9.3%,+5.9% ** BET **,+4.9%,Gavin Williams,R,14.6,Max Scherzer,R,8.1,0.692,0.696,4.17,4.41,0.0,0.0,CONFIRMED ✓,ESTIMATED,100,** BET **
2026-04-24,Colorado Rockies,New York Mets,48.1,51.9,179,-219,185,-225,+12.3%,+13.0%,-16.8%,-17.3%,Michael Lorenzen,R,10.6,Freddy Peralta,R,13.1,0.719,0.635,5.43,5.13,1.2,-1.2,FADE ✗,ESTIMATED,97,
2026-04-24,Minnesota Twins,Tampa Bay Rays,38.6,61.4,109,-131,105,-125,-9.2%,-10.2%,+4.7%,+5.8% ** BET **,Taj Bradley,R,13.6,Drew Rasmussen,R,9.6,0.714,0.711,3.74,5.63,-1.2,1.0,CONFIRMED ✓,ESTIMATED,98,** BET **
2026-04-24,Philadelphia Phillies,Atlanta Braves,None,None,123,-149,125,-150,N/A,N/A,N/A,N/A,Andrew Painter,R,0,Grant Holmes,R,13.1,0.659,0.795,5.67,3.63,-0.8,1.0,N/A,ESTIMATED,102,
2026-04-24,Los Angeles Angels,Kansas City Royals,48.1,51.9,-105,-115,-105,-115,-3.1%,-3.1%,-1.6%,-1.6%,Yusei Kikuchi,L,12.0,Noah Cameron,L,10.0,0.723,0.667,3.0,6.67,0.0,0.0,CONFIRMED ✓,ESTIMATED,99,
2026-04-24,Washington Nationals,Chicago White Sox,41.6,58.4,104,-126,105,-125,-7.4%,-7.2%,+2.6%,+2.8%,Miles Mikolas,R,9.6,Bryan Hudson,L,5.1,0.741,0.702,4.91,4.77,0.0,0.0,CONFIRMED ✓,ESTIMATED,99,
2026-04-24,Pittsburgh Pirates,Milwaukee Brewers,48.8,51.2,-126,104,-135,110,-7.0%,-8.6%,+2.2%,+3.6%,Paul Skenes,R,11.0,Brandon Woodruff,R,11.6,0.718,0.706,4.02,3.96,-1.9,2.1,CONFIRMED ✓,ESTIMATED,100,
2026-04-24,Athletics,Texas Rangers,39.5,60.5,123,-149,130,-155,-5.3%,-4.0%,+0.7%,-0.3%,Luis Severino,R,12.1,Nathan Eovaldi,R,13.1,0.705,0.715,5.34,3.29,1.2,-1.1,FADE ✗,ESTIMATED,103,
2026-04-24,New York Yankees,Houston Astros,None,None,-149,123,-145,120,N/A,N/A,N/A,N/A,Will Warren,R,12.6,Lance McCullers Jr.,R,0,0.73,0.783,1.17,5.17,0.0,0.0,N/A,ESTIMATED,99,
2026-04-24,Seattle Mariners,St. Louis Cardinals,46.9,53.1,-149,123,-145,125,-12.9%,-12.3%,+8.3% ** BET **,+8.7% ** BET **,George Kirby,R,16.6,Andre Pallante,R,10.0,0.683,0.696,4.17,4.25,-2.1,2.3,CONFIRMED ✓,ESTIMATED,98,** BET **
2026-04-24,Chicago Cubs,Los Angeles Dodgers,46.8,53.2,139,-168,135,-160,+5.0% ** BET **,+4.2%,-9.5%,-8.3%,Jameson Taillon,R,11.1,Emmet Sheehan,R,10.0,0.784,0.828,2.35,3.51,-0.7,0.7,CONFIRMED ✓,ESTIMATED,96,** BET **
2026-04-24,Miami Marlins,San Francisco Giants,None,None,-112,-108,-118,-102,N/A,N/A,N/A,N/A,Sandy Alcantara,R,0,Adrian Houser,R,10.6,0.721,0.638,3.11,2.57,-0.7,0.7,N/A,ESTIMATED,95,
