Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Home SP,Home Hand,Home Reliability%,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag
2026-05-02,Toronto Blue Jays,Minnesota Twins,60.0,40.0,-143,119,-140,115,+1.2%,+1.7%,-5.7%,-6.5%,Dylan Cease,R,15.6,Connor Prielipp,L,4.5,0.728,0.689,3.05,4.72,1.2,-1.3,CONFIRMED ✓,CONFIRMED+PLATOON,100,
2026-05-02,Arizona Diamondbacks,Chicago Cubs,35,65,139,-168,140,-170,-6.8%,-6.7%,+2.3%,+2.0%,Ryne Nelson,R,12.6,Shota Imanaga,L,17.1,0.765,0.809,7.76,6.53,-3.8,3.8,CONFIRMED ✓,CONFIRMED+PLATOON,104,
2026-05-02,Cleveland Guardians,Athletics,55.2,44.8,119,-143,110,-130,+9.5% ** BET **,+7.6% ** BET **,-14.0%,-11.7%,Slade Cecconi,R,15.0,Jacob Lopez,L,12.1,0.783,0.718,2.6,3.5,-4.8,4.7,FADE ✗,CONFIRMED+PLATOON,95,** BET **
2026-05-02,Cincinnati Reds,Pittsburgh Pirates,48.2,51.8,117,-141,110,-135,+2.1%,+0.6%,-6.7%,-5.6%,Rhett Lowder,R,17.0,Carmen Mlodzinski,R,14.1,0.756,0.729,6.11,5.29,-0.9,0.9,CONFIRMED ✓,CONFIRMED+PLATOON,98,
2026-05-02,Milwaukee Brewers,Washington Nationals,46.1,53.9,-136,113,-130,110,-11.5%,-10.4%,+7.0% ** BET **,+6.3% ** BET **,Kyle Harrison,L,11.6,Foster Griffin,L,16.6,0.703,0.702,2.29,2.45,-4.4,4.4,CONFIRMED ✓,PARTIAL,99,** BET **
2026-05-02,Houston Astros,Boston Red Sox,35,65,117,-141,115,-140,-11.1%,-11.5%,+6.5% ** BET **,+6.7% ** BET **,Spencer Arrighetti,R,9.0,Connelly Early,L,15.6,0.701,0.743,6.18,2.6,-5.1,5.0,CONFIRMED ✓,CONFIRMED+PLATOON,104,** BET **
2026-05-02,Philadelphia Phillies,Miami Marlins,44.2,55.8,113,-136,110,-130,-2.7%,-3.4%,-1.8%,-0.7%,Andrew Painter,R,12.0,Max Meyer,R,15.0,0.722,0.734,3.6,4.35,-9.8,9.8,CONFIRMED ✓,CONFIRMED+PLATOON,96,
2026-05-02,San Francisco Giants,Tampa Bay Rays,40.2,59.8,-115,-105,-115,-105,-13.3%,-13.3%,+8.6%,+8.6%,Landen Roupp,R,17.6,Griffin Jax,R,5.5,0.651,0.703,3.78,1.19,7.8,-7.6,FADE ✗,ESTIMATED,98,
2026-05-02,Los Angeles Dodgers,St. Louis Cardinals,43.1,56.9,-136,113,-135,110,-14.5%,-14.3%,+10.0% ** BET **,+9.3% ** BET **,Roki Sasaki,R,11.1,Michael McGreevy,R,16.6,0.796,0.736,2.89,4.57,-7.4,7.4,CONFIRMED ✓,ESTIMATED,98,** BET **
2026-05-02,Texas Rangers,Detroit Tigers,40.9,59.1,113,-136,115,-140,-6.0%,-5.6%,+1.5%,+0.8%,Kumar Rocker,R,13.1,Keider Montero,R,13.5,0.694,0.737,2.67,4.94,-3.5,3.5,CONFIRMED ✓,ESTIMATED,100,
2026-05-02,Atlanta Braves,Colorado Rockies,None,None,-226,184,-225,185,N/A,N/A,N/A,N/A,Chris Sale,L,17.5,TBD,R,0,0.789,0.725,3.44,3.98,2.8,-2.8,N/A,ESTIMATED,118,
2026-05-02,Chicago White Sox,San Diego Padres,None,None,153,-186,145,-175,N/A,N/A,N/A,N/A,Sean Burke,R,16.6,Michael King,R,0,0.704,0.689,2.68,7.47,-5.3,5.2,N/A,ESTIMATED,94,
2026-05-02,New York Mets,Los Angeles Angels,58.4,41.6,-126,104,-125,105,+2.6%,+2.8%,-7.4%,-7.2%,Nolan McLean,R,17.6,Reid Detmers,L,16.6,0.632,0.72,4.0,6.92,0.0,0.0,FADE ✗,ESTIMATED,97,
2026-05-02,Kansas City Royals,Seattle Mariners,51.2,48.8,119,-143,118,-145,+5.5%,+5.3%,-10.0%,-10.4%,Seth Lugo,R,18.6,Emerson Hancock,R,17.1,0.715,0.709,4.33,5.6,2.0,-2.1,CONFIRMED ✓,ESTIMATED,96,
