Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag
2026-05-27,Miami Marlins,Toronto Blue Jays,41.9,58.1,129,-156,125,-155,-1.8%,-2.5%,-2.8%,-2.7%,Eury Pérez,R,29.1,92.5,2495.0,12.4,Kevin Gausman,R,32.0,89.1,1995.0,11.6,0.724,0.698,4.21,2.29,-2.0,1.9,CONFIRMED ✓,CONFIRMED+PLATOON,100,
2026-05-27,Washington Nationals,Cleveland Guardians,44.4,55.6,154,-188,155,-190,+5.0%,+5.2%,-9.7%,-9.9%,PJ Poulin,L,11.6,84.6,2135.0,5.3,Gavin Williams,R,34.5,90.2,2268.0,13.6,0.741,0.772,2.09,2.86,-7.6,7.7,CONFIRMED ✓,CONFIRMED+PLATOON,98,
2026-05-27,St. Louis Cardinals,Milwaukee Brewers,37.7,62.3,128,-154,125,-155,-6.2%,-6.7%,+1.7%,+1.5%,Dustin May,R,27.0,92.7,2513.0,8.8,Chad Patrick,R,20.5,91.1,2354.0,9.7,0.778,0.784,5.23,2.83,5.1,-5.2,FADE ✗,CONFIRMED+PLATOON,100,
2026-05-27,Seattle Mariners,Athletics,52.3,47.7,-126,105,-130,105,-3.5%,-4.2%,-1.1%,-1.1%,Logan Gilbert,R,31.1,88.0,1910.0,11.7,Jeffrey Springs,L,30.6,85.6,2039.0,10.2,0.759,0.719,2.94,4.43,3.8,-4.0,CONFIRMED ✓,PARTIAL,95,
2026-05-27,Arizona Diamondbacks,San Francisco Giants,48.0,52.0,-120,-101,-120,100,-6.5%,-6.5%,+1.8%,+2.0%,Michael Soroka,R,27.5,87.9,2587.0,9.3,Trevor McDonald,R,11.1,90.8,2326.0,10.9,0.721,0.728,2.71,5.43,3.3,-3.0,FADE ✗,PARTIAL,95,
2026-05-27,Philadelphia Phillies,San Diego Padres,58.6,41.4,-143,119,-145,118,-0.2%,-0.6%,-4.3%,-4.5%,Cristopher Sánchez,L,36.0,90.0,2070.0,14.4,Walker Buehler,R,23.1,88.7,2247.0,6.7,0.685,0.655,2.67,3.17,7.6,-7.6,CONFIRMED ✓,ESTIMATED,94,
2026-05-27,Tampa Bay Rays,Baltimore Orioles,None,None,-110,-109,-110,-110,N/A,N/A,N/A,N/A,Steven Matz,L,20.6,87.4,2260.0,10.1,TBD,R,0,None,None,None,0.721,0.699,2.14,3.0,-0.4,0.5,N/A,ESTIMATED,102,
2026-05-27,Los Angeles Angels,Detroit Tigers,47.3,52.7,-107,-112,-110,-110,-4.4%,-5.1%,-0.1%,+0.3%,José Soriano,R,33.0,93.3,2066.0,12.4,Casey Mize,R,21.6,89.6,2012.0,11.0,0.698,0.685,3.54,4.19,4.7,-4.8,FADE ✗,ESTIMATED,100,
2026-05-27,Chicago Cubs,Pittsburgh Pirates,49.3,50.7,-102,-119,100,-120,-1.2%,-0.7%,-3.6%,-3.8%,Jameson Taillon,R,27.6,86.2,2376.0,10.7,Bubba Chandler,R,23.5,94.7,2337.0,10.1,0.718,0.724,5.19,1.92,3.5,-3.3,FADE ✗,ESTIMATED,98,
2026-05-27,Atlanta Braves,Boston Red Sox,55.4,44.6,-102,-118,-102,-118,+4.9%,+4.9%,-9.5%,-9.5%,Bryce Elder,R,34.1,88.6,2165.0,9.1,Connelly Early,L,27.0,88.2,2068.0,8.7,0.756,0.686,2.73,5.0,-1.9,1.7,FADE ✗,ESTIMATED,104,
2026-05-27,Cincinnati Reds,New York Mets,52.3,47.7,-102,-119,-102,-118,+1.8%,+1.8%,-6.6%,-6.4%,Andrew Abbott,L,28.1,87.4,2418.0,7.4,Huascar Brazobán,R,13.0,93.5,2171.0,12.6,0.708,0.641,4.02,5.01,-6.2,6.3,FADE ✗,ESTIMATED,97,
2026-05-27,Minnesota Twins,Chicago White Sox,46.0,54.0,-109,-110,-110,-110,-6.2%,-6.4%,+1.6%,+1.6%,Connor Prielipp,L,14.5,89.2,2559.0,9.0,Davis Martin,R,30.6,90.2,2440.0,12.4,0.708,0.717,2.95,5.43,-1.3,1.2,N/A,ESTIMATED,99,
2026-05-27,New York Yankees,Kansas City Royals,61.2,38.8,-157,130,-155,125,+0.1%,+0.4%,-4.7%,-5.6%,Gerrit Cole,R,3.0,92.6,2326.0,5.6,Noah Cameron,L,23.6,87.1,2214.0,9.8,0.77,0.688,1.83,5.0,-6.1,6.2,FADE ✗,ESTIMATED,99,
2026-05-27,Houston Astros,Texas Rangers,44.9,55.1,119,-144,115,-140,-0.8%,-1.6%,-3.9%,-3.2%,Mike Burrows,R,28.1,89.4,2184.0,10.6,Jacob deGrom,R,26.6,92.9,2429.0,16.4,0.733,0.688,3.63,5.75,-2.2,2.1,CONFIRMED ✓,ESTIMATED,103,
2026-05-27,Colorado Rockies,Los Angeles Dodgers,35,65,315,-411,310,-400,+10.9%,+10.6%,-15.4%,-15.0%,Tomoyuki Sugano,R,26.6,88.1,2309.0,6.4,Shohei Ohtani,R,24.5,90.7,2474.0,13.8,0.69,0.785,6.29,2.89,-9.9,9.9,CONFIRMED ✓,ESTIMATED,96,
