Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Home SP,Home Hand,Home Reliability%,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag
2026-04-26,Boston Red Sox,Baltimore Orioles,55.4,44.6,119,-143,120,-145,+9.7% ** BET **,+9.9% ** BET **,-14.2%,-14.6%,Connelly Early,L,12.5,Kyle Bradish,R,12.5,0.755,0.725,4.94,6.18,-4.3,4.3,FADE ✗,PARTIAL,102,** BET **
2026-04-26,Philadelphia Phillies,Atlanta Braves,36.9,63.1,179,-219,185,-225,+1.1%,+1.8%,-5.6%,-6.1%,Aaron Nola,R,13.1,Chris Sale,L,14.5,0.759,0.763,5.67,4.86,-9.8,9.8,CONFIRMED ✓,CONFIRMED+PLATOON,102,
2026-04-26,Cleveland Guardians,Toronto Blue Jays,37.0,63.0,109,-131,110,-130,-10.8%,-10.6%,+6.3%,+6.5%,Slade Cecconi,R,12.1,Patrick Corbin,L,7.1,0.697,0.733,4.75,4.42,-8.9,8.9,CONFIRMED ✓,CONFIRMED+PLATOON,100,
2026-04-26,Detroit Tigers,Cincinnati Reds,35,65,-110,-110,-110,-110,-17.4%,-17.4%,+12.6%,+12.6%,Keider Montero,R,11.0,Rhett Lowder,R,14.5,0.709,0.749,5.93,4.5,-5.2,5.4,CONFIRMED ✓,CONFIRMED+PLATOON,106,
2026-04-26,Colorado Rockies,New York Mets,40.2,59.8,153,-186,145,-175,+0.7%,-0.6%,-5.2%,-3.8%,Jose Quintana,L,6.5,Nolan McLean,R,15.0,0.717,0.636,5.33,3.74,4.9,-4.8,FADE ✗,ESTIMATED,97,
2026-04-26,Colorado Rockies,New York Mets,None,None,153,-186,145,-175,N/A,N/A,N/A,N/A,TBD,R,0,Kodai Senga,R,8.6,0.717,0.636,5.33,3.74,4.9,-4.8,N/A,ESTIMATED,97,
2026-04-26,Minnesota Twins,Tampa Bay Rays,None,None,123,-149,118,-145,N/A,N/A,N/A,N/A,Simeon Woods Richardson,R,0,Griffin Jax,R,4.5,0.698,0.725,4.94,4.75,-4.2,4.1,N/A,PARTIAL,98,
2026-04-26,Washington Nationals,Chicago White Sox,48.0,52.0,102,-122,100,-120,-1.5%,-2.0%,-3.0%,-2.5%,Foster Griffin,L,13.1,Bryan Hudson,L,5.6,0.707,0.638,4.0,4.67,0.5,-0.8,FADE ✗,CONFIRMED+PLATOON,99,
2026-04-26,New York Yankees,Houston Astros,49.8,50.2,-136,113,-135,110,-7.8%,-7.6%,+3.3%,+2.6%,Luis Gil,R,7.5,Spencer Arrighetti,R,5.5,0.715,0.774,1.5,5.5,-2.2,2.1,CONFIRMED ✓,CONFIRMED+PLATOON,99,
2026-04-26,Pittsburgh Pirates,Milwaukee Brewers,49.8,50.2,100,-120,105,-125,-0.2%,+1.0%,-4.3%,-5.4%,Carmen Mlodzinski,R,12.1,Kyle Harrison,L,8.6,0.722,0.722,3.57,4.3,-7.6,7.6,CONFIRMED ✓,CONFIRMED+PLATOON,100,
2026-04-26,Seattle Mariners,St. Louis Cardinals,37.0,63.0,-130,108,-130,110,-19.5%,-19.5%,+14.9%,+15.4%,Emerson Hancock,R,14.1,Michael McGreevy,R,13.6,0.699,0.721,4.67,5.09,-5.5,5.5,CONFIRMED ✓,CONFIRMED+PLATOON,98,
2026-04-26,Athletics,Texas Rangers,None,None,105,-126,100,-120,N/A,N/A,N/A,N/A,J.T. Ginn,R,0,Kumar Rocker,R,10.1,0.747,0.782,3.93,4.25,5.1,-5.2,N/A,CONFIRMED+PLATOON,103,
2026-04-26,San Diego Padres,Arizona Diamondbacks,None,None,-136,113,-135,110,N/A,N/A,N/A,N/A,Michael King,R,0,Ryne Nelson,R,10.1,0.683,0.717,4.3,7.4,7.1,-7.2,N/A,ESTIMATED,97,
2026-04-26,Miami Marlins,San Francisco Giants,47.0,53.0,109,-131,110,-130,-0.8%,-0.6%,-3.7%,-3.5%,Max Meyer,R,12.5,Landen Roupp,R,13.6,0.731,0.663,3.57,2.89,-5.6,5.5,CONFIRMED ✓,ESTIMATED,95,
2026-04-26,Chicago Cubs,Los Angeles Dodgers,46.7,53.3,104,-126,105,-125,-2.3%,-2.1%,-2.5%,-2.3%,Shota Imanaga,L,14.5,Justin Wrobleski,L,12.0,0.791,0.83,3.94,4.2,6.5,-6.2,FADE ✗,ESTIMATED,96,
2026-04-26,Los Angeles Angels,Kansas City Royals,37.0,63.0,102,-122,100,-120,-12.5%,-13.0%,+8.0% ** BET **,+8.5% ** BET **,Reid Detmers,L,14.1,Seth Lugo,R,15.6,0.717,0.687,5.19,4.66,-1.7,1.5,CONFIRMED ✓,ESTIMATED,99,** BET **
