Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet
2026-07-30,Texas Rangers,Tampa Bay Rays,36.2,63.8,148,-180,150,-185,-4.1%,-3.8%,-0.5%,-1.1%,Cole Winn,R,17.7,90.7,2394.0,12.5,Shane McClanahan,L,48.0,89.8,2092.0,11.9,0.744,0.745,3.06,1.53,0.2,-0.1,N/A,CONFIRMED+PLATOON,98,,,-2.3%,+2.3%,-1.9%,+1.9%,
2026-07-30,Kansas City Royals,Minnesota Twins,50.6,49.4,118,-142,115,-140,+4.7%,+4.1%,-9.3%,-8.9%,Noah Cameron,L,53.8,86.8,2198.0,10.0,Bailey Ober,R,40.5,83.7,2153.0,9.2,0.722,0.68,2.26,2.68,-8.3,8.2,FADE ✗,CONFIRMED+PLATOON,100,,,+6.7%,-6.7%,+6.2%,-6.2%,Kansas City Royals
2026-07-30,New York Yankees,Chicago White Sox,36.5,63.5,-110,-110,-105,-115,-15.9%,-14.7%,+11.1%,+10.0%,Ryan Weathers,L,54.0,89.0,2335.0,11.4,Sean Burke,R,59.2,89.7,2510.0,10.3,0.701,0.752,3.58,4.89,-6.3,6.5,CONFIRMED ✓,CONFIRMED+PLATOON,99,,,-13.5%,+13.5%,-12.4%,+12.4%,
2026-07-30,Chicago Cubs,St. Louis Cardinals,50.0,50.0,-105,-114,-105,-115,-1.2%,-1.2%,-3.3%,-3.5%,Javier Assad,R,32.7,89.8,2087.0,5.4,Andre Pallante,R,56.2,89.7,2297.0,7.3,0.747,0.735,2.65,4.98,-7.6,7.6,CONFIRMED ✓,CONFIRMED+PLATOON,98,,,+1.0%,-1.0%,+1.1%,-1.1%,
2026-07-30,Pittsburgh Pirates,Cincinnati Reds,59.6,40.4,-119,-102,-120,100,+5.3% ** BET **,+5.1% ** BET **,-10.1%,-9.6%,Yohan Ramírez,R,28.0,90.4,2443.0,9.9,Rhett Lowder,R,38.5,89.2,2331.0,7.6,0.794,0.722,4.58,2.33,1.1,-0.7,N/A,CONFIRMED+PLATOON,106,** BET **,,+7.8%,-7.8%,+7.4%,-7.4%,Pittsburgh Pirates
2026-07-30,Miami Marlins,New York Mets,53.2,46.8,109,-131,110,-135,+5.4% ** BET **,+5.6% ** BET **,-9.9%,-10.6%,Eury Pérez,R,49.3,92.9,2515.0,13.0,Nolan McLean,R,59.7,91.1,2492.0,9.6,0.77,0.686,4.67,2.33,-1.2,1.0,N/A,CONFIRMED+PLATOON,97,** BET **,,+7.5%,-7.5%,+7.9%,-7.9%,Miami Marlins
2026-07-30,Washington Nationals,Atlanta Braves,38.4,61.6,134,-162,125,-155,-4.3%,-6.0%,-0.2%,+0.8%,Jake Irvin,R,25.8,86.9,2377.0,10.2,Grant Holmes,R,48.7,89.7,2465.0,10.3,0.762,0.792,4.17,4.24,-1.9,1.8,CONFIRMED ✓,CONFIRMED+PLATOON,102,,,-2.5%,+2.5%,-3.8%,+3.8%,Atlanta Braves
2026-07-30,Boston Red Sox,Athletics,59.5,40.5,-186,153,-190,155,-5.5%,-6.0%,+1.0%,+1.3%,Sonny Gray,R,53.3,87.5,2486.0,8.2,Mason Barnett,R,12.3,88.9,2419.0,7.9,0.711,0.755,3.17,3.4,1.8,-1.8,CONFIRMED ✓,CONFIRMED+PLATOON,95,,,-2.7%,+2.7%,-3.1%,+3.1%,Athletics
2026-07-30,San Francisco Giants,San Diego Padres,None,None,137,-166,145,-175,N/A,N/A,N/A,N/A,TBD,R,0,None,None,None,JP Sears,L,14.0,87.5,1981.0,9.2,0.681,0.689,3.76,3.06,-5.7,5.7,N/A,CONFIRMED+PLATOON,94,,,N/A,N/A,N/A,N/A,
2026-07-30,Seattle Mariners,Los Angeles Dodgers,44.7,55.3,124,-150,125,-150,+0.1%,+0.3%,-4.7%,-4.7%,Bryan Woo,R,57.7,92.5,2282.0,11.2,Roki Sasaki,R,46.8,92.2,1700.0,12.4,0.714,0.782,5.94,4.5,5.7,-5.8,FADE ✗,CONFIRMED+PLATOON,96,,,+2.1%,-2.1%,+2.2%,-2.2%,
