Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds
2026-08-13,Cleveland Guardians,Detroit Tigers,47.5,52.5,-108,100,-115,-105,-4.4%,-6.0%,+2.5%,+1.3%,Parker Messick,L,68.3,89.9,2092.0,10.6,Keider Montero,R,61.2,89.8,2352.0,8.0,0.765,0.847,5.82,2.33,3.1,-5.9,FADE ✗,CONFIRMED+PLATOON,100,,DK vig 101.9%,-3.4%,+3.4%,-3.6%,+3.6%,Detroit Tigers,-111,101
2026-08-13,Cincinnati Reds,Chicago White Sox,43.2,56.8,114,-122,110,-135,-3.5%,-4.4%,+1.8%,-0.6%,Andrew Abbott,L,64.3,87.3,2449.0,8.6,Davis Martin,R,61.5,90.0,2486.0,9.8,0.659,0.729,5.82,3.86,4.2,-7.0,FADE ✗,CONFIRMED+PLATOON,99,,DK vig 101.7%,-2.7%,+2.7%,-2.1%,+2.1%,,120,-130
2026-08-13,Pittsburgh Pirates,Miami Marlins,46.3,53.7,-119,111,-125,105,-8.0%,-9.3%,+6.3%,+4.9%,Braxton Ashcraft,R,66.2,92.5,2473.0,12.0,Tyler Phillips,R,46.7,88.9,2067.0,9.7,0.749,0.728,5.47,2.21,-0.2,-2.9,FADE ✗,CONFIRMED+PLATOON,96,,DK vig 101.7%,-7.1%,+7.1%,-7.0%,+7.0%,,-121,110
2026-08-13,Seattle Mariners,New York Yankees,40.9,59.1,148,-159,140,-170,+0.6%,-0.8%,-2.3%,-3.9%,Logan Gilbert,R,69.7,89.6,1952.0,13.2,Max Fried,L,40.7,88.3,2258.0,10.3,0.676,0.738,5.37,2.49,-7.5,4.7,CONFIRMED ✓,CONFIRMED+PLATOON,101,,DK vig 101.7%,+1.3%,-1.3%,+1.1%,-1.1%,,147,-157
2026-08-13,Boston Red Sox,Toronto Blue Jays,55.6,44.4,-145,135,-155,125,-3.6%,-5.2%,+1.8%,+0.0%,Payton Tolle,L,53.5,93.0,2249.0,13.4,Max Scherzer,R,18.0,87.8,2245.0,7.7,0.73,0.663,3.8,2.88,13.5,-16.3,CONFIRMED ✓,CONFIRMED+PLATOON,100,,DK vig 101.8%,-2.6%,+2.6%,-2.2%,+2.2%,,-140,130
2026-08-13,Chicago Cubs,Washington Nationals,44.6,55.4,-146,136,-155,125,-14.7%,-16.2%,+13.0%,+11.0%,Kevin Gausman,R,67.2,89.2,2005.0,11.4,Cade Cavalli,R,64.3,91.6,2230.0,10.0,0.761,0.769,4.09,4.92,-4.2,1.2,CONFIRMED ✓,ESTIMATED,99,,DK vig 101.7%,-13.7%,+13.7%,-13.2%,+13.2%,,-145,135
2026-08-13,Philadelphia Phillies,Minnesota Twins,40.0,60.0,-103,-104,-110,-110,-10.7%,-12.4%,+9.0%,+7.6%,Aaron Nola,R,62.5,85.9,2286.0,11.0,Taj Bradley,R,65.8,92.9,2181.0,10.2,0.706,0.725,4.23,4.04,-0.5,-2.3,FADE ✗,ESTIMATED,100,,DK vig 101.7%,-9.9%,+9.9%,-10.0%,+10.0%,,-105,-105
2026-08-13,Texas Rangers,Los Angeles Angels,49.0,51.0,-147,137,-155,125,-10.5%,-11.8%,+8.8%,+6.6%,Jacob deGrom,R,59.3,93.0,2445.0,15.4,Walbert Ureña,R,50.8,93.6,2069.0,11.5,0.714,0.686,3.57,4.06,5.0,-7.8,FADE ✗,ESTIMATED,97,,DK vig 101.7%,-9.5%,+9.5%,-8.8%,+8.8%,,-153,143
2026-08-13,Milwaukee Brewers,Los Angeles Dodgers,47.6,52.4,131,-140,125,-150,+4.3%,+3.2%,-5.9%,-7.6%,Shane Drohan,L,46.5,90.2,2547.0,10.9,Roki Sasaki,R,52.5,92.3,1700.0,12.6,0.731,0.768,4.66,2.82,-1.4,-1.7,FADE ✗,ESTIMATED,96,,DK vig 101.6%,+5.0%,-5.0%,+5.1%,-5.1%,Milwaukee Brewers,130,-140
