Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet
2026-07-25,Kansas City Royals,Detroit Tigers,47.7,52.3,153,-186,150,-185,+8.2%,+7.7%,-12.7%,-12.6%,Michael Wacha,R,62.7,87.1,1995.0,8.1,Casey Mize,R,40.3,90.2,2108.0,12.2,0.713,0.711,4.31,3.17,2.2,-2.2,FADE ✗,ESTIMATED,100,,,+9.9%,-9.9%,+9.6%,-9.6%,
2026-07-25,Arizona Diamondbacks,Washington Nationals,37.2,62.8,113,-136,110,-135,-9.7%,-10.4%,+5.2%,+5.4%,Mitch Bratt,L,5.3,86.9,2308.0,5.6,Foster Griffin,L,58.7,85.7,2168.0,10.4,0.788,0.756,4.43,5.37,-8.0,7.9,CONFIRMED ✓,CONFIRMED+PLATOON,99,,,-7.7%,+7.7%,-8.1%,+8.1%,Washington Nationals
2026-07-25,Los Angeles Angels,San Francisco Giants,27.9,72.1,113,-136,110,-135,-19.0%,-19.7%,+14.5%,+14.7%,Ryan Johnson,R,19.2,87.6,2224.0,11.8,Robbie Ray,L,55.3,88.6,2145.0,10.2,0.741,0.765,3.15,4.33,5.6,-5.6,FADE ✗,CONFIRMED+PLATOON,95,,,-17.0%,+17.0%,-17.4%,+17.4%,
2026-07-25,Toronto Blue Jays,Boston Red Sox,48.0,52.0,-104,-116,-110,-110,-3.0%,-4.4%,-1.7%,-0.4%,Dylan Cease,R,52.2,91.3,2486.0,13.6,Sonny Gray,R,50.8,87.5,2488.0,8.0,0.719,0.719,3.92,3.83,-3.1,3.2,CONFIRMED ✓,CONFIRMED+PLATOON,104,,,-0.7%,+0.7%,-2.0%,+2.0%,
2026-07-25,San Diego Padres,Miami Marlins,35.6,64.4,123,-148,120,-145,-9.2%,-9.9%,+4.7% ** BET **,+5.2% ** BET **,Randy Vásquez,R,43.8,91.0,2606.0,8.5,Eury Pérez,R,45.8,92.7,2509.0,13.5,0.689,0.76,4.12,5.29,-2.1,2.1,CONFIRMED ✓,CONFIRMED+PLATOON,96,** BET **,,-7.3%,+7.3%,-7.9%,+7.9%,Miami Marlins
2026-07-25,New York Yankees,Philadelphia Phillies,42.4,57.6,137,-167,-125,105,+0.2%,-13.2%,-4.9%,+8.8%,Ryan Weathers,L,51.2,89.0,2330.0,11.2,Tim Mayza,L,22.5,92.0,2104.0,9.1,0.718,0.732,2.95,4.17,8.6,-8.4,FADE ✗,CONFIRMED+PLATOON,105,,,+2.1%,-2.1%,-10.9%,+10.9%,
2026-07-25,Cleveland Guardians,Tampa Bay Rays,None,None,113,-136,105,-125,N/A,N/A,N/A,N/A,Tanner Bibee,R,59.5,87.8,2288.0,9.7,Nick Martinez,R,0,None,None,None,0.729,0.753,4.5,3.0,3.1,-3.1,N/A,CONFIRMED+PLATOON,98,,,N/A,N/A,N/A,N/A,
2026-07-25,Chicago Cubs,Pittsburgh Pirates,42.3,57.7,104,-125,100,-120,-6.7%,-7.7%,+2.1%,+3.2%,Shota Imanaga,L,57.5,86.6,2027.0,13.3,Paul Skenes,R,57.7,92.6,2101.0,12.7,0.752,0.784,2.73,3.03,1.4,-1.5,FADE ✗,CONFIRMED+PLATOON,98,,,-4.5%,+4.5%,-5.5%,+5.5%,Pittsburgh Pirates
2026-07-25,Atlanta Braves,Baltimore Orioles,55.0,45.0,-106,-114,-110,-110,+3.5% ** BET **,+2.6%,-8.3%,-7.4%,Bryce Elder,R,54.3,88.6,2166.0,8.6,Brandon Young,R,45.7,88.6,2057.0,9.3,0.784,0.702,5.2,2.62,1.4,-1.7,CONFIRMED ✓,CONFIRMED+PLATOON,102,** BET **,,+5.9%,-5.9%,+5.0%,-5.0%,Atlanta Braves
2026-07-25,Athletics,Minnesota Twins,58.3,41.7,124,-149,125,-150,+13.7%,+13.9%,-18.1%,-18.3%,Brady Basso,L,4.2,88.5,2210.0,9.8,Mike Paredes,R,17.2,87.8,2080.0,8.7,0.746,0.654,4.73,5.95,-1.0,0.8,N/A,CONFIRMED+PLATOON,100,,,+15.6%,-15.6%,+15.8%,-15.8%,
