Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds,Game#,GamePk
2026-08-22,Toronto Blue Jays,New York Yankees,55.1,44.9,100,-108,-105,-115,+5.1%,+3.9%,-7.0%,-8.6%,Dylan Cease,R,68.8,90.9,2486.0,13.3,Ryan Weathers,L,67.0,88.8,2336.0,10.8,0.685,0.715,3.05,1.89,N/A,N/A,N/A,ESTIMATED,101,,DK vig 101.9%,+6.0%,-6.0%,+6.2%,-6.2%,Toronto Blue Jays,101,-111,1,823509
2026-08-22,Atlanta Braves,Milwaukee Brewers,39.6,60.4,141,-171,140,-170,-1.9%,-2.1%,-2.7%,-2.6%,Martín Pérez,L,55.7,85.1,1977.0,8.4,Logan Henderson,R,31.7,88.2,2416.0,12.6,0.722,0.733,4.1,2.61,-3.3,3.3,CONFIRMED ✓,ESTIMATED,100,,,-0.1%,+0.1%,-0.2%,+0.2%,,147,-157,1,823743
2026-08-22,Washington Nationals,Miami Marlins,38.7,61.3,153,-186,150,-185,-0.8%,-1.3%,-3.7%,-3.6%,Jake Irvin,R,35.7,87.2,2371.0,9.8,Eury Pérez,R,61.3,92.9,2528.0,13.4,0.758,0.727,3.61,3.2,-9.5,9.3,CONFIRMED ✓,ESTIMATED,96,,,+0.9%,-0.9%,+0.6%,-0.6%,,162,-177,1,823831
2026-08-22,St. Louis Cardinals,Philadelphia Phillies,None,None,113,-136,110,-135,N/A,N/A,N/A,N/A,TBD,R,0,None,None,None,Andrew Painter,R,42.7,90.2,2299.0,9.9,0.7,0.715,3.87,2.95,17.5,-14.7,N/A,ESTIMATED,105,,,N/A,N/A,N/A,N/A,,120,-130,1,823422
2026-08-22,Tampa Bay Rays,Baltimore Orioles,57.9,42.1,-136,113,-135,110,+0.3%,+0.5%,-4.8%,-5.5%,Shane McClanahan,L,51.2,89.7,2096.0,11.7,Brandon Young,R,58.8,88.5,2057.0,9.5,0.736,0.716,6.38,4.0,4.8,-4.7,CONFIRMED ✓,ESTIMATED,102,,,+2.8%,-2.8%,+3.2%,-3.2%,Tampa Bay Rays,-130,120,1,824798
2026-08-22,Los Angeles Angels,Texas Rangers,30.0,70.0,144,-175,145,-175,-11.0%,-10.8%,+6.4%,+6.4%,Ryan Johnson,R,30.2,87.3,2271.0,9.6,Cody Bradford,L,7.7,84.3,1898.0,7.1,0.684,0.708,2.01,3.05,-3.9,3.8,CONFIRMED ✓,ESTIMATED,103,,,-9.2%,+9.2%,-9.1%,+9.1%,,150,-160,1,822858
2026-08-22,Athletics,Houston Astros,38.2,61.8,199,-246,190,-235,+4.8%,+3.7%,-9.3%,-8.3%,Jacob Lopez,L,44.0,84.4,2260.0,10.3,Hunter Brown,R,34.3,92.3,2186.0,9.4,0.716,0.728,5.45,5.91,-18.9,18.7,CONFIRMED ✓,ESTIMATED,99,,,+6.2%,-6.2%,+5.2%,-5.2%,Athletics,199,-219,1,824151
2026-08-22,New York Mets,Chicago White Sox,50.0,50.0,-103,-117,-102,-118,-0.7%,-0.5%,-3.9%,-4.1%,Christian Scott,R,42.3,90.0,2346.0,11.9,Luis Castillo,R,57.7,91.8,2178.0,11.3,0.694,0.726,3.02,3.52,6.1,-6.1,FADE ✗,ESTIMATED,99,,,+1.5%,-1.5%,+1.7%,-1.7%,,101,-111,1,824560
2026-08-22,Detroit Tigers,Kansas City Royals,42.1,57.9,-110,-110,-110,-110,-10.3%,-10.3%,+5.5%,+5.5%,Drew Anderson,R,38.2,90.2,2152.0,11.8,Michael Wacha,R,77.8,87.0,1987.0,8.1,0.724,0.712,5.04,3.3,7.5,-7.5,FADE ✗,ESTIMATED,99,,,-7.9%,+7.9%,-7.9%,+7.9%,,-105,-105,1,824073
2026-08-22,Pittsburgh Pirates,Los Angeles Dodgers,34.5,65.5,214,-267,220,-275,+2.7%,+3.3%,-7.3%,-7.8%,Jared Jones,R,32.0,93.7,2511.0,12.6,Tarik Skubal,L,56.8,92.6,2162.0,15.6,0.742,0.764,3.82,3.6,-1.7,1.7,CONFIRMED ✓,ESTIMATED,96,,,+4.1%,-4.1%,+4.6%,-4.6%,Pittsburgh Pirates,225,-255,1,823910
2026-08-22,Chicago Cubs,Seattle Mariners,52.4,47.6,-101,-119,-102,-118,+2.2%,+1.9%,-6.7%,-6.5%,David Peterson,L,56.2,88.9,2129.0,8.8,Kade Anderson,L,0,None,None,None,0.757,0.684,4.73,7.32,-1.7,1.5,FADE ✗,ESTIMATED,96,,,+4.4%,-4.4%,+4.1%,-4.1%,Chicago Cubs,105,-115,1,823100
2026-08-22,San Francisco Giants,Boston Red Sox,37.1,62.9,177,-217,180,-220,+1.0%,+1.4%,-5.6%,-5.9%,Blade Tidwell,R,13.5,88.8,2469.0,10.9,Patrick Sandoval,L,17.0,88.3,2182.0,10.2,0.71,0.73,5.1,4.35,-3.4,3.4,CONFIRMED ✓,ESTIMATED,104,,,+2.6%,-2.6%,+2.9%,-2.9%,,183,-203,1,824718
2026-08-22,Cincinnati Reds,Arizona Diamondbacks,33.6,66.4,137,-167,135,-165,-8.6%,-9.0%,+3.9%,+4.1%,Rhett Lowder,R,50.5,89.1,2352.0,7.5,Michael Soroka,R,46.0,87.9,2600.0,8.6,0.694,0.717,4.56,4.57,-1.5,1.6,CONFIRMED ✓,ESTIMATED,97,,,-6.7%,+6.7%,-7.0%,+7.0%,,147,-157,1,825044
