Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning
2026-06-02,Detroit Tigers,Tampa Bay Rays,43.0,57.0,119,-143,118,-145,-2.7%,-2.9%,-1.8%,-2.2%,Jack Flaherty,R,26.3,87.3,2304.0,9.4,Steven Matz,L,22.2,87.3,2262.0,9.6,0.687,0.727,5.55,6.58,4.7,-4.8,FADE ✗,ESTIMATED,98,,
2026-06-02,San Diego Padres,Philadelphia Phillies,37.6,62.4,113,-136,115,-140,-9.3%,-8.9%,+4.8%,+4.1%,Randy Vásquez,R,30.2,90.9,2599.0,9.6,Aaron Nola,R,28.3,86.0,2296.0,9.9,0.656,0.673,4.5,3.29,0.0,0.0,N/A,ESTIMATED,105,,
2026-06-02,Baltimore Orioles,Boston Red Sox,45.5,54.5,113,-136,115,-140,-1.4%,-1.0%,-3.1%,-3.8%,Shane Baz,R,32.2,90.8,2433.0,7.4,Connelly Early,L,30.5,88.3,2067.0,8.6,0.715,0.696,3.09,4.42,0.0,0.0,N/A,ESTIMATED,104,,
2026-06-02,Miami Marlins,Washington Nationals,36.7,63.3,100,-120,-102,-118,-13.3%,-13.8%,+8.8%,+9.2%,Lake Bachar,R,14.3,89.7,2646.0,14.0,Miles Mikolas,R,25.2,88.1,2199.0,6.3,0.696,0.743,5.76,3.77,5.2,-5.1,FADE ✗,ESTIMATED,99,,
2026-06-02,Cleveland Guardians,New York Yankees,35.7,64.3,188,-231,185,-225,+1.0%,+0.6%,-5.5%,-4.9%,Joey Cantillo,L,29.0,85.2,1922.0,11.7,Cam Schlittler,R,36.0,95.6,2428.0,13.8,0.692,0.77,5.5,2.89,0.0,0.0,N/A,ESTIMATED,101,,
2026-06-02,Kansas City Royals,Cincinnati Reds,43.5,56.5,109,-131,105,-125,-4.3%,-5.3%,-0.2%,+0.9%,Noah Cameron,L,26.3,86.9,2218.0,9.5,Andrew Abbott,L,31.3,87.5,2430.0,7.7,0.69,0.709,6.9,4.94,9.7,-9.7,FADE ✗,ESTIMATED,106,,
2026-06-02,Toronto Blue Jays,Atlanta Braves,42.8,57.2,108,-131,110,-135,-5.3%,-4.8%,+0.5%,-0.2%,Kevin Gausman,R,34.5,89.3,1996.0,10.9,Bryce Elder,R,36.0,88.7,2165.0,8.7,0.69,0.761,4.55,4.33,0.0,0.0,N/A,ESTIMATED,102,,
2026-06-02,Chicago White Sox,Minnesota Twins,59.9,40.1,-125,104,-125,105,+4.3%,+4.3%,-8.9%,-8.7%,Davis Martin,R,33.8,90.3,2442.0,12.8,Connor Prielipp,L,16.7,89.2,2554.0,8.6,0.733,0.703,2.68,7.11,14.1,-14.1,CONFIRMED ✓,ESTIMATED,100,,
2026-06-02,San Francisco Giants,Milwaukee Brewers,39.0,61.0,162,-198,165,-200,+0.8%,+1.3%,-5.4%,-5.7%,Trevor McDonald,R,14.5,90.6,2322.0,10.8,Kyle Harrison,L,25.8,90.2,2179.0,12.6,0.703,0.7,6.97,2.14,-5.3,5.4,CONFIRMED ✓,ESTIMATED,100,,
2026-06-02,Texas Rangers,St. Louis Cardinals,41.6,58.4,-115,-105,-115,-105,-11.9%,-11.9%,+7.2% ** BET **,+7.2% ** BET **,Nathan Eovaldi,R,34.3,87.5,1898.0,14.8,Dustin May,R,30.5,92.5,2522.0,9.2,0.696,0.696,4.13,3.45,-1.7,1.7,CONFIRMED ✓,ESTIMATED,98,** BET **,
2026-06-02,Athletics,Chicago Cubs,None,None,104,-125,105,-125,N/A,N/A,N/A,N/A,Gage Jump,R,0,None,None,None,Jameson Taillon,R,30.2,86.3,2373.0,10.7,0.724,0.723,6.5,4.73,0.0,0.0,N/A,ESTIMATED,104,,
2026-06-02,Pittsburgh Pirates,Houston Astros,40.1,59.9,-103,-117,-102,-118,-10.6%,-10.4%,+6.0% ** BET **,+5.8%,Bubba Chandler,R,26.0,94.7,2338.0,10.1,Mike Burrows,R,31.7,89.5,2187.0,10.3,0.733,0.727,4.57,3.14,0.0,0.0,N/A,ESTIMATED,99,** BET **,
2026-06-02,Colorado Rockies,Los Angeles Angels,32.2,67.8,135,-163,135,-165,-10.4%,-10.4%,+5.8%,+5.5%,Tomoyuki Sugano,R,29.2,88.1,2312.0,6.1,Grayson Rodriguez,R,7.2,89.7,2292.0,7.9,0.702,0.701,8.85,4.5,6.5,-6.5,FADE ✗,ESTIMATED,97,,
2026-06-02,Los Angeles Dodgers,Arizona Diamondbacks,46.4,53.6,-125,104,-125,105,-9.2%,-9.2%,+4.6%,+4.8%,Eric Lauer,L,21.2,86.0,2008.0,6.4,Michael Soroka,R,30.5,87.9,2593.0,8.9,0.787,0.704,3.05,3.16,-5.5,5.5,CONFIRMED ✓,ESTIMATED,97,,
2026-06-02,New York Mets,Seattle Mariners,None,None,123,-149,N/A,N/A,N/A,N/A,N/A,N/A,TBD,R,0,None,None,None,Logan Gilbert,R,34.2,88.2,1893.0,11.3,0.65,0.713,3.36,1.77,-2.1,2.2,N/A,ESTIMATED,96,,
