date,holdout_start,k_ok,hit_ok,hr_ok
2026-08-18,2026-07-28,1,1,1
2026-08-20,2026-07-30,1,1,1
2026-08-20,2026-07-30,1,1,1
2026-08-27,2026-08-06,1,1,1
