Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag
2026-05-13,New York Yankees,Baltimore Orioles,57.6,42.4,-173,142,-170,140,-5.8%,-5.4%,+1.1%,+0.7%,Max Fried,L,29.1,87.8,2269.0,10.0,Kyle Bradish,R,20.5,90.0,2457.0,8.1,0.773,0.691,3.84,4.02,-1.0,1.2,FADE ✗,ESTIMATED,102,
2026-05-13,Los Angeles Angels,Cleveland Guardians,35,65,129,-156,120,-145,-8.7%,-10.5%,+4.1%,+5.8%,Reid Detmers,L,21.6,87.7,2211.0,9.8,Parker Messick,L,23.5,89.0,2082.0,11.2,0.709,0.687,4.58,3.08,2.7,-2.7,FADE ✗,ESTIMATED,98,
2026-05-13,Washington Nationals,Cincinnati Reds,44.7,55.3,135,-163,140,-170,+2.1%,+3.0%,-6.7%,-7.7%,Jake Irvin,R,19.6,86.9,2363.0,9.4,Nick Lodolo,L,2.5,90.3,2320.0,9.0,0.736,0.735,3.98,5.87,-2.3,2.1,CONFIRMED ✓,CONFIRMED+PLATOON,106,
2026-05-13,Colorado Rockies,Pittsburgh Pirates,35.0,65.0,153,-186,154,-185,-4.5%,-4.4%,+0.0%,+0.1%,Jose Quintana,L,15.0,85.5,2008.0,8.8,Mitch Keller,R,23.5,89.1,2351.0,10.1,0.698,0.735,6.11,2.6,12.4,-12.3,FADE ✗,CONFIRMED+PLATOON,98,
2026-05-13,Philadelphia Phillies,Boston Red Sox,35,65,109,-131,110,-130,-12.8%,-12.6%,+8.3% ** BET **,+8.5% ** BET **,Andrew Painter,R,16.1,90.9,2262.0,8.4,Sonny Gray,R,14.0,87.3,2500.0,7.4,0.659,0.664,4.18,2.8,-12.0,11.9,CONFIRMED ✓,PARTIAL,104,** BET **
2026-05-13,Tampa Bay Rays,Toronto Blue Jays,53.1,46.9,123,-149,125,-150,+8.3% ** BET **,+8.7% ** BET **,-12.9%,-13.1%,Griffin Jax,R,9.0,92.4,2558.0,11.8,Dylan Cease,R,22.6,91.6,2507.0,13.7,0.723,0.684,2.5,3.67,-2.1,2.2,FADE ✗,PARTIAL,100,** BET **
2026-05-13,Detroit Tigers,New York Mets,61.5,38.5,-108,-112,-105,-115,+9.6%,+10.3%,-14.3%,-15.0%,Framber Valdez,L,21.6,87.8,2305.0,8.0,Christian Scott,R,5.5,91.7,2413.0,11.1,1.065,0.634,4.43,3.12,7.1,-7.0,CONFIRMED ✓,PARTIAL,97,
2026-05-13,Chicago Cubs,Atlanta Braves,49.2,50.8,-136,113,-135,110,-8.4%,-8.2%,+3.9%,+3.2%,Shota Imanaga,L,23.6,86.7,1986.0,14.5,JR Ritchie,R,8.6,89.0,2301.0,8.6,0.756,0.787,3.98,2.3,9.8,-9.8,FADE ✗,ESTIMATED,102,
2026-05-13,Kansas City Royals,Chicago White Sox,59.8,40.2,-112,-108,-110,-110,+7.0% ** BET **,+7.4% ** BET **,-11.7%,-12.2%,Seth Lugo,R,23.6,85.5,2509.0,7.0,Noah Schultz,L,12.5,91.0,2572.0,9.2,0.713,0.715,4.58,5.11,-2.9,2.9,FADE ✗,ESTIMATED,99,** BET **
2026-05-13,Miami Marlins,Minnesota Twins,None,None,-131,108,-125,105,N/A,N/A,N/A,N/A,Max Meyer,R,21.0,91.1,2494.0,12.3,Simeon Woods Richardson,R,0,None,None,None,0.694,0.705,4.25,5.09,5.5,-5.4,N/A,ESTIMATED,100,
2026-05-13,San Diego Padres,Milwaukee Brewers,None,None,129,-156,125,-150,N/A,N/A,N/A,N/A,Michael King,R,0,None,None,None,Jacob Misiorowski,R,22.0,96.8,2519.0,15.9,0.667,0.692,3.17,2.15,-4.2,4.2,N/A,ESTIMATED,100,
2026-05-13,Arizona Diamondbacks,Texas Rangers,50.8,49.2,-112,-108,-102,-118,-2.0%,+0.3%,-2.7%,-4.9%,Ryne Nelson,R,19.0,93.0,2348.0,8.7,Kumar Rocker,R,16.1,89.9,2094.0,9.2,0.683,0.693,2.29,2.76,7.2,-6.9,CONFIRMED ✓,PARTIAL,103,
2026-05-13,Seattle Mariners,Houston Astros,None,None,-136,113,-135,110,N/A,N/A,N/A,N/A,Bryce Miller,R,0,None,None,None,Lance McCullers Jr.,R,0,None,None,None,0.7,0.751,3.46,5.37,-2.2,2.1,N/A,ESTIMATED,99,
2026-05-13,St. Louis Cardinals,Athletics,None,None,123,-149,125,-150,N/A,N/A,N/A,N/A,Matthew Liberatore,L,21.0,89.4,2232.0,7.9,J.T. Ginn,R,0,None,None,None,0.706,0.724,2.7,3.12,1.2,-1.1,N/A,ESTIMATED,95,
2026-05-13,San Francisco Giants,Los Angeles Dodgers,36.0,64.0,199,-246,200,-250,+2.6%,+2.7%,-7.1%,-7.4%,Robbie Ray,L,22.6,88.6,2165.0,11.8,Shohei Ohtani,R,18.5,90.8,2450.0,13.9,0.661,0.772,3.95,5.17,-6.7,6.7,CONFIRMED ✓,ESTIMATED,96,
