id,kind,so,denom,season
641302,P,82,423,2025
641312,P,11,56,2025
641329,P,83,274,2025
641386,P,7,47,2025
641401,P,49,199,2025
641585,P,5,16,2025
641656,P,42,166,2025
641745,P,75,276,2025
641755,P,73,308,2025
641778,P,102,426,2025
641793,P,130,759,2025
641816,P,66,346,2025
641835,P,15,74,2025
641927,P,120,624,2025
641941,P,81,270,2025
642048,P,12,66,2025
642100,P,82,243,2025
642121,P,22,90,2025
642152,P,37,207,2025
642207,P,90,259,2025
642215,P,0,12,2025
642232,P,55,264,2025
642397,P,70,279,2025
642528,P,25,135,2025
642547,P,204,723,2025
642701,P,60,270,2025
642759,P,5,20,2025
643361,P,6,56,2025
643377,P,99,283,2025
643410,P,54,219,2025
643511,P,48,299,2025
645261,P,142,745,2025
647315,P,3,39,2025
647336,P,95,379,2025
650556,P,105,296,2025
650633,P,76,308,2025
650644,P,88,435,2025
650911,P,212,807,2025
656222,P,47,231,2025
656234,P,66,248,2025
656240,P,35,194,2025
656271,P,52,257,2025
656288,P,70,328,2025
656302,P,215,722,2025
656427,P,188,681,2025
656457,P,49,215,2025
656464,P,29,121,2025
656546,P,84,287,2025
656550,P,123,492,2025
656577,P,0,8,2025
656605,P,150,749,2025
656638,P,1,6,2025
656641,P,76,348,2025
656686,P,23,89,2025
656716,P,0,1,2025
656730,P,60,192,2025
656794,P,91,391,2025
656848,P,17,79,2025
656849,P,150,723,2025
656876,P,127,585,2025
656945,P,60,238,2025
656986,P,59,199,2025
657044,P,36,175,2025
657097,P,58,267,2025
657277,P,224,856,2025
657424,P,27,137,2025
657514,P,43,224,2025
657571,P,51,270,2025
657612,P,37,269,2025
657649,P,68,268,2025
657746,P,194,689,2025
657756,P,10,48,2025
660271,P,62,188,2025
660604,P,8,46,2025
660761,P,16,81,2025
660787,P,28,160,2025
660825,P,82,313,2025
660853,P,62,280,2025
661395,P,80,287,2025
661527,P,4,27,2025
661563,P,41,244,2025
662253,P,83,254,2025
663158,P,75,269,2025
663362,P,3,25,2025
663372,P,25,135,2025
663423,P,32,180,2025
663432,P,11,47,2025
663436,P,104,601,2025
663460,P,116,476,2025
663465,P,42,266,2025
663485,P,64,299,2025
663542,P,19,75,2025
663554,P,139,627,2025
663558,P,5,20,2025
663559,P,81,518,2025
663568,P,77,461,2025
663574,P,75,301,2025
663623,P,124,787,2025
663687,P,65,277,2025
663738,P,45,289,2025
663765,P,23,170,2025
663767,P,31,181,2025
663855,P,58,314,2025
663878,P,7,75,2025
663893,P,91,295,2025
663903,P,163,716,2025
663941,P,41,232,2025
663947,P,64,312,2025
663967,P,0,4,2025
663969,P,52,313,2025
663978,P,112,670,2025
663992,P,12,57,2025
664076,P,82,243,2025
664126,P,59,244,2025
664129,P,5,24,2025
664141,P,22,117,2025
664192,P,31,165,2025
664199,P,44,206,2025
664208,P,81,248,2025
664285,P,187,802,2025
664299,P,34,157,2025
664353,P,3,14,2025
664744,P,4,9,2025
664849,P,13,37,2025
664854,P,63,252,2025
664875,P,23,69,2025
664991,P,31,133,2025
665152,P,142,708,2025
665660,P,50,183,2025
665665,P,2,8,2025
665795,P,150,581,2025
665871,P,23,153,2025
666142,P,98,257,2025
666157,P,156,642,2025
666171,P,73,257,2025
666200,P,216,758,2025
666277,P,36,173,2025
666374,P,58,199,2025
666619,P,0,36,2025
666661,P,36,152,2025
666711,P,17,86,2025
666808,P,72,278,2025
666974,P,53,251,2025
667297,P,32,126,2025
667463,P,28,222,2025
667755,P,152,724,2025
668390,P,35,162,2025
668670,P,0,16,2025
668674,P,48,249,2025
668678,P,175,813,2025
668716,P,21,98,2025
668820,P,25,148,2025
668834,P,13,62,2025
668881,P,132,420,2025
668909,P,173,704,2025
668933,P,64,284,2025
668941,P,55,255,2025
668964,P,38,220,2025
668970,P,10,43,2025
668984,P,55,219,2025
669020,P,25,193,2025
669022,P,185,680,2025
669060,P,28,224,2025
669062,P,22,128,2025
669084,P,27,155,2025
669093,P,108,304,2025
669145,P,1,28,2025
669160,P,123,584,2025
669194,P,132,619,2025
669199,P,75,296,2025
669211,P,59,268,2025
669212,P,4,35,2025
669276,P,76,266,2025
669302,P,173,535,2025
669330,P,18,82,2025
669358,P,176,711,2025
669371,P,52,241,2025
669372,P,99,392,2025
669373,P,241,748,2025
669387,P,89,419,2025
669432,P,103,423,2025
669438,P,44,185,2025
669456,P,37,159,2025
669461,P,122,648,2025
669467,P,111,715,2025
669620,P,8,56,2025
669622,P,42,204,2025
669684,P,30,148,2025
669704,P,24,105,2025
669711,P,57,278,2025
669713,P,29,131,2025
669724,P,40,260,2025
669854,P,48,199,2025
669920,P,65,336,2025
669923,P,137,524,2025
669947,P,12,38,2025
670032,P,0,2,2025
670036,P,56,226,2025
670059,P,18,125,2025
670167,P,62,265,2025
670183,P,0,5,2025
670280,P,86,251,2025
670329,P,38,142,2025
670912,P,42,170,2025
670950,P,5,29,2025
670970,P,70,286,2025
670990,P,45,155,2025
671096,P,149,684,2025
671106,P,122,676,2025
671109,P,15,78,2025
671111,P,8,52,2025
671131,P,65,330,2025
671162,P,5,31,2025
671212,P,58,226,2025
671737,P,127,605,2025
671922,P,104,300,2025
672282,P,80,266,2025
672335,P,21,110,2025
672456,P,72,389,2025
672582,P,58,275,2025
672782,P,58,277,2025
673380,P,11,41,2025
673513,P,61,272,2025
673540,P,109,482,2025
673929,P,81,269,2025
674370,P,68,363,2025
674444,P,38,189,2025
674841,P,20,98,2025
675512,P,36,180,2025
675540,P,1,16,2025
675848,P,68,261,2025
675911,P,131,539,2025
675919,P,1,7,2025
675989,P,1,10,2025
676051,P,5,21,2025
676083,P,77,447,2025
676106,P,64,385,2025
676130,P,58,284,2025
676254,P,60,266,2025
676263,P,74,307,2025
676282,P,108,401,2025
676395,P,68,269,2025
676428,P,68,277,2025
676440,P,162,762,2025
676467,P,72,379,2025
676477,P,91,293,2025
676508,P,71,333,2025
676510,P,2,7,2025
676534,P,59,255,2025
676571,P,27,110,2025
676604,P,14,59,2025
676617,P,45,199,2025
676661,P,26,170,2025
676664,P,117,583,2025
676680,P,3,16,2025
676684,P,75,284,2025
676702,P,16,89,2025
676742,P,4,34,2025
676755,P,45,198,2025
676760,P,12,42,2025
676775,P,9,42,2025
676879,P,76,270,2025
676917,P,40,219,2025
676962,P,121,472,2025
676974,P,68,285,2025
676979,P,255,814,2025
677020,P,8,25,2025
677161,P,35,152,2025
677865,P,18,65,2025
677944,P,109,545,2025
677952,P,71,292,2025
677955,P,31,129,2025
677958,P,56,287,2025
677960,P,37,166,2025
677961,P,1,12,2025
677976,P,1,19,2025
678020,P,36,173,2025
678022,P,37,161,2025
678368,P,54,348,2025
678394,P,124,700,2025
678606,P,71,324,2025
678906,P,39,139,2025
679358,P,40,178,2025
679775,P,22,115,2025
679883,P,16,56,2025
680573,P,107,471,2025
680604,P,1,16,2025
