date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_h,season_pa,season_g,pa_g,n_eff,f_bat,f_pit,f_park,h_pa,p,p2,odds_dk,odds_mgm,odds_czr,odds2_dk,odds2_mgm,odds2_czr,fair,fair2,odds_dk_u
2026-09-10,823413,650333,Luis Arraez,Philadelphia Phillies,Houston Astros,1,Cristian Javier,664299,R,174,600,138,4.35,4.09,1.2,1.03,1.0,0.26912,72.3,30.5,-259,-275,-265,215,200,178,-261,+228,191
2026-09-10,824872,650490,Yandy Díaz,Tampa Bay Rays,Atlanta Braves,0,Martín Pérez,527048,L,171,626,141,4.44,4.17,1.16,0.98,1.0,0.24592,69.2,27.3,,,,,,,-225,+266,
2026-09-10,824872,686948,Drake Baldwin,Atlanta Braves,Tampa Bay Rays,1,Nick Martinez,607259,R,134,544,124,4.39,4.13,1.08,1.03,1.0,0.24174,68.1,26.1,,,,,,,-213,+283,
2026-09-10,824872,802415,Chandler Simpson,Tampa Bay Rays,Atlanta Braves,0,Martín Pérez,527048,L,160,557,138,4.04,3.8,1.19,0.98,1.0,0.2524,66.9,24.4,,,,,,,-202,+310,
2026-09-10,824872,671739,Michael Harris II,Atlanta Braves,Tampa Bay Rays,1,Nick Martinez,607259,R,152,557,141,3.95,3.71,1.15,1.03,1.0,0.25791,66.9,24.3,,,,,,,-202,+312,
2026-09-10,823413,670541,Yordan Alvarez,Houston Astros,Philadelphia Phillies,0,Zack Wheeler,554430,R,162,633,144,4.4,4.14,1.11,0.96,1.0,0.23025,66.2,24.2,-244,-225,-240,220,230,205,-196,+313,180
2026-09-10,823413,607208,Trea Turner,Philadelphia Phillies,Houston Astros,1,Cristian Javier,664299,R,141,628,141,4.45,4.18,1.02,1.03,1.0,0.22864,66.2,24.4,-210,-210,-209,265,240,220,-196,+310,156
2026-09-10,824872,691406,Junior Caminero,Tampa Bay Rays,Atlanta Braves,0,Martín Pérez,527048,L,156,636,146,4.36,4.1,1.08,0.98,1.0,0.22937,65.6,23.7,,,,,,,-191,+322,
2026-09-10,823499,641355,Cody Bellinger,New York Yankees,Colorado Rockies,1,Ryan Feltner,663372,R,116,502,118,4.25,3.99,1.04,1.05,0.99,0.23419,65.5,23.4,-260,-250,-250,210,200,184,-190,+327,191
2026-09-10,823499,700250,Ben Rice,New York Yankees,Colorado Rockies,1,Ryan Feltner,663372,R,133,599,139,4.31,4.05,1.02,1.05,0.99,0.22919,65.2,23.2,-275,-250,-250,206,200,181,-187,+331,202
2026-09-10,824872,666018,Jonathan Aranda,Tampa Bay Rays,Atlanta Braves,0,Martín Pérez,527048,L,148,616,141,4.37,4.11,1.07,0.98,1.0,0.22617,65.1,23.3,,,,,,,-187,+329,
2026-09-10,824550,693304,Nick Gonzales,Pittsburgh Pirates,Chicago White Sox,0,Hagen Smith,696146,L,155,560,135,4.15,3.9,1.16,0.94,1.0,0.23682,65.1,23.0,-236,-225,-240,234,240,195,-187,+335,174
2026-09-10,824872,621566,Matt Olson,Atlanta Braves,Tampa Bay Rays,1,Nick Martinez,607259,R,140,632,147,4.3,4.04,1.01,1.03,1.0,0.22714,64.7,22.8,,,,,,,-183,+339,
2026-09-10,824872,643289,Mauricio Dubón,Atlanta Braves,Tampa Bay Rays,1,Nick Martinez,607259,R,137,555,139,3.99,3.75,1.08,1.03,1.0,0.2422,64.7,22.3,,,,,,,-183,+348,
2026-09-10,824872,660670,Ronald Acuña Jr.,Atlanta Braves,Tampa Bay Rays,1,Nick Martinez,607259,R,89,408,94,4.34,4.08,1.0,1.03,1.0,0.22482,64.6,22.8,,,,,,,-182,+339,
2026-09-10,823413,547180,Bryce Harper,Philadelphia Phillies,Houston Astros,1,Cristian Javier,664299,R,139,623,146,4.27,4.01,1.02,1.03,1.0,0.22774,64.5,22.6,-224,-225,-218,257,240,215,-182,+342,166
2026-09-10,823499,592450,Aaron Judge,New York Yankees,Colorado Rockies,1,Ryan Feltner,663372,R,55,268,61,4.39,4.13,0.98,1.05,0.99,0.22103,64.4,22.6,,-235,-240,,220,200,-181,+342,
2026-09-10,824872,645277,Ozzie Albies,Atlanta Braves,Tampa Bay Rays,1,Nick Martinez,607259,R,138,621,146,4.25,3.99,1.02,1.03,1.0,0.22756,64.3,22.4,,,,,,,-180,+346,
2026-09-10,823413,665161,Jeremy Peña,Houston Astros,Philadelphia Phillies,0,Zack Wheeler,554430,R,104,416,96,4.33,4.07,1.08,0.96,1.0,0.22348,64.3,22.4,-198,-200,-205,274,250,240,-180,+346,147
2026-09-10,823088,647304,Josh Naylor,Seattle Mariners,Texas Rangers,1,Jacob deGrom,594798,R,142,581,136,4.27,4.01,1.08,0.99,0.98,0.22574,64.2,22.2,-171,-175,-179,340,310,285,-179,+350,128
2026-09-10,823499,671277,Luis García Jr.,New York Yankees,Colorado Rockies,1,Ryan Feltner,663372,R,135,494,135,3.66,3.44,1.14,1.05,0.99,0.25844,64.2,21.4,-289,-295,-295,187,180,182,-179,+367,
2026-09-10,823413,656941,Kyle Schwarber,Philadelphia Phillies,Houston Astros,1,Cristian Javier,664299,R,127,628,140,4.49,4.22,0.96,1.03,1.0,0.21458,63.9,22.3,-225,-190,-197,257,270,240,-177,+348,167
2026-09-10,823088,668227,Randy Arozarena,Seattle Mariners,Texas Rangers,1,Jacob deGrom,594798,R,140,598,138,4.33,4.07,1.05,0.99,0.98,0.21995,63.6,21.9,-167,-155,-164,355,340,320,-175,+357,125
2026-09-10,824550,805367,Chase Meidroth,Chicago White Sox,Pittsburgh Pirates,1,Jared Jones,683003,R,138,583,139,4.19,3.94,1.06,0.99,1.0,0.22566,63.5,21.6,-154,-155,-157,372,360,340,-174,+363,116
2026-09-10,823499,664983,Jake McCarthy,Colorado Rockies,New York Yankees,0,Max Fried,608331,L,140,523,130,4.02,3.78,1.13,0.95,0.99,0.23042,62.8,20.8,-205,-225,-225,264,220,220,-169,+381,153
2026-09-10,823088,607043,Brandon Nimmo,Texas Rangers,Seattle Mariners,0,Logan Gilbert,669302,R,141,593,140,4.24,3.99,1.06,0.98,0.98,0.21921,62.7,21.0,-158,-160,-164,359,333,300,-168,+376,118
2026-09-10,824550,664040,Brandon Lowe,Pittsburgh Pirates,Chicago White Sox,0,Hagen Smith,696146,L,138,597,136,4.39,4.13,1.04,0.94,1.0,0.21199,62.6,21.1,-164,-165,-176,343,310,275,-167,+374,123
