Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds,Game#,GamePk
2026-08-24,Tampa Bay Rays,Detroit Tigers,52.0,48.0,-127,119,-135,110,-3.9%,-5.4%,+2.3%,+0.4%,Drew Rasmussen,R,67.2,92.4,2370.0,11.2,Framber Valdez,L,69.3,88.1,2289.0,7.8,0.711,0.775,5.08,5.44,-3.9,0.8,FADE ✗,CONFIRMED+PLATOON,100,,DK vig 101.6%,-3.0%,+3.0%,-2.7%,+2.7%,Detroit Tigers,-128,118,1,824235
2026-08-24,Boston Red Sox,Miami Marlins,50.5,49.5,-119,111,-125,105,-3.8%,-5.1%,+2.1%,+0.7%,Ranger Suarez,L,56.7,86.0,1979.0,9.3,Sandy Alcantara,R,88.3,92.6,2244.0,9.1,0.77,0.746,3.27,3.53,-3.5,0.7,FADE ✗,CONFIRMED+PLATOON,96,,DK vig 101.7%,-2.9%,+2.9%,-2.8%,+2.8%,,-119,108,1,823828
2026-08-24,Colorado Rockies,Washington Nationals,39.7,60.3,180,-194,170,-210,+4.0% ** BET **,+2.7%,-5.7%,-7.4%,Ryan Feltner,R,46.0,89.4,2325.0,10.5,Cade Cavalli,R,71.3,91.6,2231.0,10.3,0.756,0.682,6.87,3.67,-3.2,0.2,CONFIRMED ✓,CONFIRMED+PLATOON,99,** BET **,DK vig 101.7%,+4.6%,-4.6%,+4.4%,-4.4%,Colorado Rockies,183,-203,1,822695
2026-08-24,Texas Rangers,Chicago White Sox,41.4,58.6,116,-124,110,-135,-4.9%,-6.2%,+3.2%,+1.2%,Kumar Rocker,R,60.5,89.2,2135.0,10.5,José Urquidy,R,8.0,86.1,2334.0,11.6,0.704,0.749,1.96,3.73,-1.6,-1.4,CONFIRMED ✓,CONFIRMED+PLATOON,99,,DK vig 101.7%,-4.1%,+4.1%,-3.9%,+3.9%,Chicago White Sox,120,-130,1,824557
2026-08-24,Cleveland Guardians,Los Angeles Angels,58.0,42.0,-158,147,-170,140,-3.2%,-5.0%,+1.5%,+0.3%,Parker Messick,L,74.5,90.0,2100.0,10.9,George Klassen,R,10.8,92.6,2174.0,13.7,0.684,0.686,1.67,1.71,-1.4,-1.4,N/A,ESTIMATED,97,,DK vig 101.7%,-2.2%,+2.2%,-2.2%,+2.2%,,-159,149,1,823992
2026-08-24,Chicago Cubs,Arizona Diamondbacks,52.7,47.3,-133,124,-145,120,-4.4%,-6.5%,+2.7%,+1.8%,Kevin Gausman,R,71.7,89.1,2000.0,11.7,Merrill Kelly,R,64.5,89.3,2314.0,9.5,0.762,0.719,3.42,6.28,-2.9,0.0,FADE ✗,ESTIMATED,97,,DK vig 101.7%,-3.4%,+3.4%,-3.8%,+3.8%,Arizona Diamondbacks,-140,130,1,825041
2026-08-24,Pittsburgh Pirates,San Diego Padres,47.9,52.1,104,-112,-102,-118,-1.1%,-2.6%,-0.7%,-2.0%,Braxton Ashcraft,R,74.7,92.5,2471.0,11.5,Robbie Ray,L,68.8,88.5,2132.0,10.1,0.738,0.707,4.1,2.6,-3.6,0.9,CONFIRMED ✓,ESTIMATED,94,,DK vig 101.8%,-0.2%,+0.2%,-0.4%,+0.4%,,104,-114,1,823260
2026-08-24,Minnesota Twins,Athletics,51.2,48.8,-141,131,-150,125,-7.3%,-8.8%,+5.5%,+4.4%,Zebby Matthews,R,48.3,89.9,2248.0,8.3,Jeffrey Springs,L,56.8,85.8,2003.0,9.6,0.726,0.685,4.41,5.83,-2.4,-0.4,FADE ✗,CONFIRMED+PLATOON,95,,DK vig 101.8%,-6.3%,+6.3%,-6.3%,+6.3%,,-140,130,1,824964
2026-08-24,Philadelphia Phillies,Seattle Mariners,48.6,51.4,-108,101,-115,-105,-3.3%,-4.9%,+1.6%,+0.2%,Zack Wheeler,R,60.2,90.1,2371.0,13.0,Logan Gilbert,R,75.2,89.6,1941.0,13.0,0.718,0.738,3.11,9.85,-3.2,0.2,CONFIRMED ✓,PARTIAL,96,,DK vig 101.7%,-2.4%,+2.4%,-2.5%,+2.5%,,-110,100,1,823097
2026-08-24,Cincinnati Reds,San Francisco Giants,67.6,32.4,-163,152,-170,140,+5.6% ** BET **,+4.6% ** BET **,-7.3%,-9.3%,Chase Burns,R,68.0,94.3,2647.0,12.6,Carson Whisenhunt,L,16.0,87.5,2188.0,10.7,0.723,0.709,4.56,4.2,0.1,-3.1,CONFIRMED ✓,PARTIAL,95,** BET **,DK vig 101.7%,+6.6%,-6.6%,+7.4%,-7.4%,,-162,152,1,823183
