Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Home SP,Home Hand,Home Reliability%,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag
2026-04-25,Seattle Mariners,St. Louis Cardinals,45.6,54.4,-149,123,-155,125,-14.2%,-15.2%,+9.6% ** BET **,+10.0% ** BET **,Bryan Woo,R,16.0,Matthew Liberatore,L,13.5,0.679,0.732,3.67,4.08,-2.1,2.3,CONFIRMED ✓,CONFIRMED+PLATOON,98,** BET **
2026-04-25,Cleveland Guardians,Toronto Blue Jays,51.4,48.6,123,-149,120,-145,+6.6% ** BET **,+5.9% ** BET **,-11.2%,-10.6%,Joey Cantillo,L,12.6,Kevin Gausman,R,14.1,0.72,0.664,4.17,5.02,-11.9,12.0,FADE ✗,CONFIRMED+PLATOON,100,** BET **
2026-04-25,Miami Marlins,San Francisco Giants,58.4,41.6,-105,-115,105,-130,+7.2% ** BET **,+9.6% ** BET **,-11.9%,-14.9%,Eury Pérez,R,13.0,Robbie Ray,L,14.1,0.739,0.643,3.17,3.38,-2.3,2.3,FADE ✗,ESTIMATED,95,** BET **
2026-04-25,Minnesota Twins,Tampa Bay Rays,39.4,60.6,113,-136,110,-135,-7.5%,-8.2%,+3.0%,+3.2%,Bailey Ober,R,13.0,Shane McClanahan,L,9.0,0.716,0.72,4.67,5.05,-2.1,1.9,CONFIRMED ✓,ESTIMATED,98,
2026-04-25,Washington Nationals,Chicago White Sox,None,None,119,-143,120,-145,N/A,N/A,N/A,N/A,Jake Irvin,R,12.0,Noah Schultz,R,0,0.737,0.708,4.15,4.77,-3.4,3.1,N/A,ESTIMATED,99,
2026-04-25,San Diego Padres,Arizona Diamondbacks,41.1,58.9,-102,-118,100,-120,-9.4%,-8.9%,+4.8%,+4.4%,Germán Márquez,R,9.1,Zac Gallen,R,12.6,0.682,0.723,3.68,6.8,0.0,0.0,CONFIRMED ✓,ESTIMATED,97,
2026-04-25,Athletics,Texas Rangers,51.0,49.0,113,-136,110,-135,+4.1%,+3.4%,-8.6%,-8.4%,Jeffrey Springs,L,14.6,MacKenzie Gore,L,13.0,0.714,0.708,4.04,4.67,3.3,-3.3,CONFIRMED ✓,ESTIMATED,103,
2026-04-25,Los Angeles Angels,Kansas City Royals,None,None,123,-149,135,-160,N/A,N/A,N/A,N/A,Walbert Urena,R,0,Cole Ragans,L,10.5,0.721,0.668,4.08,6.38,-6.4,6.4,N/A,ESTIMATED,99,
2026-04-25,New York Yankees,Houston Astros,46.2,53.8,-156,129,-150,125,-14.7%,-13.8%,+10.1%,+9.4% ** BET **,Ryan Weathers,L,14.1,Mike Burrows,R,13.1,0.749,0.784,1.67,5.33,1.1,-1.2,FADE ✗,ESTIMATED,99,** BET **
2026-04-25,Pittsburgh Pirates,Milwaukee Brewers,48.8,51.2,119,-143,115,-140,+3.1%,+2.3%,-7.6%,-7.1%,Mitch Keller,R,14.5,Jacob Misiorowski,R,13.1,0.716,0.687,3.86,4.03,-12.0,11.9,CONFIRMED ✓,ESTIMATED,100,
2026-04-25,Detroit Tigers,Cincinnati Reds,57.0,43.0,-112,-108,-110,-110,+4.2%,+4.6%,-8.9%,-9.4%,Jack Flaherty,R,11.6,Brady Singer,R,11.6,0.733,0.662,4.67,4.67,-4.8,5.0,FADE ✗,ESTIMATED,106,
2026-04-25,Chicago Cubs,Los Angeles Dodgers,55.5,44.5,113,-136,110,-135,+8.6% ** BET **,+7.9% ** BET **,-13.1%,-12.9%,Colin Rea,R,12.0,Roki Sasaki,R,8.6,0.79,0.821,2.35,4.27,4.4,-4.4,CONFIRMED ✓,ESTIMATED,96,** BET **
2026-04-25,Philadelphia Phillies,Atlanta Braves,35,65,104,-126,110,-130,-14.0%,-12.6%,+9.2%,+8.5%,Zack Wheeler,R,0,Bryce Elder,R,15.0,0.663,0.794,5.16,4.06,3.4,-3.1,FADE ✗,ESTIMATED,102,
