date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_hr,season_pa,exp_pa,f_bat,f_platoon,f_pit,f_park,f_wind,wind,p,odds_dk,odds_mgm,odds_czr,fair
2026-08-13,823508,700250,Ben Rice,New York Yankees,Seattle Mariners,1,Logan Gilbert,669302,R,32,492,4.3,1.8,1.13,1.05,1.08,1.18,WIND 9 OUT,31.3,302,220,290,+219
2026-08-13,823669,656941,Kyle Schwarber,Philadelphia Phillies,Minnesota Twins,0,Taj Bradley,671737,R,35,516,4.4,1.88,1.12,1.0,0.99,1.0,,25.3,210,,225,+295
2026-08-13,822776,575929,Willson Contreras,Boston Red Sox,Toronto Blue Jays,0,Max Scherzer,453286,R,24,451,4.1,1.52,1.05,1.19,1.01,1.16,WIND 8 OUT,25.0,354,280,330,+300
2026-08-13,823508,671277,Luis García Jr.,New York Yankees,Seattle Mariners,1,Logan Gilbert,669302,R,24,403,3.6,1.64,1.13,1.05,1.08,1.18,WIND 9 OUT,24.7,383,280,370,+305
2026-08-13,822776,677800,Wilyer Abreu,Boston Red Sox,Toronto Blue Jays,0,Max Scherzer,453286,R,21,508,4.3,1.25,1.1,1.19,1.01,1.16,WIND 8 OUT,22.9,339,270,305,+337
2026-08-13,823915,641343,Jake Bauers,Milwaukee Brewers,Los Angeles Dodgers,0,Roki Sasaki,808963,R,21,430,4.0,1.41,1.11,1.18,1.1,1.0,,22.6,426,340,390,+342
2026-08-13,823915,660271,Shohei Ohtani,Los Angeles Dodgers,Milwaukee Brewers,1,Shane Drohan,675660,L,27,509,4.4,1.53,1.19,0.92,1.1,1.0,,22.6,302,250,280,+342
2026-08-13,822696,682928,CJ Abrams,Washington Nationals,Chicago Cubs,1,Kevin Gausman,592332,R,29,508,4.3,1.63,1.18,0.97,1.0,1.0,,22.4,386,300,350,+346
2026-08-13,823915,694192,Jackson Chourio,Milwaukee Brewers,Los Angeles Dodgers,0,Roki Sasaki,808963,R,17,393,4.5,1.28,1.03,1.18,1.1,1.0,,21.4,359,340,350,+367
2026-08-13,822776,680776,Jarren Duran,Boston Red Sox,Toronto Blue Jays,0,Max Scherzer,453286,R,16,479,4.2,1.07,1.16,1.19,1.01,1.16,WIND 8 OUT,20.4,439,425,425,+390
2026-08-13,823669,547180,Bryce Harper,Philadelphia Phillies,Minnesota Twins,0,Taj Bradley,671737,R,25,518,4.2,1.42,1.2,1.0,0.99,1.0,,20.0,392,360,370,+400
2026-08-13,822696,691718,Pete Crow-Armstrong,Chicago Cubs,Washington Nationals,0,Cade Cavalli,676917,R,27,538,4.4,1.47,1.13,0.96,1.0,1.0,,19.8,337,290,320,+405
2026-08-13,824561,808959,Munetaka Murakami,Chicago White Sox,Cincinnati Reds,1,Andrew Abbott,671096,L,26,367,4.4,1.86,0.93,1.0,1.05,0.88,WIND 6 IN,19.7,,,,+408
2026-08-13,823508,665862,Jazz Chisholm Jr.,New York Yankees,Seattle Mariners,1,Logan Gilbert,669302,R,17,439,4.0,1.19,1.1,1.05,1.08,1.18,WIND 9 OUT,19.7,386,333,370,+408
2026-08-13,823829,664040,Brandon Lowe,Pittsburgh Pirates,Miami Marlins,0,Tyler Phillips,663969,R,25,500,4.4,1.46,1.19,0.99,0.92,1.0,ROOF,19.6,383,390,390,+410
2026-08-13,823508,677594,Julio Rodríguez,Seattle Mariners,New York Yankees,0,Max Fried,608331,L,19,475,4.3,1.22,1.19,0.86,1.08,1.18,WIND 9 OUT,19.4,455,340,425,+415
2026-08-13,823508,502671,Paul Goldschmidt,New York Yankees,Seattle Mariners,1,Logan Gilbert,669302,R,16,328,3.8,1.37,0.98,1.05,1.08,1.18,WIND 9 OUT,19.4,,,,+415
2026-08-13,823669,665019,Kody Clemens,Minnesota Twins,Philadelphia Phillies,1,Aaron Nola,605400,R,20,429,4.0,1.36,1.06,1.19,0.99,1.0,,19.3,370,333,350,+418
2026-08-13,822776,672960,Kazuma Okamoto,Toronto Blue Jays,Boston Red Sox,1,Payton Tolle,801139,L,24,479,4.1,1.45,0.98,0.99,1.01,1.16,WIND 8 OUT,19.2,,360,400,+421
2026-08-13,823508,663757,Trent Grisham,New York Yankees,Seattle Mariners,1,Logan Gilbert,669302,R,15,399,4.0,1.15,1.09,1.05,1.08,1.18,WIND 9 OUT,19.1,303,280,290,+424
2026-08-13,823915,668930,Brice Turang,Milwaukee Brewers,Los Angeles Dodgers,0,Roki Sasaki,808963,R,16,523,4.5,1.0,1.16,1.18,1.1,1.0,,19.1,542,425,525,+424
2026-08-13,824561,678246,Miguel Vargas,Chicago White Sox,Cincinnati Reds,1,Andrew Abbott,671096,L,25,513,4.4,1.43,1.15,1.0,1.05,0.88,WIND 6 IN,18.9,387,340,350,+429
2026-08-13,823669,680777,Ryan Jeffers,Minnesota Twins,Philadelphia Phillies,1,Aaron Nola,605400,R,10,240,4.1,1.2,1.15,1.19,0.99,1.0,,18.9,558,390,500,+429
2026-08-13,823995,545361,Mike Trout,Los Angeles Angels,Texas Rangers,1,Jacob deGrom,594798,R,20,456,4.5,1.3,1.07,1.05,1.02,1.0,,18.9,383,310,350,+429
2026-08-13,823508,642708,Amed Rosario,New York Yankees,Seattle Mariners,1,Logan Gilbert,669302,R,10,198,3.2,1.33,1.14,1.05,1.08,1.18,WIND 9 OUT,18.5,,,,+441
2026-08-13,824561,695657,Colson Montgomery,Chicago White Sox,Cincinnati Reds,1,Andrew Abbott,671096,L,26,477,4.2,1.55,1.04,1.0,1.05,0.88,WIND 6 IN,17.8,464,320,400,+462
2026-08-13,823915,571970,Max Muncy,Los Angeles Dodgers,Milwaukee Brewers,1,Shane Drohan,675660,L,22,418,3.8,1.49,1.09,0.92,1.1,1.0,,17.8,,340,,+462
2026-08-13,823829,665052,Griffin Conine,Miami Marlins,Pittsburgh Pirates,1,Braxton Ashcraft,677952,R,13,175,3.2,1.67,1.2,1.05,0.92,1.0,ROOF,17.7,431,475,500,+465
2026-08-13,823669,686797,Brooks Lee,Minnesota Twins,Philadelphia Phillies,1,Aaron Nola,605400,R,17,466,4.0,1.14,1.14,1.19,0.99,1.0,,17.5,630,475,575,+471
2026-08-13,822776,678882,Ceddanne Rafaela,Boston Red Sox,Toronto Blue Jays,0,Max Scherzer,453286,R,16,484,4.2,1.06,0.98,1.19,1.01,1.16,WIND 8 OUT,17.3,598,360,525,+478
2026-08-13,823829,699013,Esmerlyn Valdez,Pittsburgh Pirates,Miami Marlins,0,Tyler Phillips,663969,R,14,204,3.9,1.63,1.02,0.99,0.92,1.0,ROOF,16.9,483,425,475,+492
2026-08-13,823995,687263,Zach Neto,Los Angeles Angels,Texas Rangers,1,Jacob deGrom,594798,R,20,528,4.5,1.18,1.05,1.05,1.02,1.0,,16.9,493,400,475,+492
2026-08-13,823508,686527,Dominic Canzone,Seattle Mariners,New York Yankees,0,Max Fried,608331,L,19,353,3.3,1.49,1.07,0.86,1.08,1.18,WIND 9 OUT,16.6,421,400,425,+502
2026-08-13,823915,596142,Gary Sánchez,Milwaukee Brewers,Los Angeles Dodgers,0,Roki Sasaki,808963,R,10,206,3.2,1.3,1.07,1.18,1.1,1.0,,16.6,,,,+502
2026-08-13,822696,664023,Ian Happ,Chicago Cubs,Washington Nationals,0,Cade Cavalli,676917,R,20,498,4.3,1.23,1.09,0.96,1.0,1.0,,15.9,490,425,475,+529
2026-08-13,822696,673548,Seiya Suzuki,Chicago Cubs,Washington Nationals,0,Cade Cavalli,676917,R,20,453,4.4,1.31,0.99,0.96,1.0,1.0,,15.8,416,390,400,+533
2026-08-13,823669,668904,Royce Lewis,Minnesota Twins,Philadelphia Phillies,1,Aaron Nola,605400,R,13,357,4.1,1.12,1.0,1.19,0.99,1.0,,15.7,441,400,425,+537
2026-08-13,823995,592626,Joc Pederson,Texas Rangers,Los Angeles Angels,0,Walbert Ureña,700712,R,22,363,3.3,1.64,1.14,0.86,1.02,1.0,,15.6,336,333,330,+541
2026-08-13,824561,668709,JJ Bleday,Cincinnati Reds,Chicago White Sox,0,Davis Martin,663436,R,20,381,4.2,1.47,1.09,0.87,1.05,0.88,WIND 6 IN,15.5,464,390,425,+545
2026-08-13,822776,668939,Adley Rutschman,Boston Red Sox,Toronto Blue Jays,0,Max Scherzer,453286,R,8,293,4.2,0.94,0.97,1.19,1.01,1.16,WIND 8 OUT,15.3,505,450,500,+554
2026-08-13,823669,605137,Josh Bell,Minnesota Twins,Philadelphia Phillies,1,Aaron Nola,605400,R,16,475,4.1,1.07,1.02,1.19,0.99,1.0,,15.3,400,400,400,+554
2026-08-13,823995,608369,Corey Seager,Texas Rangers,Los Angeles Angels,0,Walbert Ureña,700712,R,12,263,4.2,1.28,1.13,0.86,1.02,1.0,,15.3,432,340,390,+554
2026-08-13,823508,641857,Ryan McMahon,New York Yankees,Seattle Mariners,1,Logan Gilbert,669302,R,10,290,3.2,1.08,1.14,1.05,1.08,1.18,WIND 9 OUT,15.2,517,400,500,+558
