batter,date,game_pk,bat_team,home_team,pa_n,hr,pa_vl,hr_vl,pa_vr,hr_vr
669357,2026-03-26,823081,STL,STL,4,0,1,0,3,0
669394,2026-03-26,823486,TEX,PHI,4,1,3,1,1,0
669397,2026-03-26,824218,HOU,HOU,1,0,0,0,1,0
669701,2026-03-26,823486,TEX,PHI,3,0,2,0,1,0
669707,2026-03-26,823649,PIT,NYM,4,0,0,0,4,0
669720,2026-03-26,823812,CWS,MIL,4,0,2,0,2,0
670042,2026-03-26,823163,SEA,SEA,4,1,0,0,4,1
670242,2026-03-26,824865,MIN,BAL,4,0,3,0,1,0
670541,2026-03-26,824218,HOU,HOU,4,0,0,0,4,0
670623,2026-03-26,824218,HOU,HOU,4,0,1,0,3,0
670770,2026-03-26,824541,CIN,CIN,4,0,3,0,1,0
671056,2026-03-26,823081,STL,STL,5,0,0,0,5,0
671277,2026-03-26,824704,WSH,CHC,2,0,0,0,2,0
671976,2026-03-26,823812,CWS,MIL,1,0,0,0,1,0
672356,2026-03-26,823163,CLE,SEA,4,0,1,0,3,0
672515,2026-03-26,823974,AZ,LAD,4,0,1,0,3,0
672695,2026-03-26,823974,AZ,LAD,4,1,1,0,3,1
672724,2026-03-26,824218,LAA,HOU,4,0,1,0,3,0
672820,2026-03-26,823812,CWS,MIL,2,0,2,0,0,0
673237,2026-03-26,824218,HOU,HOU,4,0,0,0,4,0
673357,2026-03-26,823649,NYM,NYM,5,0,2,0,3,0
673962,2026-03-26,823486,TEX,PHI,4,0,3,0,1,0
676356,2026-03-26,823081,TB,STL,4,0,3,0,1,0
676439,2026-03-26,823081,TB,STL,1,0,0,0,1,0
676475,2026-03-26,823081,STL,STL,5,1,1,0,4,1
676694,2026-03-26,824218,HOU,HOU,4,0,0,0,4,0
677587,2026-03-26,823163,CLE,SEA,4,0,1,0,3,0
677592,2026-03-26,823812,CWS,MIL,3,0,0,0,3,0
677594,2026-03-26,823163,SEA,SEA,4,0,1,0,3,0
677649,2026-03-26,823486,TEX,PHI,1,0,0,0,1,0
677800,2026-03-26,824541,BOS,CIN,4,0,3,0,1,0
677942,2026-03-26,824865,BAL,BAL,3,0,0,0,3,0
677950,2026-03-26,823974,AZ,LAD,3,0,0,0,3,0
678009,2026-03-26,823325,DET,SD,4,0,0,0,4,0
678246,2026-03-26,823812,CWS,MIL,4,0,2,0,2,0
678882,2026-03-26,824541,BOS,CIN,4,0,2,0,2,0
679529,2026-03-26,823325,DET,SD,5,0,1,0,4,0
680574,2026-03-26,824541,CIN,CIN,4,0,3,0,1,0
680700,2026-03-26,823081,TB,STL,2,0,0,0,2,0
680757,2026-03-26,823163,CLE,SEA,5,0,1,0,4,0
680776,2026-03-26,824541,BOS,CIN,5,0,5,0,0,0
680777,2026-03-26,824865,MIN,BAL,4,0,3,0,1,0
680779,2026-03-26,823649,PIT,NYM,4,0,0,0,4,0
680977,2026-03-26,823163,SEA,SEA,4,1,1,0,3,1
681082,2026-03-26,823486,PHI,PHI,4,0,1,0,3,0
681297,2026-03-26,824865,BAL,BAL,3,0,0,0,3,0
681351,2026-03-26,824218,LAA,HOU,4,0,1,0,3,0
681481,2026-03-26,823325,DET,SD,5,0,0,0,5,0
681624,2026-03-26,823974,LAD,LAD,4,1,0,0,4,1
682177,2026-03-26,823163,CLE,SEA,2,0,0,0,2,0
682622,2026-03-26,824541,CIN,CIN,2,0,2,0,0,0
682626,2026-03-26,823649,NYM,NYM,5,1,0,0,5,1
682657,2026-03-26,823163,CLE,SEA,2,0,1,0,1,0
682668,2026-03-26,823812,CWS,MIL,3,0,1,0,2,0
682829,2026-03-26,824541,CIN,CIN,4,0,3,0,1,0
682928,2026-03-26,824704,WSH,CHC,4,0,3,0,1,0
682985,2026-03-26,823325,DET,SD,5,0,1,0,4,0
682998,2026-03-26,823974,AZ,LAD,4,0,1,0,3,0
683002,2026-03-26,824865,BAL,BAL,4,0,2,0,2,0
683083,2026-03-26,824704,WSH,CHC,4,0,3,0,1,0
683146,2026-03-26,823649,NYM,NYM,5,0,1,0,4,0
683734,2026-03-26,823812,MIL,MIL,4,0,2,0,2,0
683737,2026-03-26,824704,CHC,CHC,5,0,1,0,4,0
686217,2026-03-26,823812,MIL,MIL,5,1,2,1,3,0
686527,2026-03-26,823163,SEA,SEA,4,2,0,0,4,2
686780,2026-03-26,823081,STL,STL,4,0,1,0,3,0
686797,2026-03-26,824865,MIN,BAL,3,0,3,0,0,0
686894,2026-03-26,824704,WSH,CHC,4,1,3,1,1,0
687263,2026-03-26,824218,LAA,HOU,5,0,1,0,4,0
687363,2026-03-26,823081,STL,STL,4,0,1,0,3,0
687401,2026-03-26,823812,MIL,MIL,3,0,2,0,1,0
687462,2026-03-26,823649,PIT,NYM,4,0,0,0,4,0
690993,2026-03-26,823325,DET,SD,5,0,0,0,5,0
691023,2026-03-26,823081,STL,STL,4,0,1,0,3,0
691026,2026-03-26,823081,STL,STL,5,0,1,0,4,0
691406,2026-03-26,823081,TB,STL,6,0,4,0,2,0
691718,2026-03-26,824704,CHC,CHC,5,0,2,0,3,0
691723,2026-03-26,824865,BAL,BAL,3,0,0,0,3,0
691781,2026-03-26,824704,WSH,CHC,5,1,2,0,3,1
691783,2026-03-26,823974,AZ,LAD,3,0,0,0,3,0
691785,2026-03-26,824541,BOS,CIN,2,0,0,0,2,0
693304,2026-03-26,823649,PIT,NYM,4,0,0,0,4,0
693307,2026-03-26,823325,DET,SD,5,1,1,0,4,1
694208,2026-03-26,824704,CHC,CHC,4,0,0,0,4,0
694212,2026-03-26,824865,BAL,BAL,4,0,2,0,2,0
694374,2026-03-26,823974,AZ,LAD,3,0,0,0,3,0
694384,2026-03-26,824218,LAA,HOU,5,1,0,0,5,1
694388,2026-03-26,824218,HOU,HOU,4,0,1,0,3,0
694497,2026-03-26,823486,TEX,PHI,2,0,0,0,2,0
694671,2026-03-26,823486,TEX,PHI,4,0,3,0,1,0
695578,2026-03-26,824704,WSH,CHC,5,0,2,0,3,0
695657,2026-03-26,823812,CWS,MIL,4,0,1,0,3,0
695734,2026-03-26,824704,WSH,CHC,5,0,3,0,2,0
696285,2026-03-26,824704,WSH,CHC,4,1,1,0,3,1
700246,2026-03-26,823081,TB,STL,5,0,3,0,2,0
700337,2026-03-26,823812,CWS,MIL,3,0,0,0,3,0
700932,2026-03-26,823163,CLE,SEA,5,0,2,0,3,0
701350,2026-03-26,824541,BOS,CIN,5,0,4,0,1,0
701358,2026-03-26,824218,HOU,HOU,4,0,0,0,4,0
701398,2026-03-26,824541,CIN,CIN,4,0,3,0,1,0
701538,2026-03-26,823325,SD,SD,4,0,4,0,0,0
701675,2026-03-26,823081,STL,STL,4,0,1,0,3,0
701807,2026-03-26,823649,NYM,NYM,5,1,1,0,4,1
702222,2026-03-26,823486,PHI,PHI,4,0,1,0,3,0
702284,2026-03-26,823163,SEA,SEA,3,0,0,0,3,0
702332,2026-03-26,824541,BOS,CIN,4,0,3,0,1,0
800050,2026-03-26,823163,CLE,SEA,5,2,1,0,4,2
802139,2026-03-26,823081,STL,STL,5,1,1,0,4,1
802415,2026-03-26,823081,TB,STL,3,0,2,0,1,0
805367,2026-03-26,823812,CWS,MIL,4,1,1,0,3,1
805808,2026-03-26,823325,DET,SD,5,0,1,0,4,0
807712,2026-03-26,824865,MIN,BAL,4,0,3,0,1,0
807713,2026-03-26,824704,CHC,CHC,3,0,1,0,2,0
808959,2026-03-26,823812,CWS,MIL,4,1,0,0,4,1
810938,2026-03-26,823081,TB,STL,4,0,3,0,1,0
467793,2026-03-27,823971,AZ,LAD,4,0,0,0,4,0
502671,2026-03-27,823243,NYY,SF,5,0,5,0,0,0
514888,2026-03-27,824216,HOU,HOU,4,0,3,0,1,0
516782,2026-03-27,824946,KC,ATL,3,0,3,0,0,0
518692,2026-03-27,823971,LAD,LAD,4,0,0,0,4,0
519317,2026-03-27,823243,NYY,SF,4,1,2,0,2,1
521692,2026-03-27,824946,KC,ATL,4,0,3,0,1,0
543807,2026-03-27,822839,TOR,TOR,4,0,1,0,3,0
545341,2026-03-27,823243,NYY,SF,2,0,2,0,0,0
545361,2026-03-27,824216,LAA,HOU,5,1,0,0,5,1
571448,2026-03-27,823971,AZ,LAD,4,0,0,0,4,0
571970,2026-03-27,823971,LAD,LAD,3,0,0,0,3,0
572233,2026-03-27,824216,HOU,HOU,4,0,2,0,2,0
592206,2026-03-27,823324,SD,SD,1,0,0,0,1,0
592450,2026-03-27,823243,NYY,SF,4,1,3,1,1,0
592518,2026-03-27,823324,SD,SD,4,0,3,0,1,0
593428,2026-03-27,823324,SD,SD,4,0,4,0,0,0
595879,2026-03-27,823324,DET,SD,4,0,0,0,4,0
596103,2026-03-27,823893,MIA,MIA,3,0,3,0,0,0
605141,2026-03-27,823971,LAD,LAD,4,1,0,0,4,1
606192,2026-03-27,823971,LAD,LAD,3,0,0,0,3,0
606466,2026-03-27,823971,AZ,LAD,5,1,2,0,3,1
608070,2026-03-27,823162,CLE,SEA,4,0,0,0,4,0
609280,2026-03-27,823324,SD,SD,4,0,3,0,1,0
621043,2026-03-27,824216,HOU,HOU,4,0,2,0,2,0
621566,2026-03-27,824946,ATL,ATL,4,0,4,0,0,0
624585,2026-03-27,824216,LAA,HOU,5,0,0,0,5,0
630105,2026-03-27,823324,SD,SD,4,0,3,0,1,0
641355,2026-03-27,823243,NYY,SF,4,0,3,0,1,0
641680,2026-03-27,824946,ATL,ATL,4,0,4,0,0,0
641857,2026-03-27,823243,NYY,SF,2,0,1,0,1,0
642201,2026-03-27,824946,ATL,ATL,4,0,4,0,0,0
642708,2026-03-27,823243,NYY,SF,2,0,2,0,0,0
642715,2026-03-27,823243,SF,SF,3,0,1,0,2,0
643289,2026-03-27,824946,ATL,ATL,4,0,4,0,0,0
643446,2026-03-27,822839,ATH,TOR,3,0,0,0,3,0
645277,2026-03-27,824946,ATL,ATL,4,1,4,1,0,0
646240,2026-03-27,823243,SF,SF,4,0,1,0,3,0
647304,2026-03-27,823162,SEA,SEA,4,0,0,0,4,0
650333,2026-03-27,823243,SF,SF,4,0,0,0,4,0
650402,2026-03-27,823324,DET,SD,5,0,0,0,5,0
650489,2026-03-27,823893,COL,MIA,4,0,0,0,4,0
656305,2026-03-27,823243,SF,SF,4,0,0,0,4,0
656555,2026-03-27,823162,CLE,SEA,4,0,0,0,4,0
656716,2026-03-27,823324,DET,SD,2,0,0,0,2,0
656976,2026-03-27,823971,AZ,LAD,4,0,0,0,4,0
657041,2026-03-27,824946,KC,ATL,4,0,3,0,1,0
657656,2026-03-27,823324,SD,SD,4,0,3,0,1,0
657757,2026-03-27,823324,SD,SD,1,0,0,0,1,0
660162,2026-03-27,824216,LAA,HOU,5,0,1,0,4,0
660271,2026-03-27,823971,LAD,LAD,4,0,0,0,4,0
660670,2026-03-27,824946,ATL,ATL,5,0,4,0,1,0
660844,2026-03-27,823162,SEA,SEA,3,0,0,0,3,0
662139,2026-03-27,822839,TOR,TOR,4,0,0,0,4,0
663330,2026-03-27,823324,DET,SD,1,0,1,0,0,0
663586,2026-03-27,824946,ATL,ATL,4,0,4,0,0,0
663656,2026-03-27,823971,LAD,LAD,4,0,0,0,4,0
663697,2026-03-27,824946,KC,ATL,4,0,3,0,1,0
663728,2026-03-27,823162,SEA,SEA,4,0,0,0,4,0
663757,2026-03-27,823243,NYY,SF,2,0,2,0,0,0
663837,2026-03-27,823324,DET,SD,2,0,2,0,0,0
664034,2026-03-27,823324,SD,SD,3,0,3,0,0,0
664056,2026-03-27,823243,SF,SF,3,0,0,0,3,0
664770,2026-03-27,822839,TOR,TOR,4,0,1,0,3,0
664983,2026-03-27,823893,COL,MIA,3,0,0,0,3,0
665052,2026-03-27,823893,MIA,MIA,1,0,1,0,0,0
665161,2026-03-27,824216,HOU,HOU,5,0,3,0,2,0
665487,2026-03-27,823324,SD,SD,4,0,4,0,0,0
665489,2026-03-27,822839,TOR,TOR,4,0,1,0,3,0
665862,2026-03-27,823243,NYY,SF,4,0,3,0,1,0
665926,2026-03-27,822839,TOR,TOR,4,0,1,0,3,0
666126,2026-03-27,822839,ATH,TOR,1,0,0,0,1,0
666139,2026-03-27,824216,LAA,HOU,4,1,1,0,3,1
666176,2026-03-27,824216,LAA,HOU,5,0,1,0,4,0
666310,2026-03-27,823162,CLE,SEA,4,0,0,0,4,0
666397,2026-03-27,823893,COL,MIA,2,0,0,0,2,0
667670,2026-03-27,822839,ATH,TOR,4,0,0,0,4,0
668227,2026-03-27,823162,SEA,SEA,4,0,0,0,4,0
669127,2026-03-27,822839,ATH,TOR,4,2,0,0,4,2
669134,2026-03-27,823324,SD,SD,3,0,3,0,0,0
669224,2026-03-27,823243,NYY,SF,4,0,4,0,0,0
669257,2026-03-27,823971,LAD,LAD,3,0,0,0,3,0
669364,2026-03-27,823893,MIA,MIA,4,0,2,0,2,0
669477,2026-03-27,823243,SF,SF,3,0,0,0,3,0
670042,2026-03-27,823162,SEA,SEA,4,1,0,0,4,1
670541,2026-03-27,824216,HOU,HOU,5,1,3,1,2,0
670623,2026-03-27,824216,HOU,HOU,4,0,3,0,1,0
671218,2026-03-27,823243,SF,SF,3,0,0,0,3,0
671732,2026-03-27,822839,ATH,TOR,3,0,0,0,3,0
671739,2026-03-27,824946,ATL,ATL,4,1,3,1,1,0
672016,2026-03-27,822839,ATH,TOR,2,0,0,0,2,0
672275,2026-03-27,823243,SF,SF,3,0,0,0,3,0
672356,2026-03-27,823162,CLE,SEA,3,0,0,0,3,0
672386,2026-03-27,822839,TOR,TOR,4,0,0,0,4,0
672515,2026-03-27,823971,AZ,LAD,4,0,0,0,4,0
672580,2026-03-27,824946,KC,ATL,4,0,3,0,1,0
672640,2026-03-27,823893,MIA,MIA,4,0,2,0,2,0
672695,2026-03-27,823971,AZ,LAD,4,0,2,0,2,0
672724,2026-03-27,824216,LAA,HOU,4,0,1,0,3,0
672960,2026-03-27,822839,TOR,TOR,4,0,0,0,4,0
673237,2026-03-27,824216,HOU,HOU,4,0,2,0,2,0
676391,2026-03-27,822839,TOR,TOR,4,0,0,0,4,0
676609,2026-03-27,823243,NYY,SF,4,0,3,0,1,0
677587,2026-03-27,823162,CLE,SEA,3,0,0,0,3,0
677594,2026-03-27,823162,SEA,SEA,4,0,0,0,4,0
677950,2026-03-27,823971,AZ,LAD,4,0,2,0,2,0
677951,2026-03-27,824946,KC,ATL,4,0,3,0,1,0
678009,2026-03-27,823324,DET,SD,2,0,0,0,2,0
678662,2026-03-27,823893,COL,MIA,4,0,0,0,4,0
679529,2026-03-27,823324,DET,SD,4,0,1,0,3,0
680718,2026-03-27,822839,TOR,TOR,4,0,1,0,3,0
680757,2026-03-27,823162,CLE,SEA,4,0,0,0,4,0
680977,2026-03-27,823162,SEA,SEA,4,0,0,0,4,0
681198,2026-03-27,823893,COL,MIA,4,0,0,0,4,0
681351,2026-03-27,824216,LAA,HOU,4,0,1,0,3,0
681393,2026-03-27,823893,MIA,MIA,4,0,2,0,2,0
681481,2026-03-27,823324,DET,SD,5,0,0,0,5,0
681624,2026-03-27,823971,LAD,LAD,3,0,0,0,3,0
681715,2026-03-27,823893,MIA,MIA,4,0,2,0,2,0
682663,2026-03-27,823893,MIA,MIA,4,0,3,0,1,0
682985,2026-03-27,823324,DET,SD,5,0,1,0,4,0
682998,2026-03-27,823971,AZ,LAD,4,0,2,0,2,0
683357,2026-03-27,823893,MIA,MIA,4,0,2,0,2,0
686469,2026-03-27,824946,KC,ATL,4,0,3,0,1,0
686527,2026-03-27,823162,SEA,SEA,3,0,0,0,3,0
686555,2026-03-27,824946,KC,ATL,3,0,3,0,0,0
686668,2026-03-27,823893,COL,MIA,4,0,0,0,4,0
686948,2026-03-27,824946,ATL,ATL,5,1,4,1,1,0
687263,2026-03-27,824216,LAA,HOU,5,1,0,0,5,1
687597,2026-03-27,823893,COL,MIA,4,0,0,0,4,0
690022,2026-03-27,823893,COL,MIA,1,0,1,0,0,0
690924,2026-03-27,823893,COL,MIA,1,0,1,0,0,0
690976,2026-03-27,823971,LAD,LAD,3,1,0,0,3,1
690993,2026-03-27,823324,DET,SD,2,0,0,0,2,0
691016,2026-03-27,822839,ATH,TOR,4,0,0,0,4,0
691594,2026-03-27,823893,MIA,MIA,3,0,2,0,1,0
691720,2026-03-27,823893,COL,MIA,3,0,1,0,2,0
691777,2026-03-27,822839,ATH,TOR,3,0,0,0,3,0
691783,2026-03-27,823971,AZ,LAD,4,0,2,0,2,0
692216,2026-03-27,823162,CLE,SEA,4,0,0,0,4,0
693307,2026-03-27,823324,DET,SD,4,0,2,0,2,0
694384,2026-03-27,824216,LAA,HOU,5,0,0,0,5,0
694388,2026-03-27,824216,HOU,HOU,1,0,0,0,1,0
694728,2026-03-27,824216,HOU,HOU,3,0,2,0,1,0
695506,2026-03-27,824946,KC,ATL,1,0,0,0,1,0
695600,2026-03-27,824946,KC,ATL,3,0,2,0,1,0
696100,2026-03-27,823893,COL,MIA,4,0,0,0,4,0
700932,2026-03-27,823162,CLE,SEA,4,0,0,0,4,0
701358,2026-03-27,824216,HOU,HOU,4,0,2,0,2,0
701538,2026-03-27,823324,SD,SD,4,0,3,0,1,0
701762,2026-03-27,822839,ATH,TOR,4,0,0,0,4,0
702284,2026-03-27,823162,SEA,SEA,3,1,0,0,3,1
800050,2026-03-27,823162,CLE,SEA,4,1,0,0,4,1
805300,2026-03-27,823893,MIA,MIA,4,0,3,0,1,0
805779,2026-03-27,822839,ATH,TOR,4,0,0,0,4,0
805808,2026-03-27,823324,DET,SD,5,0,3,0,2,0
808982,2026-03-27,823243,SF,SF,3,0,1,0,2,0
457705,2026-03-28,823488,TEX,PHI,3,0,2,0,1,0
467793,2026-03-28,823973,AZ,LAD,3,0,1,0,2,0
500743,2026-03-28,823973,LAD,LAD,2,0,2,0,0,0
514888,2026-03-28,824213,HOU,HOU,5,0,4,0,1,0
518692,2026-03-28,823973,LAD,LAD,4,0,2,0,2,0
519317,2026-03-28,823241,NYY,SF,4,0,1,0,3,0
521692,2026-03-28,824945,KC,ATL,4,1,1,0,3,1
542303,2026-03-28,823651,PIT,NYM,6,0,4,0,2,0
543510,2026-03-28,823973,AZ,LAD,3,0,1,0,2,0
543760,2026-03-28,823651,NYM,NYM,4,0,1,0,3,0
543807,2026-03-28,822838,TOR,TOR,6,0,4,0,2,0
545361,2026-03-28,824213,LAA,HOU,5,0,0,0,5,0
547180,2026-03-28,823488,PHI,PHI,5,0,5,0,0,0
553993,2026-03-28,824540,CIN,CIN,5,0,1,0,4,0
571448,2026-03-28,823973,AZ,LAD,4,0,0,0,4,0
571970,2026-03-28,823973,LAD,LAD,1,0,0,0,1,0
572233,2026-03-28,824213,HOU,HOU,5,0,3,0,2,0
573262,2026-03-28,824945,ATL,ATL,4,0,1,0,3,0
575929,2026-03-28,824540,BOS,CIN,5,0,1,0,4,0
592206,2026-03-28,823323,SD,SD,4,0,1,0,3,0
592450,2026-03-28,823241,NYY,SF,4,1,2,1,2,0
592518,2026-03-28,823323,SD,SD,4,0,0,0,4,0
592626,2026-03-28,823488,TEX,PHI,2,0,0,0,2,0
592663,2026-03-28,823488,PHI,PHI,4,0,1,0,3,0
592885,2026-03-28,823811,MIL,MIL,5,0,1,0,4,0
593428,2026-03-28,823323,SD,SD,4,0,1,0,3,0
593871,2026-03-28,823651,NYM,NYM,5,0,1,0,4,0
596019,2026-03-28,823651,NYM,NYM,5,0,2,0,3,0
