Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds,Game#,GamePk,DK RL Away,DK RL Home,MGM RL Away,MGM RL Home
2026-09-11,Pittsburgh Pirates,Chicago Cubs,40.5,59.5,159,-194,165,-200,+1.9%,+2.8%,-6.5%,-7.2%,Wilber Dotel,R,16.3,93.8,2195.0,9.7,Shota Imanaga,L,78.2,86.4,2038.0,13.6,0.741,0.759,1.83,5.08,1.2,-1.2,N/A,CONFIRMED+PLATOON,104,,,+3.6%,-3.6%,+4.4%,-4.4%,Pittsburgh Pirates,170,-205,1,824631,+1.5@-132,-1.5@109,+1.5@-130,-1.5@105
2026-09-11,Colorado Rockies,Detroit Tigers,44.6,55.4,154,-187,155,-190,+5.2%,+5.4%,-9.8%,-10.1%,Mason Adams,R,6.8,89.6,2289.0,9.3,Framber Valdez,L,78.8,88.1,2286.0,7.6,0.706,0.742,7.41,3.02,0.5,-0.5,N/A,CONFIRMED+PLATOON,100,,,+6.9%,-6.9%,+7.2%,-7.2%,,156,-190,1,824227,+1.5@-143,-1.5@119,+1.5@-140,-1.5@115
2026-09-11,Los Angeles Angels,Washington Nationals,28.9,71.1,129,-156,125,-155,-14.8%,-15.5%,+10.2%,+10.3%,Yusei Kikuchi,L,24.5,89.9,2214.0,10.0,Cade Cavalli,R,79.3,91.6,2238.0,10.7,0.682,0.792,2.29,6.38,0.0,0.0,N/A,PARTIAL,99,,,-12.9%,+12.9%,-13.3%,+13.3%,,129,-152,1,822684,+1.5@-164,-1.5@136,+1.5@-160,-1.5@135
2026-09-11,New York Mets,New York Yankees,50.7,49.3,114,-137,115,-140,+4.0% ** BET **,+4.2% ** BET **,-8.5%,-9.0%,Nolan McLean,R,80.8,91.1,2505.0,9.2,Carlos Rodón,L,32.0,90.6,2321.0,11.6,0.703,0.721,6.67,2.19,0.9,-0.9,N/A,ESTIMATED,101,** BET **,,+6.0%,-6.0%,+6.3%,-6.3%,New York Mets,115,-135,1,823498,+1.5@-181,-1.5@149,+1.5@-185,-1.5@150
2026-09-11,Baltimore Orioles,Toronto Blue Jays,44.5,55.5,114,-138,115,-140,-2.2%,-2.0%,-2.5%,-2.8%,Chris Bassitt,R,42.7,85.3,2188.0,8.4,Max Scherzer,R,31.3,87.5,2263.0,8.1,0.71,0.692,3.5,3.48,-2.1,2.2,CONFIRMED ✓,ESTIMATED,100,,,-0.1%,+0.1%,+0.1%,-0.1%,,122,-145,1,822767,+1.5@-186,-1.5@153,+1.5@-190,-1.5@155
2026-09-11,Kansas City Royals,Boston Red Sox,35.3,64.7,168,-206,170,-210,-2.0%,-1.7%,-2.6%,-3.0%,Seth Lugo,R,79.5,85.7,2516.0,7.2,Sonny Gray,R,75.3,87.4,2499.0,8.4,0.722,0.745,3.32,2.5,0.0,0.1,N/A,CONFIRMED+PLATOON,104,,,-0.4%,+0.4%,-0.0%,+0.0%,,170,-205,1,824711,+1.5@-126,-1.5@105,+1.5@-125,-1.5@105
2026-09-11,Houston Astros,Tampa Bay Rays,39.3,60.7,144,-174,145,-175,-1.7%,-1.5%,-2.8%,-2.9%,Miguel Ullola,R,3.5,92.7,2475.0,11.3,Drew Rasmussen,R,76.7,92.3,2352.0,11.0,0.725,0.733,3.67,3.57,-0.2,0.0,N/A,ESTIMATED,98,,,+0.1%,-0.1%,+0.2%,-0.2%,,143,-170,1,822930,+1.5@-149,-1.5@123,+1.5@-145,-1.5@118
2026-09-11,Los Angeles Dodgers,Miami Marlins,None,None,-208,170,-210,170,N/A,N/A,N/A,N/A,TBD,R,0,None,None,None,Ryan Gusto,R,36.2,88.8,2239.0,8.6,0.759,0.749,3.0,7.33,-0.1,0.1,N/A,PARTIAL,96,,,N/A,N/A,N/A,N/A,,-210,175,1,823817,-1.5@-118,+1.5@-102,-1.5@-120,+1.5@100
2026-09-11,Philadelphia Phillies,Atlanta Braves,33.7,66.3,154,-187,155,-190,-5.7%,-5.5%,+1.1%,+0.8%,Aaron Nola,R,77.5,85.9,2296.0,11.1,Chris Sale,L,75.0,88.7,2355.0,13.1,0.712,0.717,3.86,3.39,-0.5,0.4,N/A,ESTIMATED,102,,,-4.0%,+4.0%,-3.7%,+3.7%,Atlanta Braves,158,-190,1,824873,+1.5@-143,-1.5@119,+1.5@-140,-1.5@115
2026-09-11,Cincinnati Reds,Milwaukee Brewers,43.5,56.5,169,-206,170,-210,+6.3%,+6.5%,-10.8%,-11.2%,Andrew Abbott,L,76.2,87.4,2450.0,8.3,Dustin May,R,66.2,92.6,2530.0,9.7,0.706,0.739,6.88,5.6,-1.7,1.7,CONFIRMED ✓,ESTIMATED,100,,,+7.9%,-7.9%,+8.2%,-8.2%,,170,-205,1,823736,+1.5@-126,-1.5@105,+1.5@-130,-1.5@105
