date,pk,pitcher_id,name,team,opp,home,hand,season_so,season_bf,season_gs,season_ip,prior_so,prior_bf,bf_l5,bf_season,exp_bf,p_pit,f_pit,lineup_src,lineup_n,lineup_k,f_lineup,pk_pa,exp_k,p_over_3.5,p_over_4.5,p_over_5.5,p_over_6.5,p_over_7.5,p_over_8.5,line_dk,over_dk,under_dk,line_fd,over_fd,under_fd,line_mgm,over_mgm,under_mgm,line_czr,over_czr,under_czr,alts,cons_line,p_over_cons,fair_over,fair_under,best_side,best_book,best_line,best_price,best_edge,odds_at,built_at
2026-08-19,823342,695549,Jackson Jobe,Detroit Tigers,Pittsburgh Pirates,0,R,8,39,2,8.7,39,218,19.5,20.86,19.84,0.2,0.905,previous,9,0.2359,1.068,0.214,4.22,0.6118,0.4229,0.259,0.1408,0.0682,0.0296,4.5,-106,-120,4.5,-115,-111,,,,,,,"{""fd"":{""2.5"":[-800,null],""3.5"":[-310,null],""4.5"":[-115,null],""5.5"":[176,null],""6.5"":[350,null],""7.5"":[750,null]},""dk"":{""1.5"":[-3500,null],""2.5"":[-700,null],""3.5"":[-247,null],""4.5"":[-105,null],""5.5"":[207,null],""6.5"":[439,null],""7.5"":[930,null]},""czr"":{""2.5"":[-1250,null],""3.5"":[-310,null],""4.5"":[-121,null],""5.5"":[172,null],""6.5"":[350,null],""7.5"":[700,null]}}",4.5,0.4229,+136,-136,under,fd,4.5,-111,0.0812,2026-08-19T05:50:52Z,2026-08-19T05:50:52Z
2026-08-19,823342,694973,Paul Skenes,Pittsburgh Pirates,Detroit Tigers,1,R,166,553,25,134.7,216,733,22.5,22.57,22.52,0.2945,1.333,previous,9,0.2052,0.929,0.2754,6.26,0.8661,0.7516,0.6046,0.4461,0.3004,0.1843,5.5,-149,117,6.5,122,-156,,,,,,,"{""fd"":{""3.5"":[-1400,null],""4.5"":[-460,null],""5.5"":[-194,null],""6.5"":[122,null],""7.5"":[230,null],""8.5"":[450,null]},""dk"":{""2.5"":[-3800,null],""3.5"":[-880,null],""4.5"":[-329,null],""5.5"":[-150,null],""6.5"":[143,null],""7.5"":[291,null],""8.5"":[582,null],""9.5"":[1140,null]},""czr"":{""9.5"":[750,null],""3.5"":[-1250,null],""4.5"":[-400,null],""5.5"":[-170,null],""6.5"":[118,null],""7.5"":[215,null],""8.5"":[400,null]}}",5.5,0.6046,-153,+153,over,dk,7.5,291,0.0447,2026-08-19T05:50:52Z,2026-08-19T05:50:52Z
2026-08-19,823587,650633,Michael King,San Diego Padres,New York Mets,0,R,124,585,25,142.3,76,308,23.5,23.34,23.46,0.2182,0.988,previous,9,0.2302,1.042,0.2275,5.17,0.7564,0.594,0.4222,0.2706,0.1563,0.0816,4.5,-156,122,4.5,-166,128,,,,,,,"{""fd"":{""2.5"":[-1400,null],""3.5"":[-430,null],""4.5"":[-166,null],""5.5"":[124,null],""6.5"":[255,null],""7.5"":[560,null]},""dk"":{""2.5"":[-970,null],""3.5"":[-356,null],""4.5"":[-156,null],""5.5"":[134,null],""6.5"":[272,null],""7.5"":[569,null],""8.5"":[1160,null]},""czr"":{""3.5"":[-440,null],""4.5"":[-173,null],""5.5"":[114,null],""6.5"":[235,null],""7.5"":[450,null],""8.5"":[950,null]}}",4.5,0.594,-146,+146,over,dk,4.5,-156,0.019,2026-08-19T05:50:52Z,2026-08-19T05:50:52Z
2026-08-19,823587,476594,Robert Stock,New York Mets,San Diego Padres,1,R,13,62,3,12.3,1,15,20.67,21.21,20.8,0.21,0.951,previous,9,0.2059,0.932,0.1956,4.06,0.5795,0.3893,0.2311,0.1217,0.0572,0.0241,3.5,-149,116,3.5,-140,110,,,,,,,"{""fd"":{""2.5"":[-400,null],""3.5"":[-140,null],""4.5"":[162,null],""5.5"":[350,null]},""dk"":{""1.5"":[-1320,null],""2.5"":[-376,null],""3.5"":[-149,null],""4.5"":[151,null],""5.5"":[320,null],""6.5"":[690,null],""7.5"":[1400,null]},""czr"":{""2.5"":[-460,null],""3.5"":[-154,null],""4.5"":[148,null],""5.5"":[320,null],""6.5"":[700,null]}}",3.5,0.5795,-138,+138,over,fd,3.5,-140,0.029,2026-08-19T05:50:52Z,2026-08-19T05:50:52Z
2026-08-19,823664,700363,AJ Smith-Shawver,Atlanta Braves,Minnesota Twins,0,R,4,19,1,4.3,42,192,19.0,21.07,19.52,0.219,0.992,previous,9,0.199,0.901,0.1973,3.9,0.5493,0.3586,0.2062,0.1048,0.0474,0.0192,3.5,-165,129,3.5,-174,136,,,,,,,"{""dk"":{""1.5"":[-1540,null],""2.5"":[-419,null],""3.5"":[-164,null],""4.5"":[131,null],""5.5"":[280,null],""6.5"":[595,null],""7.5"":[1220,null]},""czr"":{""2.5"":[-590,null],""3.5"":[-190,null],""4.5"":[123,null],""5.5"":[260,null],""6.5"":[550,null],""7.5"":[1200,null]},""fd"":{""2.5"":[-520,null],""3.5"":[-174,null],""4.5"":[124,null],""5.5"":[280,null],""6.5"":[600,null]}}",3.5,0.5493,-122,+122,under,fd,3.5,136,0.0505,2026-08-19T05:50:52Z,2026-08-19T05:50:52Z
2026-08-19,823664,671737,Taj Bradley,Minnesota Twins,Atlanta Braves,1,R,151,579,24,135.7,127,605,25.0,24.05,24.76,0.2484,1.125,previous,9,0.2166,0.981,0.2438,6.03,0.8472,0.7207,0.5659,0.4066,0.2663,0.1589,5.5,-133,105,5.5,-132,104,,,,,,,"{""dk"":{""2.5"":[-2400,null],""3.5"":[-700,null],""4.5"":[-288,null],""5.5"":[-134,null],""6.5"":[154,null],""7.5"":[311,null],""8.5"":[640,null],""9.5"":[1260,null]},""czr"":{""9.5"":[950,null],""3.5"":[-950,null],""4.5"":[-320,null],""5.5"":[-139,null],""6.5"":[139,null],""7.5"":[270,null],""8.5"":[500,null]},""fd"":{""2.5"":[-4500,null],""3.5"":[-950,null],""4.5"":[-340,null],""5.5"":[-132,null],""6.5"":[150,null],""7.5"":[300,null],""8.5"":[630,null]}}",5.5,0.5659,-130,+130,over,fd,5.5,-132,0.0287,2026-08-19T05:50:52Z,2026-08-19T05:50:52Z
2026-08-19,824640,605280,Clay Holmes,Chicago Cubs,Chicago White Sox,1,R,49,255,11,63.3,129,708,22.88,22.87,22.87,0.1915,0.867,previous,9,0.2293,1.038,0.1991,4.53,0.6615,0.4782,0.3089,0.1783,0.0923,0.0431,,,,,,,,,,,,,,,,,,,,,,,2026-08-19T05:50:52Z,2026-08-19T05:50:52Z
2026-08-19,824722,694297,Brandon Pfaadt,Arizona Diamondbacks,Boston Red Sox,0,R,61,379,12,92.7,147,767,23.62,23.02,23.47,0.1736,0.786,previous,9,0.1983,0.898,0.1549,3.52,0.4701,0.2853,0.1522,0.0719,0.0303,0.0115,3.5,-130,102,3.5,-125,-102,,,,,,,"{""dk"":{""1.5"":[-1280,null],""2.5"":[-346,null],""3.5"":[-131,null],""4.5"":[180,null],""5.5"":[405,null],""6.5"":[890,null]},""czr"":{""2.5"":[-400,null],""3.5"":[-139,null],""4.5"":[170,null],""5.5"":[350,null],""6.5"":[800,null]},""fd"":{""2.5"":[-390,null],""3.5"":[-125,null],""4.5"":[180,null],""5.5"":[400,null]}}",3.5,0.4701,+113,-113,under,dk,3.5,102,0.063,2026-08-19T05:50:52Z,2026-08-19T05:50:52Z
2026-08-19,824722,801139,Payton Tolle,Boston Red Sox,Arizona Diamondbacks,1,L,128,461,20,115.0,19,74,22.0,22.88,22.22,0.2634,1.193,previous,9,0.199,0.901,0.2386,5.19,0.7588,0.5974,0.4256,0.2731,0.1579,0.0824,5.5,-102,-125,5.5,-108,-118,,,,,,,"{""dk"":{""2.5"":[-2100,null],""3.5"":[-557,null],""4.5"":[-221,null],""5.5"":[-102,null],""6.5"":[204,null],""7.5"":[441,null],""8.5"":[900,null],""9.5"":[1780,null]},""czr"":{""9.5"":[1300,null],""3.5"":[-750,null],""4.5"":[-245,null],""5.5"":[-114,null],""6.5"":[173,null],""7.5"":[330,null],""8.5"":[650,null]},""fd"":{""2.5"":[-3000,null],""3.5"":[-670,null],""4.5"":[-265,null],""5.5"":[-108,null],""6.5"":[182,null],""7.5"":[360,null],""8.5"":[750,null]}}",5.5,0.4256,+135,-135,under,fd,5.5,-118,0.064,2026-08-19T05:50:52Z,2026-08-19T05:50:52Z
2026-08-19,823424,645261,Sandy Alcantara,Miami Marlins,Philadelphia Phillies,0,R,130,702,26,170.7,142,745,27.0,26.51,26.88,0.1878,0.85,previous,9,0.1869,0.846,0.1579,4.22,0.6055,0.4175,0.2569,0.1415,0.0701,0.0315,,,,4.5,128,-164,,,,,,,"{""fd"":{""2.5"":[-620,null],""3.5"":[-210,null],""4.5"":[128,null],""5.5"":[260,null],""6.5"":[560,null]}}",4.5,0.4175,+140,-140,over,fd,4.5,128,0.0037,2026-08-19T05:50:52Z,2026-08-19T05:50:52Z
