date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_hr,season_pa,exp_pa,f_bat,f_platoon,f_pit,f_park,f_wind,wind,p,odds_dk,odds_mgm,odds_czr,fair
2026-08-12,823672,680777,Ryan Jeffers,Minnesota Twins,Baltimore Orioles,1,Shane Baz,669358,R,10,240,4.1,1.2,1.15,0.86,0.99,0.86,WIND 7 IN,12.1,,,,+726
2026-08-12,825047,664954,Brett Sullivan,Colorado Rockies,Arizona Diamondbacks,0,Merrill Kelly,518876,R,5,159,3.2,1.01,1.09,1.16,1.01,1.0,ROOF,12.1,940,725,750,+726
2026-08-12,823263,668930,Brice Turang,Milwaukee Brewers,San Diego Padres,0,Robbie Ray,592662,L,16,517,4.5,1.01,0.8,0.99,0.98,1.18,WIND 9 OUT,12.1,740,650,700,+726
2026-08-12,823511,680977,Brendan Donovan,Seattle Mariners,New York Yankees,0,Will Warren,701542,R,3,118,3.9,0.94,1.05,1.0,1.08,1.0,,12.1,680,575,625,+726
2026-08-12,825047,694249,Cole Carrigg,Colorado Rockies,Arizona Diamondbacks,0,Merrill Kelly,518876,R,5,204,3.9,0.9,0.99,1.16,1.01,1.0,ROOF,11.9,880,550,750,+740
2026-08-12,822698,691781,Brady House,Washington Nationals,Chicago Cubs,1,David Peterson,656849,L,8,224,3.9,1.09,1.04,0.92,1.0,1.0,,11.9,545,550,525,+740
2026-08-12,824562,545341,Randal Grichuk,Chicago White Sox,Cincinnati Reds,1,Rhett Lowder,695076,R,9,185,3.2,1.29,0.97,0.97,1.05,1.0,,11.9,,,,+740
2026-08-12,823916,605141,Mookie Betts,Los Angeles Dodgers,Kansas City Royals,1,Daniel Lynch IV,663738,L,14,350,4.2,1.2,0.86,0.86,1.1,1.0,,11.9,516,425,500,+740
2026-08-12,824562,643217,Andrew Benintendi,Chicago White Sox,Cincinnati Reds,1,Rhett Lowder,695076,R,12,352,3.4,1.08,1.09,0.97,1.05,1.0,,11.8,518,475,500,+747
2026-08-12,823017,671056,Iván Herrera,St. Louis Cardinals,Philadelphia Phillies,1,Zack Wheeler,554430,R,13,531,4.4,0.86,0.91,1.02,0.94,1.22,WIND 11 OUT,11.7,1000,,850,+755
