Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds,Game#,GamePk,DK RL Away,DK RL Home,MGM RL Away,MGM RL Home
2026-09-14,Los Angeles Dodgers,Cincinnati Reds,65.4,34.6,-218,178,-220,180,-3.2%,-3.4%,-1.4%,-1.1%,Tarik Skubal,L,69.8,92.6,2171.0,14.8,Nick Lodolo,L,44.8,89.7,2271.0,9.3,0.838,0.792,3.12,10.1,-0.8,0.6,N/A,CONFIRMED+PLATOON,106,,,-0.2%,+0.2%,-0.4%,+0.4%,,-210,175,1,824465,-1.5@-126,+1.5@105,-1.5@-125,+1.5@105
2026-09-14,Chicago White Sox,Cleveland Guardians,51.8,48.2,134,-162,135,-160,+9.1%,+9.2%,-13.6%,-13.3%,Sean Newcomb,L,42.2,89.9,2458.0,9.0,Gavin Williams,R,84.5,90.9,2290.0,13.9,0.759,0.702,4.67,4.76,-0.9,0.9,N/A,CONFIRMED+PLATOON,98,,,+10.9%,-10.9%,+10.9%,-10.9%,,140,-165,1,824386,+1.5@-175,-1.5@144,+1.5@-170,-1.5@140
2026-09-14,Detroit Tigers,Toronto Blue Jays,52.3,47.7,123,-149,120,-145,+7.5%,+6.8%,-12.1%,-11.5%,Troy Melton,R,54.0,91.6,2199.0,10.8,José Soriano,R,81.5,92.6,2050.0,11.3,0.753,0.748,3.0,3.25,-1.9,1.9,FADE ✗,CONFIRMED+PLATOON,100,,,+9.5%,-9.5%,+8.8%,-8.8%,,122,-143,1,822765,+1.5@-181,-1.5@149,+1.5@-180,-1.5@145
2026-09-14,Baltimore Orioles,New York Mets,52.3,47.7,110,-132,118,-145,+4.7%,+6.4%,-9.2%,-11.5%,Brandon Young,R,70.3,88.6,2063.0,9.5,Jonah Tong,R,7.5,91.1,2087.0,13.5,0.664,0.759,5.88,5.71,-1.6,1.5,FADE ✗,CONFIRMED+PLATOON,97,,,+6.7%,-6.7%,+8.6%,-8.6%,,118,-140,1,823575,+1.5@-195,-1.5@160,+1.5@-185,-1.5@150
2026-09-14,Atlanta Braves,Chicago Cubs,48.8,51.2,113,-136,110,-135,+1.9%,+1.2%,-6.4%,-6.2%,Reynaldo López,R,38.2,88.6,2149.0,8.4,David Peterson,L,65.7,88.9,2124.0,8.9,0.71,0.762,4.08,3.61,0.0,0.0,N/A,CONFIRMED+PLATOON,104,,,+3.9%,-3.9%,+3.5%,-3.5%,Atlanta Braves,115,-135,1,824629,+1.5@-175,-1.5@144,,
2026-09-14,New York Yankees,Minnesota Twins,46.0,54.0,-132,110,-135,110,-10.9%,-11.4%,+6.4%,+6.4%,Will Warren,R,71.2,90.1,2489.0,8.7,Dean Kremer,R,35.8,86.7,2102.0,11.4,0.749,0.781,3.5,5.19,1.1,-1.2,N/A,CONFIRMED+PLATOON,100,,,-8.4%,+8.4%,-8.7%,+8.7%,,-125,105,1,823656,-1.5@126,+1.5@-152,,
2026-09-14,San Francisco Giants,St. Louis Cardinals,51.6,48.4,123,-148,120,-145,+6.8%,+6.1%,-11.3%,-10.8%,Landen Roupp,R,75.3,87.2,2329.0,9.3,Quinn Mathews,L,15.3,87.3,2136.0,10.2,0.777,0.74,4.18,3.54,-0.2,0.0,N/A,CONFIRMED+PLATOON,98,,,+8.7%,-8.7%,+8.1%,-8.1%,,121,-143,1,823006,+1.5@-175,-1.5@145,+1.5@-170,-1.5@140
2026-09-14,San Diego Padres,Colorado Rockies,51.5,48.5,-207,170,-210,170,-15.9%,-16.2%,+11.5%,+11.5%,Casey Mize,R,59.7,89.9,2094.0,10.1,Tomoyuki Sugano,R,68.8,88.3,2293.0,7.4,0.706,0.768,3.83,8.44,-0.1,0.0,N/A,PARTIAL,118,,,-13.1%,+13.1%,-13.2%,+13.2%,,-210,175,1,824308,-1.5@-135,+1.5@112,-2.5@105,+2.5@-130
2026-09-14,Seattle Mariners,Los Angeles Angels,45.0,55.0,-114,-106,-110,-110,-8.3%,-7.4%,+3.5% ** BET **,+2.6%,Kade Anderson,L,10.5,88.7,2109.0,10.7,Reid Detmers,L,84.0,88.0,2232.0,11.2,0.692,0.68,4.75,4.38,0.0,0.0,N/A,ESTIMATED,97,** BET **,,-5.9%,+5.9%,-5.0%,+5.0%,Los Angeles Angels,-115,-105,1,823981,-1.5@152,+1.5@-185,-1.5@155,+1.5@-190
2026-09-14,Miami Marlins,Arizona Diamondbacks,43.2,56.8,110,-132,110,-130,-4.4%,-4.4%,-0.1%,+0.3%,Sandy Alcantara,R,100.0,92.3,2239.0,9.0,Corbin Burnes,R,1.5,88.8,2541.0,8.8,0.728,0.71,7.0,3.21,0.4,-0.6,N/A,ESTIMATED,97,,,-2.4%,+2.4%,-2.5%,+2.5%,,115,-135,1,825034,+1.5@-188,-1.5@155,+1.5@-190,-1.5@155
