date,pk,pitcher_id,name,team,opp,home,hand,season_so,season_bf,season_gs,season_ip,prior_so,prior_bf,bf_l5,bf_season,exp_bf,p_pit,f_pit,lineup_src,lineup_n,lineup_k,f_lineup,pk_pa,exp_k,p_over_3.5,p_over_4.5,p_over_5.5,p_over_6.5,p_over_7.5,p_over_8.5,line_dk,over_dk,under_dk,line_fd,over_fd,under_fd,line_mgm,over_mgm,under_mgm,line_czr,over_czr,under_czr,alts,cons_line,p_over_cons,fair_over,fair_under,best_side,best_book,best_line,best_price,best_edge,odds_at,built_at
2026-09-08,823092,615698,Cal Quantrill,Texas Rangers,Seattle Mariners,0,R,73,393,12,96.7,85,513,22.62,20.79,22.17,0.1842,0.834,confirmed,9,0.2195,0.993,0.1829,3.98,0.5637,0.3736,0.2188,0.1138,0.0528,0.022,4.5,-118,-108,4.5,-104,-122,,,,,,,"{""dk"":{""1.5"":[-3100,null],""2.5"":[-740,null],""3.5"":[-275,null],""4.5"":[-120,null],""5.5"":[179,null],""6.5"":[379,null],""7.5"":[830,null],""8.5"":[1680,null]},""fd"":{""2.5"":[-850,null],""3.5"":[-280,null],""4.5"":[-104,null],""5.5"":[200,null],""6.5"":[450,null]},""czr"":{""2.5"":[-1000,null],""3.5"":[-295,null],""4.5"":[-112,null],""5.5"":[174,null],""6.5"":[350,null],""7.5"":[700,null]}}",4.5,0.3736,+168,-168,under,dk,4.5,-108,0.1368,2026-09-09T01:05:49Z,2026-09-09T01:15:05Z
2026-09-08,823092,682243,Bryce Miller,Seattle Mariners,Texas Rangers,1,R,95,397,17,98.7,74,392,23.62,22.28,23.29,0.226,1.023,confirmed,9,0.2289,1.036,0.234,5.33,0.775,0.619,0.4491,0.2943,0.1742,0.0933,5.5,110,-140,5.5,126,-162,,,,,,,"{""dk"":{""2.5"":[-1560,null],""3.5"":[-498,null],""4.5"":[-203,null],""5.5"":[108,null],""6.5"":[222,null],""7.5"":[444,null],""8.5"":[900,null],""9.5"":[1720,null]},""fd"":{""2.5"":[-1800,null],""3.5"":[-500,null],""4.5"":[-194,null],""5.5"":[126,null],""6.5"":[250,null],""7.5"":[520,null]},""czr"":{""3.5"":[-500,null],""4.5"":[-193,null],""5.5"":[117,null],""6.5"":[215,null],""7.5"":[425,null],""8.5"":[850,null]}}",5.5,0.4491,+123,-123,over,fd,5.5,126,0.0319,2026-09-09T01:05:49Z,2026-09-09T01:15:05Z
2026-09-08,824957,667755,José Soriano,Toronto Blue Jays,Athletics,0,R,151,654,28,156.0,152,724,22.5,23.09,22.65,0.2265,1.025,confirmed,9,0.202,0.914,0.2071,4.72,0.6913,0.5131,0.3416,0.2037,0.1091,0.0527,4.5,-155,121,5.5,120,-154,,,,,,,"{""dk"":{""2.5"":[-970,null],""3.5"":[-355,null],""4.5"":[-155,null],""5.5"":[136,null],""6.5"":[282,null],""7.5"":[585,null],""8.5"":[1200,null]},""fd"":{""2.5"":[-1800,null],""3.5"":[-520,null],""4.5"":[-210,null],""5.5"":[120,null],""6.5"":[230,null],""7.5"":[460,null]},""czr"":{""3.5"":[-460,null],""4.5"":[-179,null],""5.5"":[125,null],""6.5"":[240,null],""7.5"":[450,null],""8.5"":[950,null]}}",4.5,0.5131,-105,+105,under,fd,5.5,-154,0.0869,2026-09-09T01:05:49Z,2026-09-09T01:15:05Z
2026-09-08,824957,678022,Jack Perkins,Athletics,Toronto Blue Jays,1,R,116,452,13,98.3,37,161,22.12,21.66,22.01,0.2469,1.117,confirmed,9,0.1802,0.815,0.2026,4.41,0.6421,0.4565,0.2891,0.1632,0.0824,0.0375,4.5,117,-149,4.5,124,-158,,,,,,,"{""dk"":{""1.5"":[-2100,null],""2.5"":[-534,null],""3.5"":[-197,null],""4.5"":[116,null],""5.5"":[254,null],""6.5"":[542,null],""7.5"":[1120,null]},""fd"":{""2.5"":[-520,null],""3.5"":[-205,null],""4.5"":[124,null],""5.5"":[240,null],""6.5"":[520,null]},""czr"":{""2.5"":[-625,null],""3.5"":[-197,null],""4.5"":[126,null],""5.5"":[250,null],""6.5"":[500,null],""7.5"":[1100,null]}}",4.5,0.4565,+119,-119,over,fd,4.5,124,0.0349,2026-09-09T01:05:49Z,2026-09-09T01:15:05Z
2026-09-08,823174,687273,Quinn Mathews,St. Louis Cardinals,San Francisco Giants,0,L,24,112,5,24.7,0,0,22.0,21.89,21.97,0.2186,0.989,confirmed,9,0.2419,1.095,0.2394,5.21,0.7613,0.601,0.4296,0.2767,0.1605,0.0841,5.5,-113,-113,5.5,-102,-125,5.5,100,-135,,,,"{""dk"":{""2.5"":[-1880,null],""3.5"":[-593,null],""4.5"":[-246,null],""5.5"":[-113,null],""6.5"":[184,null],""7.5"":[375,null],""8.5"":[740,null],""9.5"":[1420,null]},""fd"":{""2.5"":[-2200,null],""3.5"":[-590,null],""4.5"":[-250,null],""5.5"":[-102,null],""6.5"":[196,null],""7.5"":[360,null]},""mgm"":{""3.5"":[-500,null],""6.5"":[175,null],""4.5"":[-220,null],""5.5"":[-110,null],""7.5"":[300,null]},""czr"":{""9.5"":[1400,null],""3.5"":[-625,null],""4.5"":[-235,null],""5.5"":[-105,null],""6.5"":[175,null],""7.5"":[340,null],""8.5"":[650,null]}}",5.5,0.4296,+133,-133,under,dk,5.5,-113,0.0704,2026-09-09T01:05:49Z,2026-09-09T01:15:05Z
2026-09-08,823174,694738,Landen Roupp,San Francisco Giants,St. Louis Cardinals,1,R,137,614,27,144.7,102,476,24.12,22.9,23.82,0.2214,1.002,confirmed,9,0.2185,0.989,0.2189,5.2,0.7589,0.5974,0.4262,0.2745,0.1596,0.084,4.5,-163,127,5.5,140,-180,4.5,-165,125,,,,"{""dk"":{""2.5"":[-1320,null],""3.5"":[-404,null],""4.5"":[-164,null],""5.5"":[135,null],""6.5"":[292,null],""7.5"":[620,null],""8.5"":[1340,null]},""fd"":{""2.5"":[-1400,null],""3.5"":[-430,null],""4.5"":[-172,null],""5.5"":[140,null],""6.5"":[265,null],""7.5"":[560,null]},""mgm"":{""3.5"":[-300,null],""6.5"":[250,null],""4.5"":[-150,null],""5.5"":[130,null],""2.5"":[-800,null]},""czr"":{""2.5"":[-2000,null],""3.5"":[-460,null],""4.5"":[-157,null],""5.5"":[120,null],""6.5"":[235,null],""7.5"":[475,null],""8.5"":[1000,null]}}",4.5,0.5974,-148,+148,over,fd,5.5,140,0.0329,2026-09-09T01:05:49Z,2026-09-09T01:15:05Z
2026-09-08,823901,666157,Nick Lodolo,Cincinnati Reds,Los Angeles Dodgers,0,L,69,383,17,85.0,156,642,20.38,22.33,20.86,0.1999,0.905,confirmed,9,0.1953,0.884,0.1761,3.66,0.4998,0.3118,0.1708,0.0827,0.0356,0.0138,4.5,133,-171,3.5,-154,120,4.5,115,-155,,,,"{""dk"":{""1.5"":[-1740,null],""2.5"":[-462,null],""3.5"":[-175,null],""4.5"":[133,null],""5.5"":[286,null],""6.5"":[640,null],""7.5"":[1380,null]},""fd"":{""2.5"":[-460,null],""3.5"":[-154,null],""4.5"":[144,null],""5.5"":[310,null],""6.5"":[700,null]},""mgm"":{""6.5"":[425,null],""4.5"":[115,null],""3.5"":[-190,null],""2.5"":[-500,null],""5.5"":[230,null]},""czr"":{""2.5"":[-590,null],""3.5"":[-162,null],""4.5"":[129,null],""5.5"":[270,null],""6.5"":[575,null],""7.5"":[1200,null]}}",4.5,0.3118,+221,-221,under,mgm,4.5,-155,0.1217,2026-09-09T01:05:49Z,2026-09-09T01:15:05Z
2026-09-08,823901,669373,Tarik Skubal,Los Angeles Dodgers,Cincinnati Reds,1,L,159,521,22,132.3,241,748,24.62,23.47,24.34,0.304,1.375,confirmed,9,0.2487,1.125,0.3375,8.02,0.9496,0.8981,0.8158,0.7018,0.5652,0.4227,8.5,118,-150,8.5,106,-136,8.5,105,-145,,,,"{""dk"":{""4.5"":[-2500,null],""5.5"":[-800,null],""6.5"":[-343,null],""7.5"":[-167,null],""8.5"":[117,null],""9.5"":[225,null],""10.5"":[436,null],""11.5"":[870,null],""12.5"":[1660,null]},""fd"":{""4.5"":[-4000,null],""5.5"":[-1100,null],""6.5"":[-440,null],""7.5"":[-215,null],""8.5"":[106,null],""9.5"":[190,null],""10.5"":[370,null],""11.5"":[750,null]},""mgm"":{""8.5"":[105,null],""6.5"":[-325,null],""10.5"":[350,null],""9.5"":[200,null],""7.5"":[-175,null]},""czr"":{""9.5"":[172,null],""5.5"":[-1000,null],""6.5"":[-390,null],""7.5"":[-190,null],""8.5"":[106,null]}}",8.5,0.4227,+137,-137,under,fd,8.5,-136,0.0345,2026-09-09T01:05:49Z,2026-09-09T01:15:05Z
