date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_h,season_pa,season_g,pa_g,n_eff,f_bat,f_pit,f_park,h_pa,p,p2,odds_dk,odds_mgm,odds_czr,odds2_dk,odds2_mgm,odds2_czr,fair,fair2
2026-08-17,823427,691788,Joe Mack,Miami Marlins,Philadelphia Phillies,0,Cristopher Sánchez,650911,L,53,243,76,3.2,3.07,1.0,1.03,1.0,0.22354,54.0,13.4,,,,,,,-117,+646
2026-08-17,823668,805347,Jim Jarvis,Atlanta Braves,Minnesota Twins,0,Bailey Ober,641927,R,23,114,35,3.26,3.13,0.99,1.03,1.0,0.21961,54.0,13.4,,,,,,,-117,+646
2026-08-17,823668,605170,Victor Caratini,Minnesota Twins,Atlanta Braves,1,Martín Pérez,527048,L,64,331,90,3.68,3.53,0.95,0.95,1.0,0.19682,53.9,14.0,,,,,,,-117,+614
2026-08-17,822939,663743,Nick Fortes,Tampa Bay Rays,Baltimore Orioles,1,Brandon Young,687064,R,68,274,89,3.08,2.96,1.06,1.01,0.99,0.22963,53.8,13.0,,,,,,,-116,+669
2026-08-17,823589,669134,Luis Campusano,San Diego Padres,New York Mets,0,Nolan McLean,690997,R,40,149,45,3.31,3.18,1.07,0.95,0.98,0.21509,53.7,13.4,-147,-155,-170,379,350,350,-116,+646
2026-08-17,823343,669707,Jared Triolo,Pittsburgh Pirates,Detroit Tigers,1,Framber Valdez,664285,L,61,282,89,3.17,3.04,1.0,1.02,1.01,0.22348,53.6,13.1,-182,-160,-209,288,350,275,-116,+663
2026-08-17,823589,683146,Brett Baty,New York Mets,San Diego Padres,1,Walker Buehler,621111,R,74,389,112,3.47,3.33,0.94,1.03,0.98,0.20582,53.6,13.5,-122,-135,-136,478,425,450,-116,+641
2026-08-17,823668,657041,Lane Thomas,Atlanta Braves,Minnesota Twins,0,Bailey Ober,641927,R,69,344,105,3.28,3.15,0.97,1.03,1.0,0.21546,53.4,13.2,,,,,,,-115,+658
2026-08-17,822939,670764,Taylor Walls,Tampa Bay Rays,Baltimore Orioles,1,Brandon Young,687064,R,66,351,101,3.48,3.34,0.94,1.01,0.99,0.20342,53.2,13.3,-142,-115,-148,440,525,425,-114,+652
2026-08-17,824077,664728,Kyle Isbel,Kansas City Royals,Athletics,1,Mason Barnett,686930,R,45,217,67,3.24,3.11,0.99,0.99,1.02,0.21606,53.1,12.9,-193,-160,-205,295,340,300,-113,+675
