Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds
2026-08-12,Baltimore Orioles,Minnesota Twins,47.5,52.5,-101,-106,-110,-110,-2.7%,-4.9%,+1.0%,+0.1%,Shane Baz,R,68.2,90.7,2408.0,8.4,Zebby Matthews,R,43.0,89.8,2242.0,8.7,0.625,0.715,4.05,3.67,-2.6,-0.5,CONFIRMED ✓,CONFIRMED+PLATOON,100,,DK vig 101.7%,-1.9%,+1.9%,-2.5%,+2.5%,,-105,-105
2026-08-12,Philadelphia Phillies,St. Louis Cardinals,61.1,38.9,-163,151,-170,140,-0.9%,-1.9%,-0.9%,-2.8%,Zack Wheeler,R,55.2,90.1,2369.0,13.4,Kyle Leahy,R,56.2,89.5,2182.0,8.3,0.766,0.633,4.3,3.17,9.8,-12.8,CONFIRMED ✓,CONFIRMED+PLATOON,98,,DK vig 101.8%,+0.2%,-0.2%,+0.9%,-0.9%,,-160,150
2026-08-12,Tampa Bay Rays,Athletics,77.3,22.7,-217,201,-225,185,+8.8%,+8.1%,-10.5%,-12.4%,Drew Rasmussen,R,62.2,92.4,2371.0,11.3,Jack Perkins,R,38.3,91.2,2222.0,12.1,0.78,0.689,2.33,6.75,6.6,-9.5,CONFIRMED ✓,CONFIRMED+PLATOON,95,,DK vig 101.7%,+9.9%,-9.9%,+11.0%,-11.0%,,-216,196
2026-08-12,Colorado Rockies,Arizona Diamondbacks,43.6,56.4,153,-165,145,-175,+4.1%,+2.8%,-5.9%,-7.2%,Ryan Feltner,R,41.0,89.3,2329.0,10.4,Merrill Kelly,R,60.0,89.3,2318.0,9.7,0.774,0.729,4.76,2.53,-1.0,-1.8,FADE ✗,CONFIRMED+PLATOON,97,,DK vig 101.8%,+4.8%,-4.8%,+4.5%,-4.5%,Colorado Rockies,154,-164
2026-08-12,Houston Astros,San Francisco Giants,70.0,30.0,-147,137,-155,125,+10.5%,+9.2%,-12.2%,-14.4%,Bryan King,L,24.7,88.8,2110.0,7.4,Adrian Houser,R,48.5,91.8,2113.0,7.1,0.752,0.556,3.91,3.93,-2.5,-0.4,FADE ✗,CONFIRMED+PLATOON,95,,DK vig 101.7%,+11.5%,-11.5%,+12.2%,-12.2%,,-145,135
2026-08-12,Milwaukee Brewers,San Diego Padres,48.0,52.0,-120,112,-120,100,-6.5%,-6.5%,+4.8%,+2.0%,Dustin May,R,57.5,92.7,2523.0,9.5,Robbie Ray,L,63.8,88.5,2139.0,10.0,0.736,0.691,4.65,3.63,1.7,-4.5,FADE ✗,CONFIRMED+PLATOON,94,,DK vig 101.7%,-5.6%,+5.6%,-4.2%,+4.2%,San Diego Padres,-121,110
2026-08-12,Cleveland Guardians,Detroit Tigers,46.5,53.5,121,-129,110,-135,+1.3%,-1.1%,-2.8%,-3.9%,Foster Griffin,L,66.7,85.8,2166.0,9.8,Framber Valdez,L,63.7,88.1,2290.0,7.9,0.723,0.782,5.88,2.04,-3.5,0.4,CONFIRMED ✓,CONFIRMED+PLATOON,100,,DK vig 101.5%,+2.0%,-2.0%,+1.2%,-1.2%,,112,-122
2026-08-12,Pittsburgh Pirates,Miami Marlins,56.9,43.1,106,-114,-105,-115,+8.4%,+5.7%,-10.2%,-10.4%,Carmen Mlodzinski,R,48.7,89.7,2104.0,8.1,Janson Junk,R,40.8,88.5,2199.0,5.8,0.764,0.726,4.76,2.77,-6.0,3.0,FADE ✗,CONFIRMED+PLATOON,96,,DK vig 101.8%,+9.3%,-9.3%,+8.0%,-8.0%,,105,-115
2026-08-12,Chicago Cubs,Washington Nationals,None,None,-153,142,-160,135,N/A,N/A,N/A,N/A,David Peterson,L,53.0,88.9,2133.0,8.5,Jackson Kent,R,0,None,None,None,0.727,0.788,4.25,3.93,-3.0,0.2,N/A,CONFIRMED+PLATOON,99,,DK vig 101.8%,N/A,N/A,N/A,N/A,,-153,143
2026-08-12,Seattle Mariners,New York Yankees,52.0,48.0,116,-124,110,-135,+5.7%,+4.4%,-7.4%,-9.4%,Bryce Miller,R,39.5,90.7,2154.0,12.0,Will Warren,R,57.0,90.2,2506.0,8.6,0.723,0.755,3.91,2.11,-1.6,-1.4,FADE ✗,CONFIRMED+PLATOON,101,,DK vig 101.7%,+6.5%,-6.5%,+6.7%,-6.7%,,115,-125
