Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds,Game#,GamePk,DK RL Away,DK RL Home,MGM RL Away,MGM RL Home
2026-09-24,St. Louis Cardinals,Pittsburgh Pirates,46.2,53.8,134,-163,135,-160,+3.5% ** BET **,+3.6% ** BET **,-8.2%,-7.7%,Kyle Leahy,R,69.0,89.5,2177.0,8.5,Paul Skenes,R,84.0,92.5,2107.0,12.8,0.695,0.735,3.54,3.86,0.0,0.0,N/A,ESTIMATED,98,** BET **,,+5.4%,-5.4%,+5.3%,-5.3%,St. Louis Cardinals,136,-159,1,823326,+1.5@-175,-1.5@144,+1.5@-170,-1.5@140
2026-09-24,Chicago White Sox,Kansas City Royals,32.6,67.4,-125,104,-130,105,-23.0%,-23.9%,+18.4%,+18.6%,David Sandlin,R,17.2,90.8,2323.0,8.9,Randy Dobnak,R,36.5,87.4,2004.0,7.4,0.723,0.715,4.87,6.71,0.0,0.0,N/A,ESTIMATED,99,,,-20.6%,+20.6%,-21.1%,+21.1%,,-125,107,1,824059,-1.5@134,+1.5@-163,-1.5@135,+1.5@-160
2026-09-24,Miami Marlins,Chicago Cubs,47.4,52.6,168,-206,170,-210,+10.1%,+10.4%,-14.7%,-15.1%,Tyler Phillips,R,61.3,88.7,2065.0,9.7,Matthew Boyd,L,59.8,84.9,2202.0,9.3,0.727,0.769,4.39,3.54,0.0,0.0,N/A,ESTIMATED,104,,,+11.7%,-11.7%,+12.1%,-12.1%,,168,-200,1,824623,+1.5@-136,-1.5@113,+1.5@-140,-1.5@115
2026-09-24,New York Mets,Texas Rangers,55.0,45.0,109,-131,105,-130,+7.2%,+6.2%,-11.7%,-11.5%,Zac Thornton,L,39.7,87.6,2351.0,8.4,Kumar Rocker,R,71.5,89.3,2141.0,10.5,0.704,0.712,3.71,4.14,0.0,0.0,N/A,ESTIMATED,103,,,+9.3%,-9.3%,+8.7%,-8.7%,,111,-129,1,822842,+1.5@-198,-1.5@163,+1.5@-200,-1.5@165
2026-09-24,Arizona Diamondbacks,Colorado Rockies,67.3,32.7,-192,158,-190,154,+1.5%,+1.8%,-6.1%,-6.7%,Eduardo Rodriguez,L,91.8,88.3,2179.0,9.4,Tanner Gordon,R,50.2,88.5,2161.0,10.2,0.715,0.737,3.67,5.14,0.0,0.0,N/A,ESTIMATED,118,,,+4.4%,-4.4%,+4.9%,-4.9%,Arizona Diamondbacks,-179,152,1,824298,-1.5@-119,+1.5@-101,-1.5@-120,+1.5@100
2026-09-24,Milwaukee Brewers,Philadelphia Phillies,56.3,43.7,-102,-119,-102,-118,+5.8%,+5.8%,-10.6%,-10.4%,Bryse Wilson,R,17.2,89.5,2030.0,8.1,Andrew Painter,R,60.3,90.4,2313.0,11.0,0.741,0.709,3.05,3.84,0.0,0.0,N/A,ESTIMATED,105,,,+8.1%,-8.1%,+8.0%,-8.0%,,100,-117,1,823411,-1.5@161,+1.5@-197,-1.5@165,+1.5@-200
2026-09-24,Cleveland Guardians,Boston Red Sox,37.0,63.0,119,-143,115,-140,-8.7%,-9.5%,+4.2%,+4.7%,Daniel Espino,R,6.7,94.9,2408.0,16.9,Ranger Suarez,L,71.7,85.9,1981.0,8.5,0.691,0.721,2.55,2.97,0.0,0.0,N/A,ESTIMATED,104,,,-6.7%,+6.7%,-7.4%,+7.4%,,116,-136,1,824707,+1.5@-194,-1.5@159,+1.5@-200,-1.5@165
2026-09-24,Tampa Bay Rays,New York Yankees,38.2,61.8,129,-155,125,-150,-5.5%,-6.2%,+1.0%,+1.8%,Ian Seymour,L,63.7,86.3,1970.0,13.1,Cam Schlittler,R,95.3,95.9,2526.0,13.5,0.727,0.721,2.83,3.22,0.0,0.0,N/A,ESTIMATED,101,,,-3.6%,+3.6%,-4.3%,+4.3%,New York Yankees,128,-150,1,823493,+1.5@-186,-1.5@153,+1.5@-185,-1.5@150
2026-09-24,Cincinnati Reds,Atlanta Braves,34.2,65.8,182,-224,180,-220,-1.3%,-1.5%,-3.3%,-3.0%,Brady Singer,R,77.0,87.3,2384.0,9.4,Tyler Mahle,R,72.0,89.7,2138.0,9.8,0.699,0.722,4.26,3.5,0.0,0.0,N/A,ESTIMATED,102,,,+0.3%,-0.3%,+0.0%,-0.0%,,180,-213,1,824866,+1.5@-122,-1.5@101,+1.5@-125,-1.5@105
2026-09-24,Houston Astros,Athletics,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Peter Lambert,R,75.5,89.4,2202.0,10.6,TBD,R,0,None,None,None,0.726,0.722,3.84,6.21,N/A,N/A,N/A,ESTIMATED,95,,,N/A,N/A,N/A,N/A,,N/A,N/A,1,824950,,,,
