Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Home SP,Home Hand,Home Reliability%,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag
2026-04-23,Philadelphia Phillies,Chicago Cubs,48.5,51.5,-115,-105,-115,-105,-5.0%,-5.0%,+0.3%,+0.3%,Cristopher Sánchez,L,14.1,Edward Cabrera,R,11.1,0.784,0.777,5.47,1.96,-3.2,3.4,CONFIRMED ✓,CONFIRMED+PLATOON,104,
2026-04-23,San Diego Padres,Colorado Rockies,49.9,50.1,-156,129,-150,125,-11.0%,-10.1%,+6.4%,+5.7%,Matt Waldron,R,1.6,Ryan Feltner,R,9.0,0.709,0.72,3.46,4.29,0.0,0.0,CONFIRMED ✓,CONFIRMED+PLATOON,118,
2026-04-23,Chicago White Sox,Arizona Diamondbacks,39.4,60.6,135,-163,130,-155,-3.2%,-4.1%,-1.4%,-0.2%,Davis Martin,R,12.5,Michael Soroka,R,11.1,0.702,0.73,5.43,6.6,-1.1,1.0,CONFIRMED ✓,ESTIMATED,97,
2026-04-23,Los Angeles Dodgers,San Francisco Giants,35,65,-163,135,-160,135,-27.0%,-26.5%,+22.4%,+22.4%,Tyler Glasnow,R,12.5,Logan Webb,R,15.0,0.711,0.824,4.14,2.09,0.0,0.0,CONFIRMED ✓,CONFIRMED+PLATOON,95,
2026-04-23,New York Yankees,Boston Red Sox,64.6,35.4,-149,123,-150,125,+4.8%,+4.6%,-9.4%,-9.0%,Cam Schlittler,R,13.6,Payton Tolle,L,0,0.732,0.643,2.83,3.93,-1.1,1.2,FADE ✗,ESTIMATED,104,
2026-04-23,Minnesota Twins,New York Mets,58.4,41.6,-112,-108,-118,-102,+5.6%,+4.3%,-10.3%,-8.9%,Joe Ryan,R,13.6,Christian Scott,R,0,0.703,0.622,3.0,4.74,-1.3,1.4,FADE ✗,ESTIMATED,97,
2026-04-23,Pittsburgh Pirates,Texas Rangers,41.4,58.6,135,-163,135,-160,-1.2%,-1.2%,-3.4%,-2.9%,Bubba Chandler,R,10.0,Jacob deGrom,R,9.6,0.726,0.707,3.57,4.15,0.0,0.0,CONFIRMED ✓,ESTIMATED,103,
