Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Home SP,Home Hand,Home Reliability%,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag
2026-05-01,Arizona Diamondbacks,Chicago Cubs,50.9,49.1,129,-156,125,-150,+7.2% ** BET **,+6.5% ** BET **,-11.8%,-10.9%,Zac Gallen,R,14.1,Colin Rea,R,13.6,0.763,0.723,7.95,6.53,-2.0,2.1,FADE ✗,CONFIRMED+PLATOON,104,** BET **
2026-05-01,Texas Rangers,Detroit Tigers,44.4,55.6,-102,-118,-102,-118,-6.1%,-6.1%,+1.5%,+1.5%,MacKenzie Gore,L,15.5,Jack Flaherty,R,12.6,0.691,0.744,3.33,5.33,0.0,0.0,CONFIRMED ✓,ESTIMATED,100,
2026-05-01,Cincinnati Reds,Pittsburgh Pirates,42.2,57.8,113,-136,110,-130,-4.7%,-5.4%,+0.2%,+1.3%,Brady Singer,R,14.5,Mitch Keller,R,17.0,0.699,0.703,5.83,5.14,0.0,0.0,CONFIRMED ✓,ESTIMATED,98,
2026-05-01,Milwaukee Brewers,Washington Nationals,54.2,45.8,-156,129,-160,135,-6.7%,-7.3%,+2.1%,+3.2%,Jacob Misiorowski,R,16.1,Jake Irvin,R,14.6,0.702,0.718,2.78,2.67,-1.0,1.1,FADE ✗,ESTIMATED,99,
2026-05-01,Baltimore Orioles,New York Yankees,None,None,153,-186,145,-175,N/A,N/A,N/A,N/A,TBD,R,0,Will Warren,R,15.6,0.723,0.748,5.5,3.29,-1.5,1.4,N/A,ESTIMATED,101,
2026-05-01,Houston Astros,Boston Red Sox,None,None,102,-122,105,-125,N/A,N/A,N/A,N/A,Mike Burrows,R,15.6,TBD,R,0,0.784,0.66,7.27,4.24,-1.7,1.5,N/A,ESTIMATED,104,
2026-05-01,San Francisco Giants,Tampa Bay Rays,35,65,123,-149,118,-145,-9.8%,-10.9%,+5.2%,+5.8%,Robbie Ray,L,16.6,Shane McClanahan,L,11.5,0.657,0.706,4.73,1.53,-0.8,1.0,CONFIRMED ✓,ESTIMATED,98,
2026-05-01,Philadelphia Phillies,Miami Marlins,48.4,51.6,-120,100,-125,105,-6.1%,-7.2%,+1.6%,+2.8%,Zack Wheeler,R,2.5,Eury Pérez,R,15.6,0.678,0.712,3.67,4.01,-2.2,2.2,CONFIRMED ✓,ESTIMATED,96,
2026-05-01,Toronto Blue Jays,Minnesota Twins,None,None,-112,-108,-105,-115,N/A,N/A,N/A,N/A,Patrick Corbin,L,9.6,Simeon Woods Richardson,R,0,0.686,0.708,3.77,4.95,-4.8,5.0,N/A,ESTIMATED,100,
2026-05-01,Los Angeles Dodgers,St. Louis Cardinals,59.5,40.5,-181,149,-190,155,-4.9%,-6.0%,+0.3%,+1.3%,Emmet Sheehan,R,13.1,Matthew Liberatore,L,15.0,0.802,0.729,2.83,4.71,-0.6,0.6,FADE ✗,ESTIMATED,98,
2026-05-01,Atlanta Braves,Colorado Rockies,54.4,45.6,-186,153,-200,165,-10.6%,-12.3%,+6.1%,+7.9%,Grant Holmes,R,16.1,Jose Quintana,L,9.1,0.785,0.725,3.11,3.29,-1.5,1.5,FADE ✗,ESTIMATED,118,
2026-05-01,New York Mets,Los Angeles Angels,None,None,-126,104,-125,105,N/A,N/A,N/A,N/A,Christian Scott,R,0.6,Walbert Urena,R,0,0.631,0.73,4.33,7.41,0.0,0.0,N/A,ESTIMATED,97,
2026-05-01,Cleveland Guardians,Athletics,None,None,-115,-105,-110,-110,N/A,N/A,N/A,N/A,Joey Cantillo,L,15.0,J.T. Ginn,R,0,0.685,0.716,2.77,2.33,3.0,-2.9,N/A,ESTIMATED,95,
2026-05-01,Chicago White Sox,San Diego Padres,None,None,129,-156,120,-145,N/A,N/A,N/A,N/A,Noah Schultz,R,0,Germán Márquez,R,12.1,0.699,0.693,2.68,7.36,-1.2,1.1,N/A,ESTIMATED,94,
2026-05-01,Kansas City Royals,Seattle Mariners,43.8,56.2,123,-149,130,-155,-1.0%,+0.3%,-3.6%,-4.6%,Cole Ragans,L,13.5,Bryan Woo,R,17.5,0.711,0.705,3.83,4.75,1.2,-1.1,FADE ✗,ESTIMATED,96,
