Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Home SP,Home Hand,Home Reliability%,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag
2026-05-06,Toronto Blue Jays,Tampa Bay Rays,35,65,124,-149,115,-140,-9.6%,-11.5%,+5.2%,+6.7% ** BET **,Patrick Corbin,L,12.1,Shane McClanahan,L,14.5,0.699,0.932,4.12,1.33,-4.4,4.1,CONFIRMED ✓,CONFIRMED+PLATOON,98,** BET **
2026-05-06,Milwaukee Brewers,St. Louis Cardinals,40.6,59.4,-112,-108,-110,-110,-12.2%,-11.8%,+7.5% ** BET **,+7.0% ** BET **,Brandon Sproat,R,13.1,Andre Pallante,R,15.6,0.75,0.745,3.12,3.0,0.9,-0.9,FADE ✗,CONFIRMED+PLATOON,98,** BET **
2026-05-06,Los Angeles Dodgers,Houston Astros,None,None,-219,179,-220,180,N/A,N/A,N/A,N/A,Tyler Glasnow,R,19.1,Lance McCullers Jr.,R,0,0.767,0.799,3.18,4.35,1.2,-1.3,N/A,CONFIRMED+PLATOON,99,
2026-05-06,San Diego Padres,San Francisco Giants,62.7,37.3,-110,-110,-115,-105,+10.3%,+9.2% ** BET **,-15.1%,-13.9%,Bradgley Rodriguez,R,8.1,Adrian Houser,R,15.0,0.707,0.645,4.75,4.11,N/A,N/A,N/A,PARTIAL,95,** BET **
2026-05-06,Chicago White Sox,Los Angeles Angels,None,None,-115,-105,-115,-105,N/A,N/A,N/A,N/A,Noah Schultz,L,10.6,Walbert Ureña,R,0,0.708,0.76,1.87,3.9,N/A,N/A,N/A,PARTIAL,97,
2026-05-06,Atlanta Braves,Seattle Mariners,52.7,47.3,113,-136,110,-130,+5.8%,+5.1%,-10.3%,-9.2%,Martín Pérez,L,14.1,Bryan Woo,R,20.5,0.802,0.694,3.77,3.76,2.1,-2.2,CONFIRMED ✓,ESTIMATED,96,
2026-05-06,Boston Red Sox,Detroit Tigers,45.9,54.1,-108,-112,-105,-115,-6.0%,-5.3%,+1.3%,+0.6%,Sonny Gray,R,11.5,Jack Flaherty,R,14.5,0.679,0.725,3.67,3.63,12.4,-12.2,FADE ✗,ESTIMATED,100,
2026-05-06,Athletics,Philadelphia Phillies,40.8,59.2,144,-175,145,-175,-0.2%,+0.0%,-4.4%,-4.4%,Jeffrey Springs,L,19.1,Zack Wheeler,R,5.5,0.724,0.681,6.28,2.71,0.3,-0.3,FADE ✗,ESTIMATED,105,
2026-05-06,Baltimore Orioles,Miami Marlins,35,65,113,-136,110,-135,-11.9%,-12.6%,+7.4%,+7.6%,Brandon Young,R,7.1,Eury Pérez,R,18.1,0.705,0.71,7.63,4.17,-3.1,2.9,CONFIRMED ✓,ESTIMATED,96,
2026-05-06,Minnesota Twins,Washington Nationals,48.8,51.2,-136,113,-135,110,-8.8%,-8.6%,+4.3%,+3.6%,Bailey Ober,R,19.0,Miles Mikolas,R,13.6,0.712,0.697,4.5,3.33,6.4,-6.5,FADE ✗,ESTIMATED,99,
2026-05-06,Texas Rangers,New York Yankees,35,65,163,-199,165,-200,-3.0%,-2.7%,-1.6%,-1.7%,Nathan Eovaldi,R,19.6,Will Warren,R,18.6,0.689,0.797,4.93,2.38,-12.0,11.8,CONFIRMED ✓,ESTIMATED,101,
2026-05-06,Cincinnati Reds,Chicago Cubs,35,65,149,-181,145,-175,-5.2%,-5.8%,+0.6%,+1.4%,Brady Singer,R,16.1,Colin Rea,R,16.1,0.687,0.78,7.69,3.11,-1.7,1.7,CONFIRMED ✓,ESTIMATED,104,
2026-05-06,Cleveland Guardians,Kansas City Royals,48.5,51.5,113,-136,105,-130,+1.6%,-0.3%,-6.1%,-5.0%,Joey Cantillo,L,17.1,Cole Ragans,L,16.1,0.693,0.71,4.94,3.48,-7.6,7.6,CONFIRMED ✓,ESTIMATED,99,
2026-05-06,New York Mets,Colorado Rockies,48.7,51.3,-168,139,-170,140,-14.0%,-14.3%,+9.5%,+9.6%,Freddy Peralta,R,19.1,Michael Lorenzen,R,17.0,0.629,0.719,4.12,6.62,0.7,-0.7,FADE ✗,ESTIMATED,118,
2026-05-06,Pittsburgh Pirates,Arizona Diamondbacks,53.8,46.2,-126,104,-125,105,-2.0%,-1.8%,-2.8%,-2.6%,Paul Skenes,R,17.0,Michael Soroka,R,15.1,0.722,0.722,5.09,5.4,6.7,-6.7,CONFIRMED ✓,ESTIMATED,97,
