date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_hr,season_pa,exp_pa,f_bat,f_platoon,f_arsenal,f_pit,f_park,f_wind,f_temp,wind,hr_pa,p,odds_dk,odds_mgm,odds_czr,fair
2026-09-11,824873,621566,Matt Olson,Atlanta Braves,Philadelphia Phillies,1,Aaron Nola,605400,R,37,635,4.3,1.63,1.13,0.93,1.19,1.02,1.0,1.0,,0.06026,23.5,361,310,350,+326
2026-09-11,823012,808959,Munetaka Murakami,Chicago White Sox,St. Louis Cardinals,0,Matthew Liberatore,669461,L,31,486,4.4,1.68,0.94,1.02,1.13,0.94,1.0,1.0,,0.05453,21.9,377,450,370,+357
2026-09-11,822930,691406,Junior Caminero,Tampa Bay Rays,Houston Astros,1,Miguel Ullola,699044,R,39,639,4.4,1.69,1.18,1.08,1.07,0.98,1.0,1.0,,0.05348,21.5,273,260,265,+365
2026-09-11,822767,624413,Pete Alonso,Baltimore Orioles,Toronto Blue Jays,0,Max Scherzer,453286,R,34,637,4.3,1.52,1.14,1.14,1.15,1.01,1.0,1.0,,0.05346,21.0,317,270,290,+376
2026-09-11,824873,656941,Kyle Schwarber,Philadelphia Phillies,Atlanta Braves,0,Chris Sale,519242,L,44,632,4.5,1.88,1.03,0.94,0.86,1.02,1.0,1.0,,0.05036,20.7,372,400,370,+383
2026-09-11,824631,664040,Brandon Lowe,Pittsburgh Pirates,Chicago Cubs,0,Shota Imanaga,684007,L,29,601,4.4,1.39,0.9,1.0,1.19,1.0,1.0,1.0,,0.05067,20.5,481,390,475,+388
2026-09-11,822684,695578,James Wood,Washington Nationals,Los Angeles Angels,1,Yusei Kikuchi,579328,L,30,566,4.7,1.49,1.01,1.15,1.02,1.0,1.0,1.0,,0.04609,19.9,374,340,370,+403
2026-09-11,824631,699013,Esmerlyn Valdez,Pittsburgh Pirates,Chicago Cubs,0,Shota Imanaga,684007,L,17,284,4.0,1.47,1.2,1.01,1.19,1.0,1.0,1.0,,0.05355,19.8,355,,350,+405
2026-09-11,824631,691718,Pete Crow-Armstrong,Chicago Cubs,Pittsburgh Pirates,1,Wilber Dotel,696062,R,41,659,4.5,1.72,1.17,1.11,0.91,1.0,1.0,1.0,,0.04775,19.8,293,250,305,+405
2026-09-11,824631,665833,Oneil Cruz,Pittsburgh Pirates,Chicago Cubs,0,Shota Imanaga,684007,L,18,367,4.4,1.34,0.96,0.98,1.19,1.0,1.0,1.0,,0.04868,19.7,381,360,370,+408
2026-09-11,823498,700250,Ben Rice,New York Yankees,New York Mets,1,Nolan McLean,690997,R,36,604,4.3,1.65,1.18,1.0,0.9,1.08,1.0,1.0,,0.04872,19.3,306,280,305,+418
2026-09-11,823012,695657,Colson Montgomery,Chicago White Sox,St. Louis Cardinals,0,Matthew Liberatore,669461,L,31,582,4.2,1.5,1.09,1.0,1.13,0.94,1.0,1.0,,0.0486,18.9,489,450,475,+429
2026-09-11,823498,665742,Juan Soto,New York Mets,New York Yankees,0,Carlos Rodón,607074,L,24,407,4.3,1.54,0.89,1.01,0.93,1.08,1.0,1.0,,0.04739,18.8,302,310,290,+432
2026-09-11,824873,686948,Drake Baldwin,Atlanta Braves,Philadelphia Phillies,1,Aaron Nola,605400,R,23,548,4.4,1.25,1.12,0.99,1.19,1.02,1.0,1.0,,0.04626,18.8,508,400,500,+432
2026-09-11,822930,670541,Yordan Alvarez,Houston Astros,Tampa Bay Rays,0,Drew Rasmussen,656876,R,38,637,4.4,1.66,1.12,1.07,0.92,0.98,1.0,1.0,,0.04515,18.4,313,340,305,+443
2026-09-11,823498,592450,Aaron Judge,New York Yankees,New York Mets,1,Nolan McLean,690997,R,17,268,4.4,1.52,1.14,1.09,0.9,1.08,1.0,1.0,,0.04487,18.3,265,240,255,+446
2026-09-11,824954,663728,Cal Raleigh,Seattle Mariners,Athletics,0,Jeffrey Springs,605488,L,21,466,4.2,1.3,1.03,0.98,1.19,1.0,1.0,1.0,,0.04685,18.3,203,200,198,+446
2026-09-11,824227,696100,Hunter Goodman,Colorado Rockies,Detroit Tigers,0,Framber Valdez,664285,L,37,522,4.1,1.85,1.01,1.06,0.89,0.95,1.0,1.0,,0.04779,18.2,318,360,320,+449
2026-09-11,823012,678246,Miguel Vargas,Chicago White Sox,St. Louis Cardinals,0,Matthew Liberatore,669461,L,30,634,4.4,1.38,1.2,0.9,1.13,0.94,1.0,1.0,,0.04475,18.2,407,475,400,+449
2026-09-11,823736,694192,Jackson Chourio,Milwaukee Brewers,Cincinnati Reds,1,Andrew Abbott,671096,L,23,509,4.5,1.31,1.05,1.15,1.04,1.05,1.0,1.0,,0.04333,18.1,398,310,390,+452
2026-09-11,822684,682928,CJ Abrams,Washington Nationals,Los Angeles Angels,1,Yusei Kikuchi,579328,L,30,600,4.3,1.43,0.95,0.94,1.02,1.0,1.0,1.0,,0.04435,17.7,620,475,525,+465
2026-09-11,824873,660670,Ronald Acuña Jr.,Atlanta Braves,Philadelphia Phillies,1,Aaron Nola,605400,R,16,412,4.4,1.16,1.1,1.12,1.19,1.02,1.0,1.0,,0.04308,17.6,415,400,390,+468
2026-09-11,823173,646240,Rafael Devers,San Francisco Giants,San Diego Padres,1,Robbie Ray,592662,L,35,624,4.3,1.57,0.87,0.96,1.01,0.91,1.0,1.0,,0.04398,17.6,467,475,500,+468
2026-09-11,824873,671739,Michael Harris II,Atlanta Braves,Philadelphia Phillies,1,Aaron Nola,605400,R,24,560,4.0,1.27,1.09,0.85,1.19,1.02,1.0,1.0,,0.04704,17.5,480,450,475,+471
2026-09-11,824631,656811,Ryan O'Hearn,Pittsburgh Pirates,Chicago Cubs,0,Shota Imanaga,684007,L,17,398,4.1,1.23,0.97,1.07,1.19,1.0,1.0,1.0,,0.0448,17.1,,,,+485
2026-09-11,824227,693307,Dillon Dingler,Detroit Tigers,Colorado Rockies,1,Mason Adams,690279,R,26,563,4.2,1.34,1.2,0.94,1.11,0.95,1.0,1.0,,0.04318,16.9,495,525,500,+492
2026-09-11,823498,671277,Luis García Jr.,New York Yankees,New York Mets,1,Nolan McLean,690997,R,30,499,3.7,1.61,1.19,1.08,0.9,1.08,1.0,1.0,,0.04779,16.6,361,340,350,+502
2026-09-11,823736,641343,Jake Bauers,Milwaukee Brewers,Cincinnati Reds,1,Andrew Abbott,671096,L,24,522,4.0,1.33,1.01,0.98,1.04,1.05,1.0,1.0,,0.04397,16.5,,,,+506
2026-09-11,824954,668227,Randy Arozarena,Seattle Mariners,Athletics,0,Jeffrey Springs,605488,L,22,602,4.3,1.14,1.08,0.94,1.19,1.0,1.0,1.0,,0.04111,16.5,356,240,350,+506
2026-09-11,823498,596019,Francisco Lindor,New York Mets,New York Yankees,0,Carlos Rodón,607074,L,18,392,4.4,1.29,1.02,1.02,0.93,1.08,1.0,1.0,,0.03964,16.3,388,280,370,+513
2026-09-11,822767,691723,Coby Mayo,Baltimore Orioles,Toronto Blue Jays,0,Max Scherzer,453286,R,22,393,3.3,1.48,0.8,1.07,1.15,1.01,1.0,1.0,,0.05215,16.2,408,380,390,+517
2026-09-11,823817,660271,Shohei Ohtani,Los Angeles Dodgers,Miami Marlins,0,Ryan Gusto,687473,R,30,596,4.4,1.44,1.02,1.01,0.98,0.92,1.0,1.0,,0.03925,16.2,,,,+517
2026-09-11,824954,677594,Julio Rodríguez,Seattle Mariners,Athletics,0,Jeffrey Springs,605488,L,21,590,4.3,1.12,1.12,1.15,1.19,1.0,1.0,1.0,,0.04032,16.2,315,270,305,+517
2026-09-11,822767,683002,Gunnar Henderson,Baltimore Orioles,Toronto Blue Jays,0,Max Scherzer,453286,R,22,647,4.5,1.08,0.98,0.91,1.15,1.01,1.0,1.0,,0.03816,16.1,532,390,500,+521
2026-09-11,822767,672960,Kazuma Okamoto,Toronto Blue Jays,Baltimore Orioles,1,Chris Bassitt,605135,R,30,576,4.1,1.47,1.07,0.91,0.93,1.01,1.0,1.0,,0.04179,16.1,517,390,500,+521
2026-09-11,823736,701398,Sal Stewart,Cincinnati Reds,Milwaukee Brewers,0,Dustin May,669160,R,31,632,4.3,1.42,1.08,1.04,0.87,1.05,1.0,1.0,,0.03962,16.0,479,425,425,+525
2026-09-11,825036,608369,Corey Seager,Texas Rangers,Arizona Diamondbacks,0,TBD,,,17,370,4.3,1.28,1.0,1.0,1.0,1.01,1.0,1.0,,0.03953,15.9,371,390,370,+529
