Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds,Game#,GamePk
2026-08-20,St. Louis Cardinals,Cincinnati Reds,57.4,42.6,-118,-102,-118,-102,+3.3%,+3.3%,-7.9%,-7.9%,Michael McGreevy,R,66.0,87.1,2204.0,7.4,Brady Singer,R,62.8,87.3,2385.0,9.9,0.699,0.696,2.57,4.56,-0.2,3.1,FADE ✗,ESTIMATED,106,,,+5.7%,-5.7%,+5.7%,-5.7%,St. Louis Cardinals,-115,105,1,824474
2026-08-20,San Francisco Giants,Cleveland Guardians,47.7,52.3,157,-191,154,-190,+8.8%,+8.3%,-13.3%,-13.2%,Landen Roupp,R,64.7,87.0,2330.0,9.6,Gavin Williams,R,74.5,90.9,2281.0,13.5,0.712,0.681,4.42,2.9,0.2,-0.2,N/A,ESTIMATED,98,,,+10.5%,-10.5%,+10.1%,-10.1%,,165,-180,1,824395
2026-08-20,Toronto Blue Jays,Tampa Bay Rays,43.7,56.3,137,-166,140,-170,+1.5%,+2.0%,-6.1%,-6.7%,Shane Bieber,R,24.3,88.4,2267.0,7.7,Ian Seymour,L,48.2,85.9,1987.0,12.8,0.682,0.74,4.0,6.33,-6.8,6.7,CONFIRMED ✓,ESTIMATED,98,,,+3.4%,-3.4%,+3.9%,-3.9%,Toronto Blue Jays,147,-157,1,822934
2026-08-20,Athletics,Kansas City Royals,42.7,57.3,118,-142,115,-140,-3.2%,-3.8%,-1.4%,-1.0%,Gage Jump,L,39.0,91.1,2303.0,10.5,Randy Dobnak,R,20.8,87.4,2035.0,7.2,0.72,0.708,5.64,3.84,7.8,-7.8,FADE ✗,ESTIMATED,99,,,-1.2%,+1.2%,-1.7%,+1.7%,,125,-135,1,824074
2026-08-20,Atlanta Braves,Chicago White Sox,51.5,48.5,-112,-107,-115,-105,-1.3%,-2.0%,-3.2%,-2.7%,Grant Holmes,R,58.8,89.5,2456.0,10.6,Anthony Kay,L,60.7,90.0,2284.0,9.6,0.725,0.73,4.8,3.77,-9.0,9.0,FADE ✗,ESTIMATED,99,,,+1.0%,-1.0%,+0.4%,-0.4%,,-111,101,1,824589
2026-08-20,Seattle Mariners,Milwaukee Brewers,44.8,55.2,109,-131,110,-135,-3.0%,-2.8%,-1.5%,-2.2%,George Kirby,R,68.3,92.0,2272.0,10.4,Robert Gasser,L,36.7,88.1,2272.0,9.5,0.687,0.733,7.15,2.83,5.1,-5.1,FADE ✗,ESTIMATED,100,,,-0.9%,+0.9%,-0.5%,+0.5%,,115,-125,1,823747
2026-08-20,New York Yankees,Baltimore Orioles,49.9,50.1,-127,105,-130,105,-6.0%,-6.6%,+1.3%,+1.3%,Gerrit Cole,R,43.3,92.1,2363.0,9.7,Kyle Bradish,R,66.5,90.6,2428.0,8.4,0.715,0.718,2.47,4.65,-8.5,8.6,CONFIRMED ✓,ESTIMATED,102,,,-3.5%,+3.5%,-3.8%,+3.8%,Baltimore Orioles,-121,110,1,824802
2026-08-20,Washington Nationals,Texas Rangers,52.7,47.3,137,-166,140,-170,+10.5%,+11.0%,-15.1%,-15.7%,Andrew Alvarez,L,37.5,87.2,2493.0,9.0,Jacob deGrom,R,60.3,93.0,2442.0,15.4,0.763,0.708,3.94,5.03,-0.5,0.6,N/A,ESTIMATED,103,,,+12.4%,-12.4%,+12.9%,-12.9%,,147,-157,1,822861
2026-08-20,Los Angeles Angels,Houston Astros,33.1,66.9,158,-193,154,-190,-5.7%,-6.3%,+1.0%,+1.4%,Grayson Rodriguez,R,29.5,89.9,2198.0,9.7,Peter Lambert,R,59.3,89.4,2218.0,10.5,0.682,0.728,2.18,4.09,-2.6,2.6,CONFIRMED ✓,ESTIMATED,99,,,-4.0%,+4.0%,-4.5%,+4.5%,Houston Astros,165,-180,1,824153
