Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag
2026-05-14,Colorado Rockies,Pittsburgh Pirates,42.4,57.6,149,-181,154,-185,+2.2%,+3.0%,-6.8%,-7.3%,Chase Dollander,R,21.5,94.0,2418.0,12.0,Mason Montgomery,L,7.6,95.5,2367.0,15.0,0.718,0.725,5.66,3.22,13.0,-12.9,FADE ✗,ESTIMATED,98,
2026-05-14,Washington Nationals,Cincinnati Reds,56.1,43.9,135,-163,135,-160,+13.5%,+13.5%,-18.1%,-17.6%,Foster Griffin,L,23.1,85.6,2103.0,9.3,Chase Burns,R,23.5,94.7,2559.0,13.3,0.738,0.685,4.06,5.94,-2.3,2.1,FADE ✗,ESTIMATED,106,
2026-05-14,Detroit Tigers,New York Mets,43.4,56.6,144,-175,145,-175,+2.4%,+2.6%,-7.0%,-7.0%,Keider Montero,R,19.6,89.8,2356.0,7.4,Nolan McLean,R,22.6,91.2,2429.0,9.3,0.713,0.63,3.98,2.9,-3.9,3.8,CONFIRMED ✓,ESTIMATED,97,
2026-05-14,Miami Marlins,Minnesota Twins,54.1,45.9,-112,-108,-110,-110,+1.3%,+1.7%,-6.0%,-6.5%,Braxton Garrett,L,0,None,None,None,Zebby Matthews,R,0,None,None,None,0.689,0.721,3.91,3.67,1.6,-1.6,CONFIRMED ✓,CONFIRMED+PLATOON,100,
2026-05-14,San Diego Padres,Milwaukee Brewers,41.1,58.9,118,-142,110,-135,-4.8%,-6.5%,+0.2%,+1.5%,Griffin Canning,R,4.5,91.0,2077.0,13.5,Kyle Harrison,L,16.6,89.9,2142.0,12.5,0.737,0.732,3.17,2.35,-2.0,2.0,CONFIRMED ✓,CONFIRMED+PLATOON,100,
2026-05-14,Seattle Mariners,Houston Astros,44.5,55.5,-119,-102,-115,-105,-9.8%,-9.0%,+5.0%,+4.3%,Luis Castillo,R,0,None,None,None,Mike Burrows,R,22.1,89.6,2210.0,11.1,0.77,0.772,3.63,3.74,-5.5,5.7,CONFIRMED ✓,CONFIRMED+PLATOON,99,
2026-05-14,St. Louis Cardinals,Athletics,65,35,101,-122,100,-120,+15.2%,+15.0%,-20.0%,-19.5%,Michael McGreevy,R,22.6,86.6,2204.0,8.2,Jacob Lopez,L,17.6,84.9,2222.0,7.9,0.913,0.693,2.75,2.55,6.1,-6.0,CONFIRMED ✓,CONFIRMED+PLATOON,95,
2026-05-14,Philadelphia Phillies,Boston Red Sox,42.1,57.9,-108,-112,-110,-110,-9.8%,-10.3%,+5.1%,+5.5%,Jesús Luzardo,L,21.6,90.7,2178.0,14.1,Ranger Suarez,L,19.5,86.2,1903.0,8.2,0.689,0.667,4.25,3.0,-7.9,8.0,CONFIRMED ✓,ESTIMATED,104,
2026-05-14,Chicago Cubs,Atlanta Braves,35,65,149,-181,145,-180,-5.2%,-5.8%,+0.6%,+0.7%,Ben Brown,R,14.6,92.7,2175.0,7.8,Chris Sale,L,24.5,87.6,2274.0,12.8,0.748,0.787,3.96,1.84,-7.7,7.7,CONFIRMED ✓,ESTIMATED,102,
2026-05-14,Kansas City Royals,Chicago White Sox,56.5,43.5,-137,114,-130,110,-1.3%,+0.0%,-3.2%,-4.1%,Kris Bubic,L,23.1,88.3,2232.0,10.0,Anthony Kay,L,17.5,90.3,2254.0,8.0,0.711,0.719,5.19,4.6,2.1,-2.3,CONFIRMED ✓,ESTIMATED,99,
2026-05-14,San Francisco Giants,Los Angeles Dodgers,40.3,59.7,149,-181,145,-175,+0.1%,-0.5%,-4.7%,-3.9%,Landen Roupp,R,21.6,86.3,2384.0,9.3,Emmet Sheehan,R,17.6,88.2,2229.0,14.8,0.656,0.775,4.02,4.83,0.0,0.0,N/A,ESTIMATED,96,
