Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning
2026-07-24,Colorado Rockies,Milwaukee Brewers,39.1,60.9,208,-258,200,-250,+6.6% ** BET **,+5.8% ** BET **,-11.2%,-10.5%,Tomoyuki Sugano,R,45.3,88.2,2297.0,7.0,Shane Drohan,L,38.0,90.0,2540.0,11.1,0.745,0.733,6.5,2.78,0.0,0.0,N/A,ESTIMATED,100,** BET **,
2026-07-24,Kansas City Royals,Detroit Tigers,46.5,53.5,241,-303,230,-295,+17.2%,+16.2%,-21.7%,-21.2%,Beck Way,R,11.2,93.0,2354.0,10.7,Tarik Skubal,L,41.3,92.6,2166.0,15.7,0.716,0.712,4.57,3.48,-8.0,8.0,CONFIRMED ✓,ESTIMATED,100,,
2026-07-24,Chicago Cubs,Pittsburgh Pirates,None,None,104,-126,105,-125,N/A,N/A,N/A,N/A,Matthew Boyd,R,0,None,None,None,Jared Jones,R,20.0,94.0,2499.0,13.2,0.751,0.763,3.27,3.27,2.1,-1.9,N/A,ESTIMATED,98,,
2026-07-24,Arizona Diamondbacks,Washington Nationals,None,None,-122,101,-125,105,N/A,N/A,N/A,N/A,Eduardo Rodriguez,R,0,None,None,None,Carson Palmquist,L,5.7,83.3,2067.0,10.7,0.709,0.771,4.43,5.37,0.0,0.0,N/A,ESTIMATED,99,,
2026-07-24,New York Yankees,Philadelphia Phillies,46.0,54.0,112,-135,115,-140,-1.2%,-0.5%,-3.4%,-4.3%,Will Warren,R,49.5,90.3,2507.0,9.0,Jesús Luzardo,L,57.7,90.7,2203.0,13.0,0.735,0.705,3.27,4.83,0.0,0.0,N/A,ESTIMATED,105,,
2026-07-24,Atlanta Braves,Baltimore Orioles,None,None,-101,-120,-102,-118,N/A,N/A,N/A,N/A,Grant Holmes,R,46.2,89.6,2463.0,10.5,TBD,R,0,None,None,None,0.736,0.72,4.71,2.67,0.0,0.0,N/A,ESTIMATED,102,,
2026-07-24,Los Angeles Dodgers,New York Mets,53.3,46.7,-156,129,-155,125,-7.6%,-7.5%,+3.0% ** BET **,+2.3%,Roki Sasaki,R,43.3,92.2,1707.0,12.0,Sean Manaea,L,39.8,84.9,2103.0,9.6,0.773,0.687,3.46,3.53,0.0,0.0,N/A,ESTIMATED,97,** BET **,
2026-07-24,Cleveland Guardians,Tampa Bay Rays,37.3,62.7,118,-142,115,-140,-8.6%,-9.2%,+4.0% ** BET **,+4.4% ** BET **,Joey Cantillo,L,53.0,84.9,2001.0,12.6,Shane McClanahan,L,45.5,89.8,2090.0,11.6,0.687,0.735,3.68,4.3,0.0,0.0,N/A,ESTIMATED,98,** BET **,
2026-07-24,San Diego Padres,Miami Marlins,None,None,113,-136,115,-140,N/A,N/A,N/A,N/A,Germán Márquez,R,22.3,90.4,2314.0,8.3,TBD,R,0,None,None,None,0.69,0.732,4.55,4.68,0.0,0.0,N/A,ESTIMATED,96,,
2026-07-24,Toronto Blue Jays,Boston Red Sox,49.4,50.6,104,-126,105,-125,+0.4%,+0.6%,-5.2%,-5.0%,Trey Yesavage,R,40.5,89.4,2008.0,12.4,Patrick Sandoval,L,4.7,88.1,2259.0,10.6,0.68,0.707,4.43,3.14,-5.1,5.3,CONFIRMED ✓,ESTIMATED,104,,
2026-07-24,Houston Astros,Chicago White Sox,44.4,55.6,113,-136,110,-135,-2.5%,-3.2%,-2.0%,-1.8%,Spencer Arrighetti,R,43.5,84.5,2492.0,9.7,Davis Martin,R,53.0,90.1,2484.0,10.7,0.728,0.727,3.21,3.46,0.0,0.0,N/A,ESTIMATED,99,,
2026-07-24,Seattle Mariners,Texas Rangers,52.5,47.5,-122,101,-120,100,-2.5%,-2.0%,-2.3%,-2.5%,Bryce Miller,R,31.7,90.8,2172.0,13.5,MacKenzie Gore,L,55.3,90.2,2173.0,10.7,0.687,0.722,3.27,7.44,0.0,0.0,N/A,ESTIMATED,103,,
2026-07-24,Athletics,Minnesota Twins,47.7,52.3,119,-144,120,-145,+2.0%,+2.2%,-6.7%,-6.9%,Jacob Lopez,L,29.8,84.7,2249.0,8.8,Zebby Matthews,R,35.0,89.7,2242.0,8.8,0.732,0.73,8.44,5.95,0.0,0.0,N/A,ESTIMATED,100,,
2026-07-24,Cincinnati Reds,St. Louis Cardinals,42.4,57.6,139,-168,140,-170,+0.6%,+0.7%,-5.1%,-5.4%,Rhett Lowder,R,36.0,89.2,2325.0,7.6,Dustin May,R,49.0,92.7,2529.0,9.5,0.709,0.701,5.19,4.9,-3.8,3.8,CONFIRMED ✓,ESTIMATED,98,,
2026-07-24,Los Angeles Angels,San Francisco Giants,33.9,66.1,142,-172,145,-175,-7.4%,-6.9%,+2.9%,+2.5%,Grayson Rodriguez,R,17.5,89.8,2230.0,8.1,Logan Webb,R,53.5,88.8,2024.0,8.5,0.702,0.723,2.5,3.35,0.0,0.0,N/A,ESTIMATED,95,,
