Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds
2026-08-09,Cincinnati Reds,Washington Nationals,37.8,62.2,-108,101,-110,-110,-14.1%,-14.6%,+12.4%,+9.8%,Brady Singer,R,56.8,87.2,2388.0,10.1,Brad Lord,R,29.5,90.5,2443.0,8.4,0.709,0.766,4.13,4.17,3.1,-3.3,FADE ✗,ESTIMATED,99,,DK vig 101.7%,-13.2%,+13.2%,-12.2%,+12.2%,,-105,-105
2026-08-09,Athletics,Boston Red Sox,None,None,200,-216,185,-225,N/A,N/A,N/A,N/A,J.T. Ginn,R,0,None,None,None,Erik Miller,L,17.5,92.0,2409.0,11.2,0.65,0.709,7.02,3.1,3.9,-3.9,N/A,CONFIRMED+PLATOON,104,,DK vig 101.7%,N/A,N/A,N/A,N/A,,198,-218
2026-08-09,New York Mets,Pittsburgh Pirates,46.4,53.6,130,-140,120,-145,+2.9%,+0.9%,-4.7%,-5.6%,Sean Manaea,L,48.8,85.4,2106.0,9.8,Jared Jones,R,28.0,93.7,2512.0,12.1,0.698,0.713,4.33,4.73,-2.0,2.0,CONFIRMED ✓,CONFIRMED+PLATOON,98,,DK vig 101.8%,+3.7%,-3.7%,+2.9%,-2.9%,New York Mets,132,-142
2026-08-09,Toronto Blue Jays,Philadelphia Phillies,39.6,60.4,212,-229,185,-225,+7.5%,+4.5%,-9.2%,-8.8%,Shane Bieber,R,18.5,88.2,2283.0,7.9,Jesús Luzardo,L,68.3,90.7,2204.0,12.8,0.652,0.768,2.85,3.43,-2.3,2.3,CONFIRMED ✓,CONFIRMED+PLATOON,105,,DK vig 101.7%,+8.0%,-8.0%,+5.9%,-5.9%,Toronto Blue Jays,205,-250
2026-08-09,Atlanta Braves,New York Yankees,38.7,61.3,131,-141,120,-145,-4.6%,-6.8%,+2.8%,+2.1%,Grant Holmes,R,54.0,89.6,2462.0,10.6,Cam Schlittler,R,69.8,95.9,2499.0,13.0,0.775,0.808,2.52,3.76,-2.4,2.4,CONFIRMED ✓,CONFIRMED+PLATOON,101,,DK vig 101.8%,-3.8%,+3.8%,-4.8%,+4.8%,New York Yankees,132,-142
2026-08-09,Los Angeles Angels,Miami Marlins,43.6,56.4,131,-140,125,-150,+0.3%,-0.8%,-1.9%,-3.6%,Grayson Rodriguez,R,25.5,89.9,2215.0,9.0,Ryan Gusto,R,22.5,88.9,2215.0,8.8,0.718,0.734,3.35,2.82,0.2,-0.3,N/A,CONFIRMED+PLATOON,96,,DK vig 101.6%,+1.0%,-1.0%,+1.1%,-1.1%,,127,-137
2026-08-09,Chicago Cubs,Kansas City Royals,None,None,-158,147,-170,140,N/A,N/A,N/A,N/A,Matthew Boyd,R,0,None,None,None,Randy Dobnak,R,15.5,87.6,2073.0,7.3,0.738,0.714,3.52,3.91,-1.0,1.0,N/A,CONFIRMED+PLATOON,99,,DK vig 101.7%,N/A,N/A,N/A,N/A,,-160,150
2026-08-09,Cleveland Guardians,Chicago White Sox,56.4,43.6,-125,116,-135,110,+0.8%,-1.0%,-2.7%,-4.0%,Joey Cantillo,L,59.3,84.9,2026.0,12.2,Davis Martin,R,61.0,90.0,2486.0,9.8,0.758,0.695,4.5,5.86,-2.1,2.2,FADE ✗,CONFIRMED+PLATOON,99,,DK vig 101.9%,+1.8%,-1.8%,+1.7%,-1.7%,,-127,117
2026-08-09,Minnesota Twins,Milwaukee Brewers,31.7,68.3,238,-258,220,-275,+2.1%,+0.5%,-3.8%,-5.0%,Connor Prielipp,L,38.8,89.8,2581.0,8.7,Jacob Misiorowski,R,63.5,97.7,2558.0,17.3,0.719,0.718,4.65,3.48,-9.9,9.8,CONFIRMED ✓,CONFIRMED+PLATOON,100,,DK vig 101.7%,+2.6%,-2.6%,+1.8%,-1.8%,,230,-260
2026-08-09,Colorado Rockies,St. Louis Cardinals,40.8,59.2,147,-158,140,-170,+0.3%,-0.9%,-2.0%,-3.8%,Michael Lorenzen,R,53.8,88.7,2354.0,7.5,Michael McGreevy,R,60.2,87.1,2200.0,7.3,0.797,0.711,5.07,3.57,0.6,-0.6,N/A,CONFIRMED+PLATOON,98,,DK vig 101.7%,+1.0%,-1.0%,+1.0%,-1.0%,,147,-157
