date,pk,pitcher_id,name,team,opp,home,hand,season_so,season_bf,season_gs,season_ip,prior_so,prior_bf,bf_l5,bf_season,exp_bf,p_pit,f_pit,lineup_src,lineup_n,lineup_k,f_lineup,pk_pa,exp_k,p_over_3.5,p_over_4.5,p_over_5.5,p_over_6.5,p_over_7.5,p_over_8.5,line_dk,over_dk,under_dk,line_fd,over_fd,under_fd,line_mgm,over_mgm,under_mgm,line_czr,over_czr,under_czr,alts,cons_line,p_over_cons,fair_over,fair_under,best_side,best_book,best_line,best_price,best_edge,odds_at,built_at
2026-08-27,822694,687312,Gabriel Hughes,Colorado Rockies,Washington Nationals,0,R,35,185,8,42.7,0,0,21.75,21.76,21.75,0.2056,0.931,confirmed,9,0.1987,0.9,0.1847,4.02,0.5714,0.3813,0.225,0.1179,0.0552,0.0232,3.5,-107,-119,3.5,-108,-118,3.5,-110,-120,,,,"{""fd"":{""2.5"":[-320,null],""3.5"":[-108,null],""4.5"":[210,null],""5.5"":[470,null]},""dk"":{""1.5"":[-910,null],""2.5"":[-264,null],""3.5"":[-104,null],""4.5"":[226,null],""5.5"":[509,null],""6.5"":[1160,null]},""czr"":{""2.5"":[-320,null],""3.5"":[-117,null],""4.5"":[200,null],""5.5"":[425,null],""6.5"":[1000,null]},""mgm"":{""3.5"":[-110,null],""5.5"":[400,null],""6.5"":[775,null],""4.5"":[195,null],""2.5"":[-275,null]}}",3.5,0.5714,-133,+133,over,dk,3.5,-107,0.0838,2026-08-27T15:58:16Z,2026-08-27T15:58:16Z
2026-08-27,822694,663623,Jake Irvin,Washington Nationals,Colorado Rockies,1,R,76,339,16,77.3,124,787,20.38,21.35,20.62,0.2042,0.925,confirmed,9,0.2171,0.983,0.2007,4.17,0.6004,0.4111,0.2494,0.1343,0.0646,0.0278,4.5,-119,-107,4.5,-111,-115,4.5,-115,-115,,,,"{""fd"":{""2.5"":[-900,null],""3.5"":[-295,null],""4.5"":[-111,null],""5.5"":[186,null],""6.5"":[390,null]},""dk"":{""2.5"":[-820,null],""3.5"":[-288,null],""4.5"":[-119,null],""5.5"":[184,null],""6.5"":[403,null],""7.5"":[870,null]},""czr"":{""2.5"":[-1250,null],""3.5"":[-295,null],""4.5"":[-117,null],""5.5"":[177,null],""6.5"":[360,null],""7.5"":[750,null]},""mgm"":{""5.5"":[170,null],""4.5"":[-115,null],""3.5"":[-235,null],""6.5"":[320,null],""2.5"":[-600,null]}}",4.5,0.4111,+143,-143,under,dk,4.5,-107,0.1014,2026-08-27T15:58:16Z,2026-08-27T15:58:16Z
2026-08-27,823014,669432,Trevor Rogers,Baltimore Orioles,St. Louis Cardinals,0,L,114,556,24,132.7,103,423,24.62,22.86,24.18,0.2133,0.966,confirmed,9,0.1979,0.896,0.191,4.54,0.6622,0.4793,0.3104,0.1799,0.0936,0.044,4.5,-131,103,4.5,-120,-106,4.5,-145,105,,,,"{""fd"":{""2.5"":[-1100,null],""3.5"":[-340,null],""4.5"":[-120,null],""5.5"":[168,null],""6.5"":[360,null]},""dk"":{""2.5"":[-870,null],""3.5"":[-305,null],""4.5"":[-129,null],""5.5"":[170,null],""6.5"":[360,null],""7.5"":[750,null],""8.5"":[1540,null]},""czr"":{""2.5"":[-1450,null],""3.5"":[-345,null],""4.5"":[-139,null],""5.5"":[150,null],""6.5"":[300,null],""7.5"":[600,null],""8.5"":[1300,null]},""mgm"":{""5.5"":[140,null],""2.5"":[-800,null],""4.5"":[-145,null],""3.5"":[-325,null],""6.5"":[270,null]}}",4.5,0.4793,+109,-109,under,mgm,4.5,105,0.0688,2026-08-27T15:58:16Z,2026-08-27T15:58:16Z
2026-08-27,823014,700669,Gordon Graceffo,St. Louis Cardinals,Baltimore Orioles,1,R,38,253,0,63.3,40,193,21.77,21.77,21.77,0.1784,0.808,confirmed,9,0.2523,1.143,0.2055,4.47,0.6529,0.4686,0.2999,0.1713,0.0876,0.0403,,,,,,,,,,,,,,,,,,,,,,,2026-08-27T15:58:16Z,2026-08-27T15:58:16Z
2026-08-27,823503,669713,Hayden Wesneski,Houston Astros,New York Yankees,0,R,22,113,5,27.7,29,131,22.6,22.29,22.52,0.2115,0.958,previous,9,0.2323,1.052,0.2226,5.07,0.7422,0.5759,0.4036,0.2546,0.1447,0.0743,4.5,108,-138,4.5,118,-150,4.5,115,-155,,,,"{""fd"":{""2.5"":[-670,null],""3.5"":[-230,null],""4.5"":[118,null],""5.5"":[250,null],""6.5"":[520,null]},""dk"":{""1.5"":[-2800,null],""2.5"":[-598,null],""3.5"":[-218,null],""4.5"":[107,null],""5.5"":[239,null],""6.5"":[521,null],""7.5"":[1100,null]},""czr"":{""2.5"":[-675,null],""3.5"":[-209,null],""4.5"":[107,null],""5.5"":[230,null],""6.5"":[475,null],""7.5"":[1100,null]},""mgm"":{""6.5"":[450,null],""5.5"":[230,null],""3.5"":[-210,null],""4.5"":[110,null],""2.5"":[-550,null]}}",4.5,0.5759,-136,+136,over,fd,4.5,118,0.1426,2026-08-27T15:58:16Z,2026-08-27T15:58:16Z
2026-08-27,823503,543037,Gerrit Cole,New York Yankees,Houston Astros,1,R,100,376,16,92.7,0,0,24.5,23.23,24.18,0.2503,1.134,previous,9,0.2108,0.955,0.2394,5.69,0.8148,0.6739,0.5104,0.3516,0.2197,0.1247,5.5,-125,-102,5.5,-113,-113,5.5,-125,-105,,,,"{""fd"":{""2.5"":[-4000,null],""3.5"":[-800,null],""4.5"":[-290,null],""5.5"":[-113,null],""6.5"":[180,null],""7.5"":[350,null],""8.5"":[750,null]},""dk"":{""2.5"":[-2700,null],""3.5"":[-730,null],""4.5"":[-286,null],""5.5"":[-127,null],""6.5"":[167,null],""7.5"":[355,null],""8.5"":[760,null],""9.5"":[1580,null]},""czr"":{""9.5"":[1000,null],""3.5"":[-800,null],""4.5"":[-295,null],""5.5"":[-130,null],""6.5"":[149,null],""7.5"":[275,null],""8.5"":[525,null]},""mgm"":{""3.5"":[-500,null],""5.5"":[-118,null],""4.5"":[-235,null],""7.5"":[300,null],""6.5"":[160,null]}}",5.5,0.5104,-104,+104,under,dk,5.5,-102,0.0134,2026-08-27T15:58:16Z,2026-08-27T15:58:16Z
2026-08-27,822771,702070,Noah Cameron,Kansas City Royals,Toronto Blue Jays,0,L,128,600,24,143.3,114,556,25.75,23.75,25.25,0.2123,0.962,previous,9,0.1795,0.813,0.1722,4.27,0.6144,0.4267,0.2641,0.146,0.0725,0.0325,4.5,111,-142,4.5,112,-142,4.5,100,-135,,,,"{""fd"":{""2.5"":[-720,null],""3.5"":[-245,null],""4.5"":[112,null],""5.5"":[240,null],""6.5"":[520,null]},""dk"":{""1.5"":[-2700,null],""2.5"":[-592,null],""3.5"":[-211,null],""4.5"":[111,null],""5.5"":[242,null],""6.5"":[521,null],""7.5"":[1100,null]},""czr"":{""2.5"":[-800,null],""3.5"":[-240,null],""4.5"":[101,null],""5.5"":[210,null],""6.5"":[425,null],""7.5"":[950,null]},""mgm"":{""3.5"":[-220,null],""4.5"":[100,null],""2.5"":[-550,null],""5.5"":[200,null],""6.5"":[380,null]}}",4.5,0.4267,+134,-134,under,mgm,4.5,-135,0.0386,2026-08-27T15:58:16Z,2026-08-27T15:58:16Z
2026-08-27,822771,681293,Spencer Arrighetti,Toronto Blue Jays,Kansas City Royals,1,R,91,401,17,91.3,31,156,21.12,22.57,21.49,0.2217,1.004,previous,9,0.2069,0.937,0.2078,4.31,0.6268,0.4395,0.2737,0.1516,0.075,0.0333,,,,,,,,,,,,,,,,,,,,,,,2026-08-27T15:58:16Z,2026-08-27T15:58:16Z
2026-08-27,823581,694819,Jacob Misiorowski,Milwaukee Brewers,New York Mets,0,R,216,550,24,145.0,87,273,21.75,22.9,22.04,0.3619,1.639,previous,9,0.2247,1.018,0.3672,7.99,0.9464,0.8962,0.815,0.7013,0.5642,0.4209,8.5,-114,-112,8.5,-104,-122,8.5,-110,-120,,,,"{""fd"":{""5.5"":[-1400,null],""6.5"":[-500,null],""7.5"":[-235,null],""8.5"":[-104,null],""9.5"":[176,null],""10.5"":[340,null],""11.5"":[630,null]},""czr"":{""9.5"":[144,null],""5.5"":[-2000,null],""6.5"":[-500,null],""7.5"":[-230,null],""8.5"":[-122,null]},""dk"":{""5.5"":[-1200,null],""6.5"":[-486,null],""7.5"":[-224,null],""8.5"":[-114,null],""9.5"":[166,null],""10.5"":[322,null],""11.5"":[620,null],""12.5"":[1160,null]},""mgm"":{""6.5"":[-450,null],""8.5"":[-115,null],""9.5"":[165,null],""10.5"":[310,null],""7.5"":[-220,null]}}",8.5,0.4209,+138,-138,under,dk,8.5,-112,0.0812,2026-08-27T15:58:16Z,2026-08-27T15:58:16Z
2026-08-27,823581,640455,Sean Manaea,New York Mets,Milwaukee Brewers,1,L,117,506,13,117.0,75,263,25.38,23.71,24.96,0.2386,1.081,previous,9,0.2004,0.907,0.217,5.37,0.7796,0.6246,0.4555,0.3009,0.18,0.0976,4.5,-162,127,4.5,-164,128,4.5,-155,115,,,,"{""fd"":{""2.5"":[-1800,null],""3.5"":[-440,null],""4.5"":[-164,null],""5.5"":[132,null],""6.5"":[280,null],""7.5"":[600,null]},""czr"":{""3.5"":[-460,null],""4.5"":[-176,null],""5.5"":[115,null],""6.5"":[235,null],""7.5"":[450,null],""8.5"":[950,null]},""dk"":{""2.5"":[-1040,null],""3.5"":[-371,null],""4.5"":[-159,null],""5.5"":[134,null],""6.5"":[284,null],""7.5"":[584,null],""8.5"":[1160,null]},""mgm"":{""5.5"":[120,null],""4.5"":[-160,null],""2.5"":[-800,null],""3.5"":[-325,null],""6.5"":[230,null]}}",4.5,0.6246,-166,+166,over,mgm,4.5,-155,0.0581,2026-08-27T15:58:16Z,2026-08-27T15:58:16Z
