date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_h,season_pa,season_g,pa_g,n_eff,f_bat,f_pit,f_park,h_pa,p,p2,odds_dk,odds_mgm,odds_czr,odds2_dk,odds2_mgm,odds2_czr,fair,fair2,odds_dk_u
2026-08-25,823098,650333,Luis Arraez,Philadelphia Phillies,Seattle Mariners,0,George Kirby,669923,R,161,549,125,4.39,4.17,1.21,1.08,0.98,0.27653,74.1,32.7,,,,,,,-286,+206,
2026-08-25,823505,670541,Yordan Alvarez,Houston Astros,New York Yankees,0,Will Warren,701542,R,151,571,130,4.39,4.17,1.13,1.04,0.99,0.25226,70.2,28.4,,,,,,,-236,+252,
2026-08-25,824233,650490,Yandy Díaz,Tampa Bay Rays,Detroit Tigers,0,Jackson Jobe,695549,R,152,564,127,4.44,4.22,1.14,1.0,0.99,0.24737,69.9,28.1,,,,,,,-232,+256,
2026-08-25,823016,691023,Jordan Walker,St. Louis Cardinals,Baltimore Orioles,1,Chris Bassitt,605135,R,143,551,129,4.27,4.06,1.12,1.07,0.99,0.25605,69.9,27.9,,,,,,,-232,+258,
2026-08-25,823016,676475,Alec Burleson,St. Louis Cardinals,Baltimore Orioles,1,Chris Bassitt,605135,R,146,556,132,4.21,4.0,1.12,1.07,0.99,0.25804,69.7,27.5,,,,,,,-230,+264,
2026-08-25,823826,672640,Otto Lopez,Miami Marlins,Boston Red Sox,1,Payton Tolle,801139,L,158,561,129,4.35,4.13,1.18,0.97,1.01,0.25031,69.6,27.6,,,,,,,-229,+262,
2026-08-25,822773,677951,Bobby Witt Jr.,Kansas City Royals,Toronto Blue Jays,0,Max Scherzer,453286,R,128,504,114,4.42,4.2,1.1,1.02,1.0,0.24236,68.8,27.0,,,,,,,-221,+270,
2026-08-25,822773,676391,Ernie Clement,Toronto Blue Jays,Kansas City Royals,1,Seth Lugo,607625,R,140,519,129,4.02,3.82,1.14,1.06,1.0,0.26284,68.8,26.3,,,,,,,-221,+280,
2026-08-25,823826,678882,Ceddanne Rafaela,Boston Red Sox,Miami Marlins,0,Tyler Phillips,663969,R,145,537,127,4.23,4.02,1.14,1.0,1.01,0.25024,68.6,26.4,,,,,,,-218,+279,
2026-08-25,823505,665161,Jeremy Peña,Houston Astros,New York Yankees,0,Will Warren,701542,R,93,354,82,4.32,4.1,1.1,1.04,0.99,0.24555,68.5,26.5,,,,,,,-217,+277,
2026-08-25,823016,624413,Pete Alonso,Baltimore Orioles,St. Louis Cardinals,0,Matthew Liberatore,669461,L,137,571,132,4.33,4.11,1.06,1.07,0.99,0.24404,68.3,26.3,,,,,,,-215,+280,
2026-08-25,823585,694192,Jackson Chourio,Milwaukee Brewers,New York Mets,0,Zac Thornton,804267,L,111,442,98,4.51,4.28,1.08,1.01,0.98,0.2342,68.1,26.3,,,,,,,-213,+280,
2026-08-25,824881,518692,Freddie Freeman,Los Angeles Dodgers,Atlanta Braves,0,Bryce Elder,693821,R,145,550,128,4.3,4.08,1.13,1.0,1.0,0.24434,68.1,26.1,,,,,,,-213,+283,
2026-08-25,824233,805808,Kevin McGonigle,Detroit Tigers,Tampa Bay Rays,1,Casey Legumina,668984,R,138,577,128,4.51,4.28,1.06,1.02,0.99,0.23353,68.0,26.2,,,,,,,-213,+282,
2026-08-25,823181,808982,Jung Hoo Lee,San Francisco Giants,Cincinnati Reds,1,Brady Singer,663903,R,133,492,121,4.07,3.87,1.14,1.05,0.98,0.25448,67.9,25.5,,,,,,,-212,+292,
2026-08-25,824233,802415,Chandler Simpson,Tampa Bay Rays,Detroit Tigers,0,Jackson Jobe,695549,R,143,501,124,4.04,3.84,1.18,1.0,0.99,0.25468,67.7,25.2,,,,,,,-210,+297,
2026-08-25,823098,607208,Trea Turner,Philadelphia Phillies,Seattle Mariners,0,George Kirby,669923,R,127,569,128,4.45,4.23,1.02,1.08,0.98,0.23363,67.6,25.7,,,,,,,-209,+289,
2026-08-25,825042,691718,Pete Crow-Armstrong,Chicago Cubs,Arizona Diamondbacks,0,Brandon Pfaadt,694297,R,140,593,133,4.46,4.24,1.05,1.0,1.01,0.23217,67.4,25.6,,,,,,,-207,+291,
2026-08-25,823098,647304,Josh Naylor,Seattle Mariners,Philadelphia Phillies,1,Aaron Nola,605400,R,131,531,124,4.28,4.07,1.08,1.05,0.98,0.24026,67.3,25.3,,,,,,,-206,+295,
2026-08-25,824881,660271,Shohei Ohtani,Los Angeles Dodgers,Atlanta Braves,0,Bryce Elder,693821,R,135,559,126,4.44,4.22,1.07,1.0,1.0,0.23159,67.1,25.3,,,,,,,-204,+295,
2026-08-25,822773,665489,Vladimir Guerrero Jr.,Toronto Blue Jays,Kansas City Royals,1,Seth Lugo,607625,R,116,499,118,4.23,4.02,1.04,1.06,1.0,0.24022,66.9,24.7,,,,,,,-202,+305,
2026-08-25,823259,665487,Fernando Tatis Jr.,San Diego Padres,Pittsburgh Pirates,1,Paul Skenes,694973,R,147,578,131,4.41,4.19,1.1,0.98,0.99,0.23136,66.8,24.9,,,,,,,-201,+302,
2026-08-25,825042,673548,Seiya Suzuki,Chicago Cubs,Arizona Diamondbacks,0,Brandon Pfaadt,694297,R,119,507,115,4.41,4.19,1.05,1.0,1.01,0.23062,66.7,24.8,,,,,,,-200,+303,
2026-08-25,823016,802139,JJ Wetherholt,St. Louis Cardinals,Baltimore Orioles,1,Chris Bassitt,605135,R,121,573,127,4.51,4.28,0.99,1.07,0.99,0.22628,66.6,24.9,,,,,,,-199,+302,
2026-08-25,824233,691406,Junior Caminero,Tampa Bay Rays,Detroit Tigers,0,Jackson Jobe,695549,R,140,575,132,4.36,4.14,1.07,1.0,0.99,0.23228,66.5,24.6,,,,,,,-199,+307,
2026-08-25,825042,608324,Alex Bregman,Chicago Cubs,Arizona Diamondbacks,0,Brandon Pfaadt,694297,R,131,595,130,4.58,4.35,1.01,1.0,1.01,0.2225,66.5,24.9,,,,,,,-199,+302,
2026-08-25,825042,663538,Nico Hoerner,Chicago Cubs,Arizona Diamondbacks,0,Brandon Pfaadt,694297,R,134,570,130,4.38,4.16,1.05,1.0,1.01,0.23138,66.5,24.6,,,,,,,-199,+307,
2026-08-25,823181,682829,Elly De La Cruz,Cincinnati Reds,San Francisco Giants,0,Adrian Houser,605288,R,118,510,114,4.47,4.25,1.04,1.02,0.98,0.22675,66.5,24.7,,,,,,,-199,+305,
