date,pk,pitcher_id,name,team,opp,home,hand,season_so,season_bf,season_gs,season_ip,prior_so,prior_bf,bf_l5,bf_season,exp_bf,p_pit,f_pit,lineup_src,lineup_n,lineup_k,f_lineup,pk_pa,exp_k,p_over_3.5,p_over_4.5,p_over_5.5,p_over_6.5,p_over_7.5,p_over_8.5,line_dk,over_dk,under_dk,line_fd,over_fd,under_fd,line_mgm,over_mgm,under_mgm,line_czr,over_czr,under_czr,alts,cons_line,p_over_cons,fair_over,fair_under,best_side,best_book,best_line,best_price,best_edge,odds_at,built_at
2026-08-19,823342,695549,Jackson Jobe,Detroit Tigers,Pittsburgh Pirates,0,R,8,39,2,8.7,39,218,19.5,20.86,19.84,0.2,0.905,confirmed,9,0.2306,1.044,0.2091,4.13,0.594,0.4042,0.2431,0.1297,0.0616,0.0262,4.5,-109,-117,4.5,-104,-122,4.5,-115,-125,,,,"{""dk"":{""1.5"":[-3000,null],""2.5"":[-700,null],""3.5"":[-254,null],""4.5"":[-108,null],""5.5"":[199,null],""6.5"":[414,null],""7.5"":[870,null],""8.5"":[1780,null]},""fd"":{""2.5"":[-850,null],""3.5"":[-280,null],""4.5"":[-104,null],""5.5"":[196,null],""6.5"":[420,null]},""mgm"":{""6.5"":[360,null],""3.5"":[-235,null],""4.5"":[-110,null],""2.5"":[-625,null],""5.5"":[185,null]},""czr"":{""2.5"":[-950,null],""3.5"":[-260,null],""4.5"":[-115,null],""5.5"":[187,null],""6.5"":[375,null],""7.5"":[750,null]}}",4.5,0.4042,+147,-147,under,dk,4.5,-117,0.0875,2026-08-19T15:31:37Z,2026-08-19T16:01:46Z
2026-08-19,823342,694973,Paul Skenes,Pittsburgh Pirates,Detroit Tigers,1,R,166,553,25,134.7,216,733,22.5,22.57,22.52,0.2945,1.333,confirmed,9,0.2063,0.934,0.2768,6.29,0.8683,0.7552,0.6092,0.4511,0.3049,0.1878,5.5,-162,127,6.5,134,-172,,,,,,,"{""dk"":{""3.5"":[-970,null],""4.5"":[-362,null],""5.5"":[-158,null],""6.5"":[131,null],""7.5"":[270,null],""8.5"":[550,null],""9.5"":[1120,null]},""fd"":{""3.5"":[-1400,null],""4.5"":[-430,null],""5.5"":[-174,null],""6.5"":[134,null],""7.5"":[255,null],""8.5"":[520,null]},""czr"":{""9.5"":[750,null],""3.5"":[-1700,null],""4.5"":[-400,null],""5.5"":[-170,null],""6.5"":[116,null],""7.5"":[220,null],""8.5"":[400,null]}}",5.5,0.6092,-156,+156,over,fd,6.5,134,0.0478,2026-08-19T15:31:37Z,2026-08-19T16:01:46Z
2026-08-19,823587,650633,Michael King,San Diego Padres,New York Mets,0,R,124,585,25,142.3,76,308,23.5,23.34,23.46,0.2182,0.988,confirmed,9,0.2223,1.007,0.2197,5.0,0.7325,0.5633,0.3906,0.2436,0.1368,0.0693,4.5,-150,117,4.5,-148,116,4.5,-160,110,,,,"{""dk"":{""2.5"":[-950,null],""3.5"":[-343,null],""4.5"":[-151,null],""5.5"":[140,null],""6.5"":[290,null],""7.5"":[597,null],""8.5"":[1220,null]},""fd"":{""2.5"":[-1200,null],""3.5"":[-400,null],""4.5"":[-148,null],""5.5"":[142,null],""6.5"":[300,null],""7.5"":[630,null]},""mgm"":{""2.5"":[-900,null],""5.5"":[130,null],""4.5"":[-155,null],""6.5"":[250,null],""3.5"":[-325,null]},""czr"":{""3.5"":[-440,null],""4.5"":[-170,null],""5.5"":[124,null],""6.5"":[250,null],""7.5"":[500,null],""8.5"":[1000,null]}}",4.5,0.5633,-129,+129,under,dk,4.5,117,0.0023,2026-08-19T15:31:37Z,2026-08-19T16:01:46Z
2026-08-19,823587,476594,Robert Stock,New York Mets,San Diego Padres,1,R,13,62,3,12.3,1,15,20.67,21.21,20.8,0.21,0.951,confirmed,9,0.2012,0.911,0.191,3.96,0.5614,0.3709,0.2163,0.1117,0.0514,0.0212,3.5,-153,120,3.5,-140,110,3.5,-165,115,,,,"{""dk"":{""1.5"":[-1440,null],""2.5"":[-392,null],""3.5"":[-155,null],""4.5"":[145,null],""5.5"":[316,null],""6.5"":[680,null],""7.5"":[1420,null]},""fd"":{""2.5"":[-430,null],""3.5"":[-140,null],""4.5"":[164,null],""5.5"":[360,null]},""mgm"":{""4.5"":[130,null],""5.5"":[260,null],""3.5"":[-160,null],""2.5"":[-375,null],""6.5"":[500,null]},""czr"":{""2.5"":[-460,null],""3.5"":[-164,null],""4.5"":[143,null],""5.5"":[300,null],""6.5"":[650,null]}}",3.5,0.5614,-128,+128,under,mgm,3.5,115,0.011,2026-08-19T15:31:37Z,2026-08-19T16:01:46Z
2026-08-19,823664,700363,AJ Smith-Shawver,Atlanta Braves,Minnesota Twins,0,R,4,19,1,4.3,42,192,19.0,21.07,19.52,0.219,0.992,confirmed,9,0.2095,0.948,0.2077,4.1,0.5888,0.3987,0.2386,0.1265,0.0598,0.0253,4.5,129,-165,3.5,-174,136,4.5,115,-165,,,,"{""dk"":{""1.5"":[-1660,null],""2.5"":[-440,null],""3.5"":[-173,null],""4.5"":[129,null],""5.5"":[279,null],""6.5"":[582,null],""7.5"":[1220,null]},""fd"":{""2.5"":[-520,null],""3.5"":[-174,null],""4.5"":[130,null],""5.5"":[285,null],""6.5"":[600,null]},""mgm"":{""6.5"":[475,null],""2.5"":[-500,null],""3.5"":[-190,null],""4.5"":[115,null],""5.5"":[250,null]},""czr"":{""2.5"":[-590,null],""3.5"":[-190,null],""4.5"":[122,null],""5.5"":[260,null],""6.5"":[550,null],""7.5"":[1200,null]}}",4.5,0.3987,+151,-151,under,mgm,4.5,-165,0.0288,2026-08-19T15:31:37Z,2026-08-19T16:01:46Z
2026-08-19,823664,671737,Taj Bradley,Minnesota Twins,Atlanta Braves,1,R,151,579,24,135.7,127,605,25.0,24.05,24.76,0.2484,1.125,confirmed,9,0.2108,0.955,0.2375,5.88,0.8331,0.6997,0.5405,0.3812,0.2446,0.1428,5.5,-133,105,5.5,-132,104,,,,,,,"{""dk"":{""2.5"":[-2500,null],""3.5"":[-720,null],""4.5"":[-295,null],""5.5"":[-137,null],""6.5"":[151,null],""7.5"":[298,null],""8.5"":[610,null],""9.5"":[1180,null]},""fd"":{""2.5"":[-4000,null],""3.5"":[-900,null],""4.5"":[-320,null],""5.5"":[-132,null],""6.5"":[152,null],""7.5"":[320,null],""8.5"":[680,null]},""czr"":{""9.5"":[1000,null],""3.5"":[-950,null],""4.5"":[-320,null],""5.5"":[-145,null],""6.5"":[137,null],""7.5"":[255,null],""8.5"":[500,null]}}",5.5,0.5405,-118,+118,over,fd,8.5,680,0.0146,2026-08-19T15:31:37Z,2026-08-19T16:01:46Z
2026-08-19,824640,605280,Clay Holmes,Chicago Cubs,Chicago White Sox,1,R,49,255,11,63.3,129,708,22.88,22.87,22.87,0.1915,0.867,confirmed,9,0.2321,1.051,0.2017,4.59,0.6709,0.489,0.3188,0.1859,0.0973,0.0459,4.5,-131,103,4.5,-125,-102,4.5,-135,-110,,,,"{""dk"":{""1.5"":[-3400,null],""2.5"":[-800,null],""3.5"":[-303,null],""4.5"":[-131,null],""5.5"":[159,null],""6.5"":[333,null],""7.5"":[680,null],""8.5"":[1340,null]},""fd"":{""2.5"":[-1000,null],""3.5"":[-340,null],""4.5"":[-125,null],""5.5"":[164,null],""6.5"":[350,null],""7.5"":[750,null]},""mgm"":{""4.5"":[-125,null],""3.5"":[-275,null],""5.5"":[155,null],""2.5"":[-700,null],""6.5"":[300,null]},""czr"":{""2.5"":[-1250,null],""3.5"":[-320,null],""4.5"":[-137,null],""5.5"":[155,null],""6.5"":[320,null],""7.5"":[650,null],""8.5"":[1400,null]}}",4.5,0.489,+104,-104,under,dk,4.5,103,0.0461,2026-08-19T15:31:37Z,2026-08-19T16:01:46Z
2026-08-19,824640,656794,Sean Newcomb,Chicago White Sox,Chicago Cubs,0,L,64,276,2,68.0,91,391,7.0,15.86,9.21,0.2306,1.044,confirmed,9,0.2013,0.912,0.2105,1.89,0.1356,0.0508,0.0163,0.0045,0.0011,0.0002,,,,,,,,,,,,,,,,,,,,,,,2026-08-19T15:31:37Z,2026-08-19T16:15:52Z
2026-08-19,824722,694297,Brandon Pfaadt,Arizona Diamondbacks,Boston Red Sox,0,R,61,379,12,92.7,147,767,23.62,23.02,23.47,0.1736,0.786,confirmed,9,0.2062,0.934,0.1614,3.67,0.501,0.3134,0.1726,0.0842,0.0367,0.0144,3.5,-116,-110,3.5,-113,-113,3.5,-120,-120,,,,"{""dk"":{""1.5"":[-1060,null],""2.5"":[-301,null],""3.5"":[-116,null],""4.5"":[204,null],""5.5"":[462,null],""6.5"":[1040,null]},""fd"":{""2.5"":[-340,null],""3.5"":[-113,null],""4.5"":[210,null],""5.5"":[460,null]},""mgm"":{""3.5"":[-125,null],""5.5"":[380,null],""6.5"":[725,null],""4.5"":[180,null],""2.5"":[-300,null]},""czr"":{""2.5"":[-360,null],""3.5"":[-127,null],""4.5"":[183,null],""5.5"":[400,null],""6.5"":[900,null]}}",3.5,0.501,-100,+100,under,dk,3.5,-110,0.0052,2026-08-19T15:31:37Z,2026-08-19T18:31:04Z
2026-08-19,824722,801139,Payton Tolle,Boston Red Sox,Arizona Diamondbacks,1,L,128,461,20,115.0,19,74,22.0,22.88,22.22,0.2634,1.193,confirmed,9,0.1962,0.888,0.2354,5.12,0.7498,0.5856,0.4133,0.2625,0.15,0.0774,5.5,-131,103,5.5,-115,-108,5.5,-135,-110,,,,"{""dk"":{""2.5"":[-2400,null],""3.5"":[-710,null],""4.5"":[-283,null],""5.5"":[-134,null],""6.5"":[148,null],""7.5"":[283,null],""8.5"":[532,null],""9.5"":[1040,null]},""fd"":{""2.5"":[-4000,null],""3.5"":[-900,null],""4.5"":[-310,null],""5.5"":[-115,null],""6.5"":[172,null],""7.5"":[340,null],""8.5"":[750,null]},""mgm"":{""7.5"":[290,null],""5.5"":[-125,null],""3.5"":[-600,null],""6.5"":[155,null],""4.5"":[-250,null]},""czr"":{""9.5"":[1100,null],""3.5"":[-850,null],""4.5"":[-290,null],""5.5"":[-132,null],""6.5"":[150,null],""7.5"":[290,null],""8.5"":[550,null]}}",5.5,0.4133,+142,-142,under,dk,5.5,103,0.1219,2026-08-19T15:31:37Z,2026-08-19T18:31:04Z
