date,pk,pitcher_id,name,team,opp,home,hand,season_so,season_bf,season_gs,season_ip,prior_so,prior_bf,bf_l5,bf_season,exp_bf,p_pit,f_pit,lineup_src,lineup_n,lineup_k,f_lineup,pk_pa,exp_k,p_over_3.5,p_over_4.5,p_over_5.5,p_over_6.5,p_over_7.5,p_over_8.5,line_dk,over_dk,under_dk,line_fd,over_fd,under_fd,line_mgm,over_mgm,under_mgm,line_czr,over_czr,under_czr,alts,cons_line,p_over_cons,fair_over,fair_under,best_side,best_book,best_line,best_price,best_edge,odds_at,built_at
2026-09-22,823543,607259,Nick Martinez,Tampa Bay Rays,New York Yankees,0,R,101,682,29,171.3,116,683,19.33,23.22,21.27,0.1557,0.704,confirmed,9,0.2343,1.06,0.1658,3.44,0.454,0.2707,0.1413,0.065,0.0266,0.0098,3.5,-128,101,3.5,-130,102,3.5,-110,-120,,,,"{""dk"":{""1.5"":[-1380,null],""2.5"":[-343,null],""3.5"":[-129,null],""4.5"":[186,null],""5.5"":[427,null],""6.5"":[1020,null]},""fd"":{""2.5"":[-400,null],""3.5"":[-130,null],""4.5"":[172,null],""5.5"":[400,null]},""mgm"":{""5.5"":[450,null],""6.5"":[825,null],""4.5"":[210,null],""2.5"":[-275,null],""3.5"":[-110,null]},""czr"":{""2.5"":[-400,null],""3.5"":[-125,null],""4.5"":[173,null],""5.5"":[380,null],""6.5"":[850,null]}}",3.5,0.454,+120,-120,under,fd,3.5,102,0.0791,2026-09-22T15:33:54Z,2026-09-22T16:00:06Z
2026-09-22,823543,607074,Carlos Rodón,New York Yankees,Tampa Bay Rays,1,L,83,315,15,76.3,203,789,21.67,21.33,21.5,0.2582,1.168,confirmed,9,0.1762,0.797,0.2078,4.52,0.6607,0.4775,0.308,0.1774,0.0915,0.0424,5.5,122,-156,4.5,-146,114,4.5,-140,105,,,,"{""dk"":{""2.5"":[-1380,null],""3.5"":[-447,null],""4.5"":[-179,null],""5.5"":[122,null],""6.5"":[269,null],""7.5"":[576,null],""8.5"":[1200,null]},""fd"":{""2.5"":[-1600,null],""3.5"":[-400,null],""4.5"":[-146,null],""5.5"":[144,null],""6.5"":[310,null],""7.5"":[680,null]},""mgm"":{""3.5"":[-300,null],""5.5"":[140,null],""4.5"":[-140,null],""6.5"":[270,null],""2.5"":[-800,null]},""czr"":{""2.5"":[-2000,null],""3.5"":[-400,null],""4.5"":[-148,null],""5.5"":[130,null],""6.5"":[255,null],""7.5"":[500,null],""8.5"":[1000,null]}}",4.5,0.4775,+109,-109,under,dk,5.5,-156,0.117,2026-09-22T15:33:54Z,2026-09-22T16:00:06Z
2026-09-22,823328,669467,Andre Pallante,St. Louis Cardinals,Pittsburgh Pirates,0,R,104,629,27,151.0,111,715,23.33,23.33,23.33,0.1664,0.753,confirmed,9,0.2307,1.043,0.1741,3.96,0.5591,0.3693,0.2157,0.112,0.0519,0.0217,3.5,-152,119,3.5,-154,120,3.5,-160,120,,,,"{""fd"":{""2.5"":[-480,null],""3.5"":[-154,null],""4.5"":[146,null],""5.5"":[330,null],""6.5"":[750,null]},""mgm"":{""4.5"":[130,null],""6.5"":[475,null],""5.5"":[260,null],""2.5"":[-450,null],""3.5"":[-165,null]},""dk"":{""1.5"":[-1420,null],""2.5"":[-392,null],""3.5"":[-153,null],""4.5"":[149,null],""5.5"":[331,null],""6.5"":[730,null],""7.5"":[1560,null]},""czr"":{""2.5"":[-500,null],""3.5"":[-165,null],""4.5"":[133,null],""5.5"":[290,null],""6.5"":[625,null],""7.5"":[1400,null]}}",3.5,0.5591,-127,+127,under,mgm,3.5,120,0.016,2026-09-22T18:46:32Z,2026-09-22T18:46:32Z
2026-09-22,823328,683003,Jared Jones,Pittsburgh Pirates,St. Louis Cardinals,1,R,109,380,19,90.7,0,0,22.33,20.06,21.2,0.2642,1.195,confirmed,9,0.2035,0.92,0.2442,5.07,0.7435,0.5782,0.4055,0.2555,0.1446,0.0737,5.5,-126,-101,5.5,-128,100,5.5,-135,100,,,,"{""fd"":{""2.5"":[-3500,null],""3.5"":[-900,null],""4.5"":[-320,null],""5.5"":[-128,null],""6.5"":[158,null],""7.5"":[320,null],""8.5"":[680,null]},""mgm"":{""7.5"":[290,null],""4.5"":[-275,null],""6.5"":[145,null],""5.5"":[-135,null],""3.5"":[-625,null]},""dk"":{""2.5"":[-3100,null],""3.5"":[-740,null],""4.5"":[-281,null],""5.5"":[-130,null],""6.5"":[161,null],""7.5"":[333,null],""8.5"":[680,null],""9.5"":[1360,null]},""czr"":{""9.5"":[1000,null],""3.5"":[-1000,null],""4.5"":[-325,null],""5.5"":[-130,null],""6.5"":[141,null],""7.5"":[265,null],""8.5"":[500,null]}}",5.5,0.4055,+147,-147,under,mgm,5.5,100,0.1291,2026-09-22T18:46:32Z,2026-09-22T18:46:32Z
2026-09-22,824302,647336,Michael Soroka,Arizona Diamondbacks,Colorado Rockies,0,R,101,429,19,104.3,95,379,20.67,21.82,21.24,0.237,1.072,confirmed,9,0.2286,1.034,0.2449,5.08,0.7454,0.5806,0.408,0.2576,0.1462,0.0747,4.5,105,-134,4.5,100,-128,4.5,-105,-125,,,,"{""fd"":{""2.5"":[-720,null],""3.5"":[-265,null],""4.5"":[100,null],""5.5"":[200,null],""6.5"":[450,null]},""mgm"":{""6.5"":[425,null],""4.5"":[-105,null],""5.5"":[200,null],""3.5"":[-250,null],""2.5"":[-700,null]},""dk"":{""1.5"":[-2500,null],""2.5"":[-594,null],""3.5"":[-221,null],""4.5"":[106,null],""5.5"":[233,null],""6.5"":[491,null],""7.5"":[1020,null]},""czr"":{""2.5"":[-800,null],""3.5"":[-250,null],""4.5"":[103,null],""5.5"":[198,null],""6.5"":[400,null],""7.5"":[850,null]}}",4.5,0.5806,-138,+138,over,dk,4.5,105,0.1206,2026-09-22T18:46:32Z,2026-09-22T18:46:32Z
