Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning
2026-06-16,Miami Marlins,Philadelphia Phillies,48.1,51.9,153,-186,150,-185,+8.6% ** BET **,+8.1% ** BET **,-13.1%,-13.0%,Tyler Phillips,R,24.2,89.2,2083.0,9.2,Jesús Luzardo,L,39.3,90.7,2174.0,12.6,0.741,0.709,2.95,4.41,0.0,0.0,N/A,CONFIRMED+PLATOON,105,** BET **,
2026-06-16,Kansas City Royals,Washington Nationals,46.8,53.2,114,-137,115,-140,+0.1%,+0.3%,-4.6%,-5.1%,Michael Wacha,R,44.0,87.1,2007.0,8.2,Foster Griffin,L,39.0,85.7,2146.0,9.4,0.736,0.728,5.14,5.26,0.0,0.0,N/A,CONFIRMED+PLATOON,99,,
2026-06-16,Toronto Blue Jays,Boston Red Sox,45.4,54.6,-118,-102,-120,100,-8.7%,-9.1%,+4.1%,+4.6%,Dylan Cease,R,34.0,91.5,2496.0,14.6,Payton Tolle,L,26.7,93.2,2240.0,12.1,0.7,0.708,5.0,4.4,0.0,0.0,N/A,CONFIRMED+PLATOON,104,,
2026-06-16,Chicago White Sox,New York Yankees,44.3,55.7,119,-144,120,-145,-1.4%,-1.2%,-3.3%,-3.5%,Davis Martin,R,39.2,90.2,2460.0,12.0,Gerrit Cole,R,11.0,91.9,2365.0,6.9,0.737,0.744,3.13,3.68,0.0,0.0,N/A,PARTIAL,101,,
2026-06-16,New York Mets,Cincinnati Reds,42.9,57.1,-122,101,-120,100,-12.1%,-11.6%,+7.3% ** BET **,+7.1% ** BET **,Kodai Senga,R,10.0,88.8,2021.0,9.1,Brady Singer,R,30.5,86.9,2374.0,8.1,0.733,0.709,5.95,2.26,0.0,0.0,N/A,PARTIAL,106,** BET **,
2026-06-16,San Francisco Giants,Atlanta Braves,49.4,50.6,144,-175,140,-170,+8.4% ** BET **,+7.7% ** BET **,-13.0%,-12.4%,Adrian Houser,R,32.5,91.2,2087.0,7.5,Grant Holmes,R,33.3,89.6,2487.0,11.1,0.758,0.779,5.4,4.64,0.0,0.0,N/A,CONFIRMED+PLATOON,102,** BET **,
2026-06-16,Cleveland Guardians,Milwaukee Brewers,47.4,52.6,130,-157,125,-150,+3.9%,+3.0%,-8.5%,-7.4%,Slade Cecconi,R,36.3,88.2,2291.0,8.5,Robert Gasser,L,9.2,87.6,2281.0,9.9,0.689,0.736,3.25,4.19,0.0,0.0,N/A,ESTIMATED,100,,
2026-06-16,San Diego Padres,St. Louis Cardinals,None,None,-101,-120,100,-120,N/A,N/A,N/A,N/A,Michael King,R,0,None,None,None,Andre Pallante,R,34.8,89.4,2302.0,7.6,0.774,0.708,3.5,4.05,0.0,0.0,N/A,CONFIRMED+PLATOON,98,,
2026-06-16,Colorado Rockies,Chicago Cubs,39.9,60.1,168,-205,165,-200,+2.6%,+2.2%,-7.1%,-6.6%,Ryan Feltner,R,18.2,89.2,2375.0,9.6,Edward Cabrera,R,31.5,92.1,2136.0,10.9,0.73,0.821,5.85,3.6,0.0,0.0,N/A,PARTIAL,104,,
2026-06-16,Minnesota Twins,Texas Rangers,44.3,55.7,109,-131,110,-135,-3.5%,-3.3%,-1.0%,-1.7%,Zebby Matthews,R,18.2,89.2,2239.0,9.1,Kumar Rocker,R,32.8,89.4,2130.0,8.9,0.715,0.699,6.93,5.02,0.0,0.0,N/A,ESTIMATED,103,,
2026-06-16,Detroit Tigers,Houston Astros,48.2,51.8,153,-186,154,-190,+8.7%,+8.8%,-13.2%,-13.7%,Framber Valdez,L,38.8,88.3,2283.0,7.5,Hunter Brown,R,5.3,None,None,None,0.767,0.73,3.12,5.71,0.0,0.0,N/A,PARTIAL,99,,
2026-06-16,Los Angeles Angels,Arizona Diamondbacks,48.6,51.4,-108,-112,-110,-110,-3.3%,-3.8%,-1.4%,-1.0%,Reid Detmers,L,40.5,88.3,2218.0,10.4,Merrill Kelly,R,32.2,89.1,2304.0,9.8,0.708,0.692,2.67,4.42,0.0,0.0,N/A,ESTIMATED,97,,
2026-06-16,Pittsburgh Pirates,Athletics,44.4,55.6,119,-144,118,-145,-1.3%,-1.5%,-3.4%,-3.6%,Mitch Keller,R,38.5,89.0,2393.0,8.5,Jack Perkins,R,18.0,91.6,2261.0,13.0,0.736,0.752,6.39,6.5,0.0,0.0,N/A,ESTIMATED,95,,
2026-06-16,Baltimore Orioles,Seattle Mariners,42.8,57.2,130,-157,125,-155,-0.7%,-1.6%,-3.9%,-3.6%,Brandon Young,R,28.2,88.3,2052.0,9.5,Logan Gilbert,R,39.8,88.3,1885.0,12.2,0.728,0.713,4.42,6.0,0.0,0.0,N/A,ESTIMATED,96,,
2026-06-16,Tampa Bay Rays,Los Angeles Dodgers,48.7,51.3,124,-149,125,-150,+4.1%,+4.3%,-8.5%,-8.7%,Drew Rasmussen,R,36.5,92.2,2396.0,10.4,Justin Wrobleski,L,36.7,89.8,2371.0,7.8,0.72,0.787,4.59,5.25,0.0,0.0,N/A,ESTIMATED,96,,
