Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Home SP,Home Hand,Home Reliability%,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag
2026-05-07,Texas Rangers,New York Yankees,37.4,62.6,123,-149,125,-150,-7.4%,-7.0%,+2.8%,+2.6%,MacKenzie Gore,L,17.1,Paul Blackburn,R,7.0,0.691,0.787,4.24,2.9,-5.2,5.1,CONFIRMED ✓,ESTIMATED,101,
2026-05-07,Minnesota Twins,Washington Nationals,None,None,-110,-110,-110,-110,N/A,N/A,N/A,N/A,Simeon Woods Richardson,R,0,Jake Irvin,R,17.1,0.703,0.716,6.1,3.14,1.2,-1.1,N/A,ESTIMATED,99,
2026-05-07,Cleveland Guardians,Kansas City Royals,35,65,119,-143,120,-145,-10.7%,-10.5%,+6.2% ** BET **,+5.8%,Slade Cecconi,R,17.6,Seth Lugo,R,21.6,0.69,0.703,4.35,3.42,-8.9,8.8,CONFIRMED ✓,ESTIMATED,99,** BET **
2026-05-07,Cincinnati Reds,Chicago Cubs,35,65,163,-199,165,-200,-3.0%,-2.7%,-1.6%,-1.7%,Rhett Lowder,R,17.6,Shota Imanaga,L,20.6,0.689,0.781,7.4,3.32,-3.8,3.9,CONFIRMED ✓,ESTIMATED,104,
2026-05-07,New York Mets,Colorado Rockies,41.6,58.4,-149,123,-150,125,-18.2%,-18.4%,+13.6%,+14.0%,Christian Scott,R,3.0,Jose Quintana,L,12.1,0.645,0.726,4.24,7.11,-2.1,2.3,CONFIRMED ✓,ESTIMATED,118,
2026-05-07,Pittsburgh Pirates,Arizona Diamondbacks,43.7,56.3,-112,-108,-110,-110,-9.1%,-8.7%,+4.4%,+3.9%,Mitch Keller,R,20.5,Zac Gallen,R,16.1,0.72,0.708,4.35,4.73,3.8,-3.8,FADE ✗,ESTIMATED,97,
2026-05-07,Athletics,Philadelphia Phillies,None,None,113,-136,115,-140,N/A,N/A,N/A,N/A,J.T. Ginn,R,0,Andrew Painter,R,14.5,0.722,0.686,6.05,2.75,6.3,-6.3,N/A,ESTIMATED,105,
2026-05-07,Baltimore Orioles,Miami Marlins,36.9,63.1,102,-122,105,-125,-12.6%,-11.9%,+8.1% ** BET **,+7.5% ** BET **,Cade Povich,L,8.1,Max Meyer,R,18.5,0.709,0.706,7.15,4.57,-0.5,0.2,CONFIRMED ✓,ESTIMATED,96,** BET **
2026-05-07,Tampa Bay Rays,Boston Red Sox,None,None,102,-122,100,-120,N/A,N/A,N/A,N/A,Griffin Jax,R,7.0,Jake Bennett,R,0,0.702,0.673,1.14,3.14,0.0,0.0,N/A,ESTIMATED,104,
2026-05-07,St. Louis Cardinals,San Diego Padres,None,None,144,-175,145,-175,N/A,N/A,N/A,N/A,Matthew Liberatore,L,18.0,Michael King,R,0,0.723,0.691,3.43,4.21,0.0,0.0,N/A,ESTIMATED,94,
