date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_hr,season_pa,exp_pa,f_bat,f_platoon,f_arsenal,f_pit,f_park,f_wind,f_temp,wind,hr_pa,p,odds_dk,odds_mgm,odds_czr,fair
2026-09-12,823657,595978,Austin Hedges,Cleveland Guardians,Minnesota Twins,0,Connor Prielipp,687570,L,5,224,3.2,0.89,0.92,0.99,1.0,0.99,1.0,1.0,,0.02666,8.3,1000,900,950,+1105
2026-09-12,823737,667472,Dane Myers,Cincinnati Reds,Milwaukee Brewers,0,TBD,,,6,297,3.2,0.83,1.0,1.0,1.0,1.05,1.0,1.0,,0.02666,8.3,770,575,750,+1105
2026-09-12,824955,647304,Josh Naylor,Seattle Mariners,Athletics,0,Gage Jump,695611,L,10,589,4.3,0.71,0.89,1.09,0.93,1.0,1.0,1.0,,0.01993,8.3,630,500,625,+1105
2026-09-12,824955,642215,Weston Wilson,Seattle Mariners,Athletics,0,Gage Jump,695611,L,4,154,3.2,0.95,1.02,1.07,0.93,1.0,1.0,1.0,,0.02675,8.3,690,,700,+1105
2026-09-12,824224,681393,Connor Norby,Colorado Rockies,Detroit Tigers,0,Andrew Sears,808825,L,7,336,3.6,0.84,0.82,0.94,0.97,0.95,0.78,1.03,WIND 11 IN,0.02347,8.2,620,650,625,+1120
2026-09-12,824224,595879,Javier Báez,Detroit Tigers,Colorado Rockies,1,Tanner Gordon,685299,R,2,180,3.4,0.76,0.8,1.11,1.12,0.95,0.78,1.03,WIND 11 IN,0.02473,8.2,,,,+1120
2026-09-12,823737,686217,Sal Frelick,Milwaukee Brewers,Cincinnati Reds,1,Brady Singer,663903,R,4,354,3.5,0.66,0.8,1.0,1.13,1.05,1.0,1.0,,0.02394,8.1,950,875,850,+1135
2026-09-12,824712,678011,Anthony Seigler,Boston Red Sox,Kansas City Royals,1,Randy Dobnak,677976,R,3,171,3.6,0.85,0.88,0.92,0.93,0.96,1.0,1.0,,0.02297,8.0,,,,+1150
2026-09-12,823657,682177,Daniel Schneemann,Cleveland Guardians,Minnesota Twins,0,Connor Prielipp,687570,L,6,281,3.2,0.86,1.04,1.15,1.0,0.99,1.0,1.0,,0.02575,8.0,,,,+1150
2026-09-12,823657,807712,Luke Keaschall,Minnesota Twins,Cleveland Guardians,1,Daniel Espino,682982,R,9,557,4.0,0.7,1.0,1.15,0.98,0.99,1.0,1.0,,0.02066,8.0,980,700,950,+1150
2026-09-12,822927,622761,Jorge Mateo,Tampa Bay Rays,Houston Astros,1,Peter Lambert,663567,R,5,195,3.2,0.94,0.97,0.98,0.92,0.98,1.0,1.0,,0.02561,8.0,840,1000,850,+1150
2026-09-12,824955,675961,Alika Williams,Athletics,Seattle Mariners,1,Bryan Woo,693433,R,4,200,3.2,0.86,0.94,0.89,0.98,1.0,1.0,1.0,,0.02558,8.0,950,900,850,+1150
2026-09-12,824224,678662,Ezequiel Tovar,Colorado Rockies,Detroit Tigers,0,Andrew Sears,808825,L,10,467,3.5,0.82,0.85,1.03,0.97,0.95,0.78,1.03,WIND 11 IN,0.0231,7.9,730,800,750,+1166
2026-09-12,824630,694378,Jacob Gonzalez,Pittsburgh Pirates,Chicago Cubs,0,Clay Holmes,605280,R,6,214,3.2,0.97,1.05,0.97,0.86,1.0,1.0,1.0,,0.02544,7.9,,,,+1166
2026-09-12,822768,669236,Jeremiah Jackson,Baltimore Orioles,Toronto Blue Jays,0,Spencer Miles,693686,R,7,252,3.2,0.96,1.07,0.92,0.86,1.01,1.16,1.02,WIND 8 OUT,0.02539,7.9,,,,+1166
2026-09-12,822768,665489,Vladimir Guerrero Jr.,Toronto Blue Jays,Baltimore Orioles,1,Kyle Bradish,680694,R,8,563,4.2,0.65,0.8,1.05,0.97,1.01,1.16,1.02,WIND 8 OUT,0.01933,7.9,505,575,575,+1166
2026-09-12,822685,694208,Moisés Ballesteros,Los Angeles Angels,Washington Nationals,0,Andrew Alvarez,674841,L,8,302,3.3,0.94,0.86,0.98,0.86,1.0,1.0,1.0,,0.0246,7.9,970,800,850,+1166
2026-09-12,824712,686681,Michael Massey,Kansas City Royals,Boston Red Sox,0,Ranger Suarez,624133,L,11,399,3.4,0.95,1.04,1.09,0.86,0.96,1.0,1.0,,0.02379,7.9,1220,825,950,+1166
2026-09-12,823657,690984,Petey Halpin,Cleveland Guardians,Minnesota Twins,0,Connor Prielipp,687570,L,3,173,3.2,0.84,0.88,1.12,1.0,0.99,1.0,1.0,,0.02534,7.9,,,,+1166
2026-09-12,823819,665923,Esteury Ruiz,Miami Marlins,Los Angeles Dodgers,1,Tyler Glasnow,607192,R,6,217,3.2,0.96,0.9,1.01,0.94,0.92,1.0,1.0,,0.02531,7.9,,,,+1166
2026-09-12,825035,694497,Evan Carter,Texas Rangers,Arizona Diamondbacks,0,Brandon Pfaadt,694297,R,9,422,3.3,0.83,1.01,0.97,0.96,1.01,1.0,1.0,,0.02448,7.9,900,800,850,+1166
2026-09-12,822768,676391,Ernie Clement,Toronto Blue Jays,Baltimore Orioles,1,Kyle Bradish,680694,R,9,574,4.0,0.68,0.8,0.99,0.97,1.01,1.16,1.02,WIND 8 OUT,0.0202,7.8,,900,950,+1182
2026-09-12,823170,669392,Samad Taylor,San Diego Padres,San Francisco Giants,0,Cesar Perdomo,702885,L,1,130,3.8,0.77,0.88,1.0,1.0,0.91,1.0,1.0,,0.02128,7.8,1800,1150,1300,+1182
2026-09-12,823009,668670,Jake Rogers,Chicago White Sox,St. Louis Cardinals,0,Kyle Leahy,681517,R,4,165,3.2,0.93,0.88,1.04,0.94,0.94,1.0,1.0,,0.02495,7.8,,,,+1182
2026-09-12,823009,671976,Tristan Peters,Chicago White Sox,St. Louis Cardinals,0,Kyle Leahy,681517,R,12,448,3.2,0.93,1.0,1.02,0.94,0.94,1.0,1.0,,0.02499,7.8,1060,1050,1100,+1182
2026-09-12,824630,699393,Pedro Ramírez,Chicago Cubs,Pittsburgh Pirates,1,Paul Skenes,694973,R,5,221,3.2,0.89,0.85,1.06,0.92,1.0,1.0,1.0,,0.02487,7.7,730,575,750,+1199
2026-09-12,823009,695336,Thomas Saggese,St. Louis Cardinals,Chicago White Sox,1,Sean Newcomb,656794,L,4,129,3.2,1.01,1.16,1.03,0.86,0.94,1.0,1.0,,0.02486,7.7,810,900,850,+1199
2026-09-12,824630,665804,Miguel Amaya,Chicago Cubs,Pittsburgh Pirates,1,Paul Skenes,694973,R,5,233,3.2,0.87,0.97,1.06,0.92,1.0,1.0,1.0,,0.02431,7.6,,,,+1216
2026-09-12,822768,687637,Dylan Beavers,Baltimore Orioles,Toronto Blue Jays,0,Spencer Miles,693686,R,7,309,3.4,0.87,1.02,1.13,0.86,1.01,1.16,1.02,WIND 8 OUT,0.02301,7.6,830,600,750,+1216
2026-09-12,822768,702616,Jackson Holliday,Baltimore Orioles,Toronto Blue Jays,0,Spencer Miles,693686,R,7,342,3.6,0.83,0.97,0.99,0.86,1.01,1.16,1.02,WIND 8 OUT,0.02183,7.6,810,525,850,+1216
2026-09-12,822768,665926,Andrés Giménez,Toronto Blue Jays,Baltimore Orioles,1,Kyle Bradish,680694,R,9,470,3.4,0.78,0.87,0.99,0.97,1.01,1.16,1.02,WIND 8 OUT,0.02293,7.6,1120,775,950,+1216
2026-09-12,823819,672640,Otto Lopez,Miami Marlins,Los Angeles Dodgers,1,Tyler Glasnow,607192,R,10,627,4.4,0.68,0.83,1.11,0.94,0.92,1.0,1.0,,0.01786,7.6,1000,1000,950,+1216
2026-09-12,822927,680700,Richie Palacios,Tampa Bay Rays,Houston Astros,1,Peter Lambert,663567,R,9,363,3.2,0.9,1.03,1.06,0.92,0.98,1.0,1.0,,0.02455,7.6,1220,900,1100,+1216
2026-09-12,823737,670770,TJ Friedl,Cincinnati Reds,Milwaukee Brewers,0,TBD,,,4,267,3.2,0.76,1.0,1.0,1.0,1.05,1.0,1.0,,0.02435,7.6,,,,+1216
2026-09-12,825035,814439,Ryan Waldschmidt,Arizona Diamondbacks,Texas Rangers,1,Kumar Rocker,677958,R,3,276,3.5,0.69,0.9,1.15,1.04,1.01,1.0,1.0,,0.02218,7.6,1160,1250,950,+1216
2026-09-12,824955,643446,Jeff McNeil,Athletics,Seattle Mariners,1,Bryan Woo,693433,R,8,469,3.6,0.73,0.99,0.97,0.98,1.0,1.0,1.0,,0.02171,7.6,630,525,575,+1216
2026-09-12,822685,677588,José Tena,Washington Nationals,Los Angeles Angels,1,Walbert Ureña,700712,R,7,277,3.2,0.92,0.99,1.03,0.86,1.0,1.0,1.0,,0.02417,7.5,,,,+1233
2026-09-12,823170,683766,Christian Koss,San Francisco Giants,San Diego Padres,1,Michael King,650633,R,4,170,3.2,0.92,0.8,1.05,0.95,0.91,1.0,1.0,,0.02404,7.5,1440,1600,1300,+1233
2026-09-12,822685,696285,Jacob Young,Washington Nationals,Los Angeles Angels,1,Walbert Ureña,700712,R,10,437,3.4,0.86,0.97,0.93,0.86,1.0,1.0,1.0,,0.02245,7.4,1340,1600,1300,+1251
2026-09-12,823819,688363,Graham Pauley,Miami Marlins,Los Angeles Dodgers,1,Tyler Glasnow,607192,R,3,140,3.2,0.91,0.95,1.03,0.94,0.92,1.0,1.0,,0.02383,7.4,950,1050,850,+1251
2026-09-12,823737,666152,David Hamilton,Milwaukee Brewers,Cincinnati Reds,1,Brady Singer,663903,R,4,356,3.2,0.66,0.8,1.02,1.13,1.05,1.0,1.0,,0.02387,7.4,,,,+1251
2026-09-12,823170,630105,Jake Cronenworth,San Diego Padres,San Francisco Giants,0,Cesar Perdomo,702885,L,5,363,3.9,0.7,0.91,0.98,1.0,0.91,1.0,1.0,,0.01927,7.3,1120,1000,950,+1270
2026-09-12,823170,808982,Jung Hoo Lee,San Francisco Giants,San Diego Padres,1,Michael King,650633,R,9,547,4.1,0.7,0.92,0.99,0.95,0.91,1.0,1.0,,0.01844,7.3,1580,1150,1300,+1270
2026-09-12,823009,803011,Sam Antonacci,Chicago White Sox,St. Louis Cardinals,0,Kyle Leahy,681517,R,8,507,4.0,0.7,0.96,0.99,0.94,0.94,1.0,1.0,,0.01877,7.3,1200,1250,1100,+1270
2026-09-12,824630,663538,Nico Hoerner,Chicago Cubs,Pittsburgh Pirates,1,Paul Skenes,694973,R,8,633,4.4,0.6,0.8,1.09,0.92,1.0,1.0,1.0,,0.01685,7.2,1080,875,950,+1289
2026-09-12,824712,686475,Tyler Tolbert,Kansas City Royals,Boston Red Sox,0,Ranger Suarez,624133,L,3,135,3.2,0.92,0.89,0.93,0.86,0.96,1.0,1.0,,0.02301,7.2,,,,+1289
2026-09-12,823819,682663,Agustín Ramírez,Miami Marlins,Los Angeles Dodgers,1,Tyler Glasnow,607192,R,3,212,3.6,0.78,0.89,0.91,0.94,0.92,1.0,1.0,,0.02048,7.2,,,,+1289
2026-09-12,824870,650333,Luis Arraez,Philadelphia Phillies,Atlanta Braves,0,Tyler Mahle,641816,R,6,608,4.3,0.55,0.83,0.9,1.01,1.02,1.0,1.0,,0.01721,7.2,1500,1250,1300,+1289
2026-09-12,823009,663494,Bryan Torres,St. Louis Cardinals,Chicago White Sox,1,Sean Newcomb,656794,L,4,165,3.2,0.93,0.91,1.1,0.86,0.94,1.0,1.0,,0.02294,7.2,1280,1000,1100,+1289
2026-09-12,824712,668942,Josh Rojas,Kansas City Royals,Boston Red Sox,0,Ranger Suarez,624133,L,2,103,3.2,0.91,1.05,0.96,0.86,0.96,1.0,1.0,,0.02278,7.1,,,,+1308
2026-09-12,823819,805300,Jakob Marsee,Miami Marlins,Los Angeles Dodgers,1,Tyler Glasnow,607192,R,9,564,4.0,0.69,0.93,0.85,0.94,0.92,1.0,1.0,,0.01816,7.1,940,900,950,+1308
2026-09-12,824955,621493,Taylor Ward,Seattle Mariners,Athletics,0,Gage Jump,695611,L,7,597,4.4,0.59,1.08,1.15,0.93,1.0,1.0,1.0,,0.01664,7.1,573,,525,+1308
2026-09-12,823170,687551,Drew Gilbert,San Francisco Giants,San Diego Padres,1,Michael King,650633,R,8,362,3.2,0.85,0.99,0.93,0.95,0.91,1.0,1.0,,0.02229,7.0,980,725,850,+1329
2026-09-12,824870,673490,Ha-Seong Kim,Atlanta Braves,Philadelphia Phillies,1,TBD,,,0,115,3.2,0.72,1.0,1.0,1.0,1.02,1.0,1.0,,0.02244,7.0,970,1050,950,+1329
2026-09-12,825035,681351,Logan O'Hoppe,Texas Rangers,Arizona Diamondbacks,0,Brandon Pfaadt,694297,R,4,274,3.2,0.75,0.98,1.03,0.96,1.01,1.0,1.0,,0.02228,7.0,,,,+1329
2026-09-12,824712,655316,Andruw Monasterio,Boston Red Sox,Kansas City Royals,1,Randy Dobnak,677976,R,6,327,3.3,0.79,0.8,1.03,0.93,0.96,1.0,1.0,,0.02154,6.9,,,,+1349
2026-09-12,824712,657136,Connor Wong,Boston Red Sox,Kansas City Royals,1,Randy Dobnak,677976,R,4,229,3.2,0.82,0.8,0.85,0.93,0.96,1.0,1.0,,0.02214,6.9,,,,+1349
2026-09-12,823009,686668,Brenton Doyle,Chicago White Sox,St. Louis Cardinals,0,Kyle Leahy,681517,R,3,186,3.2,0.82,0.84,0.98,0.94,0.94,1.0,1.0,,0.02205,6.9,,,,+1349
2026-09-12,823009,701675,Nathan Church,St. Louis Cardinals,Chicago White Sox,1,Sean Newcomb,656794,L,10,422,3.3,0.87,0.95,0.85,0.86,0.94,1.0,1.0,,0.02155,6.9,1140,800,950,+1349
2026-09-12,823170,666023,Freddy Fermin,San Diego Padres,San Francisco Giants,0,Cesar Perdomo,702885,L,4,249,3.2,0.79,1.03,1.0,1.0,0.91,1.0,1.0,,0.02162,6.8,,1000,,+1371
2026-09-12,824712,664728,Kyle Isbel,Kansas City Royals,Boston Red Sox,0,Ranger Suarez,624133,L,6,292,3.3,0.84,0.91,0.92,0.86,0.96,1.0,1.0,,0.0211,6.8,1620,1400,1300,+1371
2026-09-12,824712,643396,Isiah Kiner-Falefa,Boston Red Sox,Kansas City Royals,1,Randy Dobnak,677976,R,2,154,3.2,0.81,0.83,0.85,0.93,0.96,1.0,1.0,,0.02186,6.8,2300,1400,1500,+1371
