player_id,name,so,pa
500743,Miguel Rojas,26,245
502054,Tommy Pham,10,29
502671,Paul Goldschmidt,86,375
514888,Jose Altuve,113,559
518595,Travis d'Arnaud,24,80
518692,Freddie Freeman,114,650
521692,Salvador Perez,119,615
543510,James McCann,39,157
543760,Marcus Semien,101,539
543807,George Springer,93,510
543877,Christian Vázquez,53,266
545121,Ildemaro Vargas,47,484
545341,Randal Grichuk,60,269
545361,Mike Trout,162,624
547180,Bryce Harper,144,679
553869,Elias Díaz,58,236
553993,Eugenio Suárez,165,490
571448,Nolan Arenado,119,586
571657,Kyle Farmer,4,17
571771,Enrique Hernández,27,87
571912,Luke Maile,14,45
571970,Max Muncy,140,553
572233,Christian Walker,146,621
573262,Mike Yastrzemski,95,397
575929,Willson Contreras,134,533
592518,Manny Machado,141,666
592663,J.T. Realmuto,99,458
592885,Christian Yelich,131,489
593428,Xander Bogaerts,108,600
595879,Javier Báez,40,192
595978,Austin Hedges,44,241
596019,Francisco Lindor,91,454
596115,Trevor Story,83,259
596117,Garrett Stubbs,14,63
596142,Gary Sánchez,57,269
605137,Josh Bell,123,619
605141,Mookie Betts,55,517
605170,Victor Caratini,78,378
606192,Teoscar Hernández,132,481
606466,Ketel Marte,86,610
607043,Brandon Nimmo,145,642
607208,Trea Turner,144,686
608070,José Ramírez,69,533
608324,Alex Bregman,101,693
608348,Carson Kelly,69,422
608369,Corey Seager,101,423
620443,Luis Torrens,58,277
621020,Dansby Swanson,112,478
621438,Tyrone Taylor,40,234
621493,Taylor Ward,130,606
621566,Matt Olson,169,688
622268,Donovan Walton,43,258
622761,Jorge Mateo,68,213
623168,Tyler Heineman,29,196
624413,Pete Alonso,167,690
624424,Michael Conforto,80,305
624428,Adam Frazier,39,147
624431,Jose Trevino,29,152
624641,Edmundo Sosa,51,243
630105,Jake Cronenworth,94,412
640459,Brian Navarreto,20,58
640902,Jhonny Pereda,17,93
641343,Jake Bauers,151,565
641355,Cody Bellinger,87,558
641487,J.P. Crawford,95,481
641680,Jonah Heim,69,383
641857,Ryan McMahon,104,356
642086,Dominic Smith,47,294
642215,Weston Wilson,55,175
642350,Jose Siri,79,244
642708,Amed Rosario,56,240
643217,Andrew Benintendi,109,461
643289,Mauricio Dubón,73,612
643376,Danny Jansen,53,216
643396,Isiah Kiner-Falefa,27,176
643446,Jeff McNeil,58,509
645277,Ozzie Albies,101,674
645302,Victor Robles,22,149
645305,Ali Sánchez,25,88
647304,Josh Naylor,78,637
650333,Luis Arraez,28,655
650402,Gleyber Torres,81,420
650490,Yandy Díaz,98,678
650559,Bryan De La Cruz,17,80
650968,Yohel Pozo,7,58
655316,Andruw Monasterio,67,337
656537,Derek Hill,69,216
656716,Zach McKinstry,68,418
656775,Cedric Mullins,94,492
656811,Ryan O'Hearn,95,440
656941,Kyle Schwarber,218,687
656976,Pavin Smith,23,113
657136,Connor Wong,57,233
660271,Shohei Ohtani,147,606
660670,Ronald Acuña Jr.,101,460
660688,Keibert Ruiz,36,347
660821,Jesús Sánchez,75,315
660844,Leo Rivas,39,141
661388,William Contreras,93,631
661531,Brian Serven,21,82
663330,Jahmai Jones,56,175
663457,Lars Nootbaar,66,320
663494,Bryan Torres,38,186
663538,Nico Hoerner,58,679
663586,Austin Riley,195,618
