date,pk,pitcher_id,name,team,opp,home,hand,season_so,season_bf,season_gs,season_ip,prior_so,prior_bf,bf_l5,bf_season,exp_bf,p_pit,f_pit,lineup_src,lineup_n,lineup_k,f_lineup,pk_pa,exp_k,p_over_3.5,p_over_4.5,p_over_5.5,p_over_6.5,p_over_7.5,p_over_8.5,line_dk,over_dk,under_dk,line_fd,over_fd,under_fd,line_mgm,over_mgm,under_mgm,line_czr,over_czr,under_czr,alts,cons_line,p_over_cons,fair_over,fair_under,best_side,best_book,best_line,best_price,best_edge,odds_at,built_at
2026-09-11,824631,696062,Wilber Dotel,Pittsburgh Pirates,Chicago Cubs,0,R,34,138,0,32.7,0,0,21.76,21.76,21.76,0.2314,1.047,previous,9,0.2061,0.932,0.2159,4.69,0.6889,0.5104,0.3387,0.201,0.107,0.0513,1.5,-164,128,,,,,,,,,,"{""dk"":{""0.5"":[-810,null],""1.5"":[-165,null],""2.5"":[159,null],""3.5"":[317,null],""4.5"":[572,null],""5.5"":[1020,null],""6.5"":[1820,null]},""czr"":{""0.5"":[-1700,null],""1.5"":[-164,null],""2.5"":[172,null],""3.5"":[325,null],""4.5"":[650,null]}}",1.5,0.9372,-1492,+1492,over,czr,2.5,172,0.4712,2026-09-11T15:31:00Z,2026-09-11T15:31:00Z
2026-09-11,824631,684007,Shota Imanaga,Chicago Cubs,Pittsburgh Pirates,1,L,152,637,28,156.3,117,567,19.67,22.69,21.18,0.2318,1.049,previous,9,0.2271,1.027,0.2381,4.94,0.7258,0.5557,0.3826,0.2362,0.1309,0.0653,6.5,109,-139,6.5,116,-148,6.5,100,-135,,,,"{""fd"":{""3.5"":[-1600,null],""4.5"":[-520,null],""5.5"":[-210,null],""6.5"":[116,null],""7.5"":[230,null],""8.5"":[450,null]},""dk"":{""3.5"":[-1360,null],""4.5"":[-474,null],""5.5"":[-201,null],""6.5"":[106,null],""7.5"":[213,null],""8.5"":[436,null],""9.5"":[890,null],""10.5"":[1740,null]},""czr"":{""9.5"":[700,null],""3.5"":[-2000,null],""4.5"":[-480,null],""5.5"":[-190,null],""6.5"":[111,null],""7.5"":[194,null],""8.5"":[360,null]},""mgm"":{""6.5"":[100,null],""7.5"":[180,null],""5.5"":[-200,null],""4.5"":[-400,null],""8.5"":[333,null]}}",6.5,0.2362,+323,-323,under,mgm,6.5,-135,0.2291,2026-09-11T15:31:00Z,2026-09-11T15:31:00Z
2026-09-11,824227,690279,Mason Adams,Colorado Rockies,Detroit Tigers,0,R,17,59,3,13.7,0,0,18.0,20.82,19.41,0.2363,1.069,previous,9,0.2291,1.037,0.2448,4.59,0.6751,0.4944,0.3227,0.1876,0.0973,0.0453,3.5,-169,132,3.5,-154,122,3.5,-150,110,,,,"{""fd"":{""2.5"":[-460,null],""3.5"":[-154,null],""4.5"":[146,null],""5.5"":[320,null],""6.5"":[750,null]},""czr"":{""2.5"":[-530,null],""3.5"":[-152,null],""4.5"":[135,null],""5.5"":[295,null],""6.5"":[625,null],""7.5"":[1400,null]},""mgm"":{""3.5"":[-150,null],""4.5"":[150,null],""2.5"":[-375,null],""5.5"":[300,null],""6.5"":[600,null]}}",3.5,0.6751,-208,+208,over,mgm,3.5,-150,0.1176,2026-09-11T15:31:00Z,2026-09-11T15:31:00Z
2026-09-11,824227,664285,Framber Valdez,Detroit Tigers,Colorado Rockies,1,L,119,688,28,157.7,187,802,27.0,24.26,25.63,0.186,0.841,previous,9,0.2272,1.028,0.1914,4.93,0.7204,0.5483,0.3768,0.2333,0.1305,0.0661,4.5,-136,106,4.5,-142,112,4.5,-155,115,,,,"{""fd"":{""2.5"":[-1400,null],""3.5"":[-400,null],""4.5"":[-142,null],""5.5"":[152,null],""6.5"":[320,null],""7.5"":[680,null]},""czr"":{""2.5"":[-2000,null],""3.5"":[-440,null],""4.5"":[-150,null],""5.5"":[133,null],""6.5"":[255,null],""7.5"":[500,null],""8.5"":[1000,null]},""dk"":{""1.5"":[-3400,null],""2.5"":[-810,null],""3.5"":[-304,null],""4.5"":[-136,null],""5.5"":[152,null],""6.5"":[309,null],""7.5"":[620,null],""8.5"":[1200,null]},""mgm"":{""5.5"":[125,null],""2.5"":[-800,null],""6.5"":[240,null],""4.5"":[-155,null],""3.5"":[-325,null]}}",4.5,0.5483,-121,+121,under,mgm,4.5,115,0.0182,2026-09-11T15:31:00Z,2026-09-11T15:31:00Z
2026-09-11,822684,579328,Yusei Kikuchi,Los Angeles Angels,Washington Nationals,0,L,49,216,10,49.0,174,772,18.0,20.83,19.41,0.2257,1.021,previous,9,0.2153,0.974,0.2199,4.12,0.5943,0.4045,0.2432,0.1294,0.0613,0.026,5.5,102,-130,5.5,106,-136,5.5,-105,-125,,,,"{""fd"":{""2.5"":[-2200,null],""3.5"":[-590,null],""4.5"":[-225,null],""5.5"":[106,null],""6.5"":[215,null],""7.5"":[450,null]},""mgm"":{""6.5"":[180,null],""7.5"":[325,null],""4.5"":[-220,null],""5.5"":[-105,null],""3.5"":[-500,null]},""czr"":{""9.5"":[1300,null],""3.5"":[-675,null],""4.5"":[-240,null],""5.5"":[103,null],""6.5"":[187,null],""7.5"":[360,null],""8.5"":[700,null]},""dk"":{""2.5"":[-1680,null],""3.5"":[-529,null],""4.5"":[-217,null],""5.5"":[101,null],""6.5"":[211,null],""7.5"":[438,null],""8.5"":[890,null],""9.5"":[1760,null]}}",5.5,0.2432,+311,-311,under,mgm,5.5,-125,0.2365,2026-09-11T15:31:00Z,2026-09-11T15:31:00Z
2026-09-11,822684,676917,Cade Cavalli,Washington Nationals,Los Angeles Angels,1,R,185,663,30,158.7,40,219,24.0,22.41,23.2,0.2609,1.181,previous,9,0.251,1.136,0.2943,6.69,0.8941,0.7985,0.6672,0.5154,0.3654,0.2368,6.5,-143,112,6.5,-146,114,6.5,-135,100,,,,"{""fd"":{""3.5"":[-3500,null],""4.5"":[-900,null],""5.5"":[-350,null],""6.5"":[-146,null],""7.5"":[132,null],""8.5"":[255,null],""9.5"":[500,null]},""mgm"":{""6.5"":[-135,null],""4.5"":[-525,null],""7.5"":[140,null],""8.5"":[250,null],""5.5"":[-250,null]},""czr"":{""9.5"":[400,null],""4.5"":[-850,null],""5.5"":[-295,null],""6.5"":[-150,null],""7.5"":[115,null],""8.5"":[220,null]},""dk"":{""3.5"":[-1880,null],""4.5"":[-630,null],""5.5"":[-280,null],""6.5"":[-144,null],""7.5"":[132,null],""8.5"":[241,null],""9.5"":[443,null],""10.5"":[820,null],""11.5"":[1500,null]}}",6.5,0.5154,-106,+106,under,fd,6.5,114,0.0441,2026-09-11T15:31:00Z,2026-09-11T15:31:00Z
2026-09-11,823498,690997,Nolan McLean,New York Mets,New York Yankees,0,R,179,671,28,161.7,57,188,23.33,23.62,23.48,0.2654,1.201,previous,9,0.2368,1.071,0.2831,6.44,0.878,0.7716,0.6311,0.4749,0.3269,0.2053,6.5,118,-151,6.5,102,-130,6.5,-110,-120,,,,"{""fd"":{""3.5"":[-1800,null],""4.5"":[-520,null],""5.5"":[-230,null],""6.5"":[102,null],""7.5"":[200,null],""8.5"":[390,null]},""czr"":{""9.5"":[650,null],""3.5"":[-2000,null],""4.5"":[-480,null],""5.5"":[-200,null],""6.5"":[105,null],""7.5"":[180,null],""8.5"":[340,null]},""dk"":{""2.5"":[-3500,null],""3.5"":[-920,null],""4.5"":[-362,null],""5.5"":[-169,null],""6.5"":[118,null],""7.5"":[229,null],""8.5"":[454,null],""9.5"":[880,null],""10.5"":[1700,null]},""mgm"":{""4.5"":[-500,null],""7.5"":[165,null],""6.5"":[-110,null],""5.5"":[-220,null],""8.5"":[300,null]}}",6.5,0.4749,+111,-111,over,dk,6.5,118,0.0423,2026-09-11T15:31:00Z,2026-09-11T15:31:00Z
2026-09-11,823498,607074,Carlos Rodón,New York Yankees,New York Mets,1,L,70,267,13,64.0,203,789,18.33,20.95,19.64,0.2569,1.162,previous,9,0.2048,0.927,0.2389,4.72,0.6942,0.5169,0.3443,0.2048,0.109,0.0521,5.5,101,-129,5.5,108,-138,5.5,100,-135,,,,"{""fd"":{""2.5"":[-2200,null],""3.5"":[-590,null],""4.5"":[-240,null],""5.5"":[108,null],""6.5"":[215,null],""7.5"":[440,null]},""czr"":{""3.5"":[-590,null],""4.5"":[-218,null],""5.5"":[108,null],""6.5"":[193,null],""7.5"":[375,null],""8.5"":[750,null]},""dk"":{""2.5"":[-1880,null],""3.5"":[-556,null],""4.5"":[-222,null],""5.5"":[101,null],""6.5"":[214,null],""7.5"":[465,null],""8.5"":[980,null]},""mgm"":{""6.5"":[190,null],""4.5"":[-200,null],""7.5"":[340,null],""3.5"":[-450,null],""5.5"":[100,null]}}",5.5,0.3443,+190,-190,under,dk,5.5,-129,0.1247,2026-09-11T15:31:00Z,2026-09-11T15:31:00Z
2026-09-11,822767,605135,Chris Bassitt,Baltimore Orioles,Toronto Blue Jays,0,R,61,388,15,85.3,166,736,24.67,22.15,23.41,0.1801,0.815,previous,9,0.1828,0.827,0.1476,3.36,0.4345,0.2546,0.1308,0.0594,0.0241,0.0088,3.5,-102,-125,3.5,-102,-125,3.5,100,-135,,,,"{""fd"":{""2.5"":[-320,null],""3.5"":[-102,null],""4.5"":[220,null],""5.5"":[500,null]},""mgm"":{""4.5"":[225,null],""3.5"":[100,null],""5.5"":[425,null],""2.5"":[-235,null],""6.5"":[850,null]},""czr"":{""1.5"":[-1250,null],""2.5"":[-280,null],""3.5"":[102,null],""4.5"":[220,null],""5.5"":[500,null],""6.5"":[1100,null]},""dk"":{""1.5"":[-840,null],""2.5"":[-261,null],""3.5"":[-103,null],""4.5"":[226,null],""5.5"":[512,null],""6.5"":[1100,null]}}",3.5,0.4345,+130,-130,under,fd,3.5,-125,0.0417,2026-09-11T15:31:00Z,2026-09-11T15:31:00Z
2026-09-11,822767,453286,Max Scherzer,Toronto Blue Jays,Baltimore Orioles,1,R,48,272,14,62.7,82,358,21.33,19.16,20.25,0.1975,0.894,previous,9,0.2633,1.191,0.2367,4.67,0.6875,0.5089,0.3366,0.1987,0.1049,0.0497,5.5,115,-147,5.5,122,-156,5.5,105,-140,,,,"{""fd"":{""2.5"":[-1600,null],""3.5"":[-480,null],""4.5"":[-192,null],""5.5"":[122,null],""6.5"":[240,null],""7.5"":[500,null]},""mgm"":{""3.5"":[-450,null],""5.5"":[105,null],""4.5"":[-190,null],""6.5"":[200,null],""7.5"":[400,null]},""czr"":{""3.5"":[-500,null],""4.5"":[-197,null],""5.5"":[115,null],""6.5"":[215,null],""7.5"":[400,null],""8.5"":[800,null]},""dk"":{""2.5"":[-1420,null],""3.5"":[-444,null],""4.5"":[-186,null],""5.5"":[115,null],""6.5"":[241,null],""7.5"":[490,null],""8.5"":[990,null]}}",5.5,0.3366,+197,-197,under,mgm,5.5,-140,0.1188,2026-09-11T15:31:00Z,2026-09-11T15:31:00Z
