season,game_id,date,home_team,away_team,home_win,home_era,home_whip,home_k9,home_bb9,away_era,away_whip,away_k9,away_bb9,home_ops,home_kpct,away_ops,away_kpct,era_diff,k9_diff,ops_diff
2023,718762,2023-04-01,New York Yankees,San Francisco Giants,0,4.64,1.35,8.43,2.6,3.87,1.32,7.79,2.2,0.72,23.9,0.677,24.5,-0.7699999999999996,0.6399999999999997,0.0429999999999999
2023,718757,2023-04-01,Oakland Athletics,Los Angeles Angels,0,7.18,1.49,9.46,5.13,4.11,1.51,7.96,4.6,0.693,25.1,0.744,24.8,-3.0699999999999994,1.5000000000000009,-0.051
2023,718761,2023-04-01,Boston Red Sox,Baltimore Orioles,1,4.3,1.13,10.96,2.54,4.12,1.31,8.18,2.87,0.749,22.2,0.744,22.4,-0.1799999999999997,2.780000000000001,0.005
2023,718756,2023-04-01,Cincinnati Reds,Pittsburgh Pirates,1,6.29,1.75,12.32,2.62,5.41,1.52,7.93,3.57,0.67,24.2,0.694,24.0,-0.8799999999999999,4.390000000000001,-0.0239999999999999
2023,718754,2023-04-01,Tampa Bay Rays,Detroit Tigers,1,3.5,1.02,9.42,1.22,7.26,1.68,6.97,4.35,0.801,23.0,0.634,24.2,3.76,2.45,0.167
2023,718751,2023-04-01,Kansas City Royals,Minnesota Twins,0,6.28,1.24,6.08,2.28,2.79,1.15,8.95,2.69,0.622,23.3,0.68,26.6,-3.49,-2.869999999999999,-0.058
2023,718755,2023-04-01,Miami Marlins,New York Mets,0,4.24,1.44,10.66,5.96,4.7,1.58,7.48,4.13,0.707,21.3,0.742,22.0,0.4599999999999999,3.18,-0.035
2023,718750,2023-04-01,San Diego Padres,Colorado Rockies,1,3.22,1.16,8.31,2.88,6.45,1.61,5.84,4.43,0.728,21.2,0.716,25.5,3.23,2.4700000000000006,0.012
2023,718749,2023-04-01,Los Angeles Dodgers,Arizona Diamondbacks,1,2.46,1.06,9.36,2.73,10.26,2.4,5.4,8.1,0.807,21.5,0.702,20.4,7.8,3.959999999999999,0.1050000000000001
2023,718746,2023-04-01,Seattle Mariners,Cleveland Guardians,0,3.73,1.08,8.92,1.7,3.46,1.16,8.53,2.43,0.705,25.9,0.7,18.7,-0.27,0.3900000000000005,0.005
2023,718742,2023-04-02,Tampa Bay Rays,Detroit Tigers,1,0.56,0.5,13.5,2.25,6.9,1.68,8.35,4.0,0.812,23.0,0.651,24.2,6.34,5.15,0.161
2023,718748,2023-04-02,Boston Red Sox,Baltimore Orioles,1,5.01,1.37,8.41,3.48,4.42,1.28,7.91,2.44,0.749,22.2,0.739,22.4,-0.5899999999999999,0.5,0.01
2023,718743,2023-04-02,Washington Nationals,Atlanta Braves,1,4.42,1.4,9.97,3.76,5.81,1.5,5.13,4.44,0.716,18.9,0.855,20.6,1.3899999999999997,4.840000000000001,-0.139
2023,718747,2023-04-02,New York Yankees,San Francisco Giants,1,4.28,1.22,7.17,2.79,5.36,1.35,7.08,1.62,0.718,23.9,0.705,24.5,1.08,0.0899999999999998,0.013
2023,718744,2023-04-02,Cincinnati Reds,Pittsburgh Pirates,1,4.76,1.37,6.86,3.21,3.86,1.31,8.92,3.38,0.723,24.2,0.72,24.0,-0.8999999999999999,-2.06,0.003
2023,718741,2023-04-02,Miami Marlins,New York Mets,0,4.0,1.22,9.5,3.0,2.98,1.22,10.93,4.17,0.704,21.3,0.679,22.0,-1.02,-1.4299999999999995,0.0249999999999999
2023,718745,2023-04-02,Kansas City Royals,Minnesota Twins,0,4.57,1.92,6.15,8.93,4.51,1.17,10.97,1.89,0.68,23.3,0.709,26.6,-0.0600000000000005,-4.82,-0.0289999999999999
2023,718740,2023-04-02,Houston Astros,Chicago White Sox,0,4.0,1.3,10.33,3.33,3.77,1.23,7.54,2.74,0.697,19.8,0.691,23.8,-0.2299999999999999,2.79,0.006
2023,718737,2023-04-02,St. Louis Cardinals,Toronto Blue Jays,1,3.2,1.19,7.92,2.29,3.6,1.18,8.37,2.66,0.761,21.4,0.732,20.9,0.3999999999999999,-0.4499999999999993,0.029
2023,718738,2023-04-02,Chicago Cubs,Milwaukee Brewers,0,4.84,1.28,8.16,2.39,6.56,1.67,8.29,4.63,0.729,22.4,0.683,23.2,1.7199999999999998,-0.129999999999999,0.0459999999999999
2023,718734,2023-04-02,Oakland Athletics,Los Angeles Angels,0,5.36,1.56,8.43,4.53,5.43,1.49,7.6,4.09,0.686,25.1,0.793,24.8,0.0699999999999994,0.8300000000000001,-0.1069999999999999
2023,718736,2023-04-02,Los Angeles Dodgers,Arizona Diamondbacks,0,6.5,1.39,5.68,1.93,7.0,1.66,7.87,4.26,0.763,21.5,0.723,20.4,0.5,-2.1900000000000004,0.04
2023,718733,2023-04-02,San Diego Padres,Colorado Rockies,1,3.57,1.2,8.61,2.21,5.5,1.49,5.63,2.78,0.709,21.2,0.669,25.5,1.93,2.9799999999999995,0.0399999999999999
2023,718735,2023-04-02,Seattle Mariners,Cleveland Guardians,0,5.22,1.46,6.12,3.24,5.24,1.46,5.24,3.16,0.692,25.9,0.698,18.7,0.0200000000000004,0.8799999999999999,-0.006
2023,718739,2023-04-02,Texas Rangers,Philadelphia Phillies,1,4.45,1.4,5.91,3.11,5.36,1.41,6.69,2.23,0.817,22.5,0.741,23.9,0.91,-0.7800000000000002,0.0759999999999999
2023,718731,2023-04-03,Milwaukee Brewers,New York Mets,1,3.86,1.12,11.41,2.93,6.8,1.7,6.6,3.8,0.699,23.2,0.737,22.0,2.94,4.8100000000000005,-0.038
2023,718730,2023-04-03,Chicago White Sox,San Francisco Giants,0,5.43,1.59,9.32,6.33,4.88,1.25,7.13,1.81,0.694,23.8,0.724,24.5,-0.5499999999999998,2.1900000000000004,-0.03
2023,718728,2023-04-03,Cincinnati Reds,Chicago Cubs,1,11.45,2.36,7.36,5.73,5.0,1.43,8.92,3.54,0.675,24.2,0.699,22.4,-6.449999999999999,-1.5599999999999996,-0.0239999999999999
2023,718729,2023-04-03,Miami Marlins,Minnesota Twins,0,6.02,1.26,6.71,2.58,3.16,1.05,9.82,1.75,0.695,21.3,0.71,26.6,-2.8599999999999994,-3.1100000000000003,-0.015
2023,718732,2023-04-03,Washington Nationals,Tampa Bay Rays,0,5.55,1.6,6.92,3.3,2.62,1.05,9.47,2.22,0.726,18.9,0.779,23.0,-2.93,-2.5500000000000007,-0.053
2023,718725,2023-04-03,New York Yankees,Philadelphia Phillies,1,4.97,1.25,9.52,2.84,4.38,1.31,7.19,3.7,0.731,23.9,0.738,23.9,-0.5899999999999999,2.329999999999999,-0.007
2023,718724,2023-04-03,Boston Red Sox,Pittsburgh Pirates,0,4.04,1.11,9.39,2.51,4.31,1.37,8.0,4.2,0.746,22.2,0.715,24.0,0.2699999999999996,1.3900000000000006,0.031
2023,718719,2023-04-03,Kansas City Royals,Toronto Blue Jays,1,5.52,1.45,7.5,2.76,3.65,1.19,8.73,2.47,0.599,23.3,0.736,20.9,-1.87,-1.2300000000000004,-0.137
2023,718727,2023-04-03,St. Louis Cardinals,Atlanta Braves,0,6.23,1.74,5.48,4.15,3.64,1.43,10.08,4.57,0.761,21.4,0.845,20.6,-2.5900000000000003,-4.6,-0.0839999999999999
2023,718726,2023-04-03,Texas Rangers,Baltimore Orioles,0,4.12,1.29,8.12,3.09,2.83,1.04,8.96,2.35,0.78,22.5,0.69,22.4,-1.29,-0.8400000000000016,0.09
2023,718723,2023-04-03,Houston Astros,Detroit Tigers,0,5.09,1.36,10.29,3.18,5.45,1.32,9.25,3.17,0.743,19.8,0.63,24.2,0.3600000000000003,1.0399999999999991,0.1129999999999999
2023,718721,2023-04-03,Oakland Athletics,Cleveland Guardians,0,6.34,1.59,8.41,4.57,7.59,1.97,5.91,2.11,0.667,25.1,0.709,18.7,1.25,2.5,-0.0419999999999999
2023,718722,2023-04-03,San Diego Padres,Arizona Diamondbacks,1,6.55,1.68,6.71,4.53,5.31,1.42,6.0,2.88,0.738,21.2,0.716,20.4,-1.2400000000000002,0.71,0.022
2023,718720,2023-04-03,Seattle Mariners,Los Angeles Angels,0,3.35,1.04,8.12,0.9,4.48,1.35,10.17,3.63,0.659,25.9,0.769,24.8,1.1300000000000003,-2.0500000000000007,-0.1099999999999999
2023,718718,2023-04-03,Los Angeles Dodgers,Colorado Rockies,1,6.13,1.48,9.52,2.48,5.82,1.68,7.89,5.82,0.813,21.5,0.698,25.5,-0.3099999999999996,1.63,0.1149999999999999
2023,718717,2023-04-04,San Diego Padres,Arizona Diamondbacks,0,4.56,1.3,9.31,2.84,3.47,1.12,9.43,2.01,0.687,21.2,0.723,20.4,-1.0899999999999994,-0.1199999999999992,-0.0359999999999999
2023,718716,2023-04-04,Cincinnati Reds,Chicago Cubs,0,9.0,2.23,3.81,4.15,4.63,1.28,8.36,3.22,0.706,24.2,0.723,22.4,-4.37,-4.549999999999999,-0.017
2023,718714,2023-04-04,Miami Marlins,Minnesota Twins,1,4.14,1.21,7.36,2.34,4.23,1.17,10.09,2.42,0.704,21.3,0.675,26.6,0.0900000000000007,-2.7299999999999995,0.0289999999999999
2023,718715,2023-04-04,Washington Nationals,Tampa Bay Rays,0,8.45,1.96,7.28,6.57,4.7,1.45,4.35,3.31,0.721,18.9,0.792,23.0,-3.749999999999999,2.9300000000000006,-0.071
2023,718710,2023-04-04,New York Yankees,Philadelphia Phillies,0,4.56,1.08,9.44,2.82,3.29,1.02,11.09,2.16,0.737,23.9,0.704,23.9,-1.2699999999999996,-1.6500000000000004,0.033
2023,718713,2023-04-04,Boston Red Sox,Pittsburgh Pirates,0,4.04,1.12,11.54,3.15,6.59,1.57,7.24,4.21,0.748,22.2,0.679,24.0,2.55,4.299999999999999,0.0689999999999999
2023,718708,2023-04-04,Kansas City Royals,Toronto Blue Jays,0,3.94,1.31,9.0,1.13,3.86,1.27,9.72,2.58,0.596,23.3,0.737,20.9,-0.08,-0.7200000000000006,-0.141
2023,718712,2023-04-04,Milwaukee Brewers,New York Mets,1,3.14,1.14,5.91,2.84,3.77,1.12,10.26,2.65,0.672,23.2,0.741,22.0,0.6299999999999999,-4.35,-0.0689999999999999
2023,718711,2023-04-04,St. Louis Cardinals,Atlanta Braves,0,3.86,1.33,8.4,2.74,7.6,1.89,3.93,3.15,0.695,21.4,0.828,20.6,3.74,4.470000000000001,-0.133
2023,718709,2023-04-04,Texas Rangers,Baltimore Orioles,0,4.15,1.38,9.22,3.67,4.73,1.32,7.36,2.58,0.808,22.5,0.729,22.4,0.5800000000000001,1.8600000000000003,0.079
2023,718705,2023-04-04,Houston Astros,Detroit Tigers,0,3.45,1.13,9.09,2.59,3.58,1.04,5.77,2.42,0.746,19.8,0.619,24.2,0.1299999999999999,3.3200000000000003,0.127
