date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_hr,season_pa,exp_pa,f_bat,f_platoon,f_arsenal,f_pit,f_park,f_wind,f_temp,wind,hr_pa,p,odds_dk,odds_mgm,odds_czr,fair
2026-09-08,823414,670541,Yordan Alvarez,Houston Astros,Philadelphia Phillies,0,Andrew Painter,691725,R,38,628,4.4,1.68,1.12,1.0,1.1,1.06,1.12,1.06,HOT 84F · WIND 6 OUT,0.05954,23.7,,,,+322
2026-09-08,823414,656941,Kyle Schwarber,Philadelphia Phillies,Houston Astros,1,Hayden Wesneski,669713,R,43,621,4.5,1.87,1.17,1.01,0.91,1.06,1.12,1.06,HOT 84F · WIND 6 OUT,0.05464,22.3,,,,+348
2026-09-08,824875,691406,Junior Caminero,Tampa Bay Rays,Atlanta Braves,0,AJ Smith-Shawver,700363,R,39,629,4.4,1.71,1.16,1.11,1.04,1.02,1.0,1.06,HOT 85F,0.05516,22.1,,,,+352
2026-09-08,823901,660271,Shohei Ohtani,Los Angeles Dodgers,Cincinnati Reds,1,Nick Lodolo,666157,L,30,596,4.4,1.44,1.16,0.95,1.12,1.1,1.14,1.07,HOT 86F · WIND 7 OUT,0.05361,21.5,,,,+365
2026-09-08,824875,621566,Matt Olson,Atlanta Braves,Tampa Bay Rays,1,Freddy Peralta,642547,R,37,627,4.3,1.64,1.14,0.98,1.05,1.02,1.0,1.06,HOT 85F,0.05369,21.1,,,,+374
2026-09-08,823738,691718,Pete Crow-Armstrong,Chicago Cubs,Milwaukee Brewers,0,Jacob Misiorowski,694819,R,41,653,4.5,1.74,1.18,1.1,0.91,1.05,1.0,1.0,ROOF,0.05045,20.8,,,,+381
2026-09-08,824792,624413,Pete Alonso,Baltimore Orioles,Cleveland Guardians,1,Tanner Bibee,676440,R,34,631,4.3,1.53,1.12,0.96,1.1,1.03,1.0,1.05,HOT 83F,0.05259,20.7,,,,+383
2026-09-08,823500,696100,Hunter Goodman,Colorado Rockies,New York Yankees,0,Cam Schlittler,693645,R,36,512,4.1,1.84,1.2,1.0,0.91,1.08,1.06,1.02,WIND 3 OUT,0.05454,20.5,,,,+388
2026-09-08,823500,700250,Ben Rice,New York Yankees,Colorado Rockies,1,Gabriel Hughes,687312,R,36,594,4.3,1.67,1.19,1.15,0.92,1.08,1.06,1.02,WIND 3 OUT,0.05007,19.8,,,,+405
2026-09-08,823250,695578,James Wood,Washington Nationals,San Diego Padres,0,Casey Mize,663554,R,30,558,4.7,1.51,1.14,1.15,0.98,0.98,1.0,1.08,HOT 88F,0.04353,18.9,312,,305,+429
2026-09-08,824551,808959,Munetaka Murakami,Chicago White Sox,Pittsburgh Pirates,1,Bubba Chandler,696149,R,30,476,4.4,1.67,1.2,1.06,0.87,1.05,0.75,1.05,HOT 83F · WIND 13 IN,0.0462,18.8,,,,+432
2026-09-08,823500,592450,Aaron Judge,New York Yankees,Colorado Rockies,1,Gabriel Hughes,687312,R,17,264,4.4,1.53,1.15,1.07,0.92,1.08,1.06,1.02,WIND 3 OUT,0.04591,18.7,,,,+435
2026-09-08,823901,571970,Max Muncy,Los Angeles Dodgers,Cincinnati Reds,1,Nick Lodolo,666157,L,26,494,3.7,1.46,1.05,0.93,1.12,1.1,1.14,1.07,HOT 86F · WIND 7 OUT,0.05431,18.7,428,340,390,+435
2026-09-08,824957,672960,Kazuma Okamoto,Toronto Blue Jays,Athletics,0,Jack Perkins,678022,R,29,568,4.1,1.45,1.05,1.01,1.1,1.0,1.0,1.09,HOT 90F,0.04846,18.4,320,,350,+443
2026-09-08,824228,693307,Dillon Dingler,Detroit Tigers,Minnesota Twins,1,Dean Kremer,665152,R,26,559,4.2,1.35,1.2,0.96,1.19,0.95,0.86,1.03,WIND 7 IN,0.04649,18.1,,,,+452
2026-09-08,824551,664040,Brandon Lowe,Pittsburgh Pirates,Chicago White Sox,0,Sean Burke,680732,R,29,591,4.4,1.41,1.19,1.1,0.97,1.05,0.75,1.05,HOT 83F · WIND 13 IN,0.04347,17.8,,,,+462
2026-09-08,823901,605141,Mookie Betts,Los Angeles Dodgers,Cincinnati Reds,1,Nick Lodolo,666157,L,18,452,4.3,1.19,0.98,0.97,1.12,1.1,1.14,1.07,HOT 86F · WIND 7 OUT,0.04426,17.7,426,340,390,+465
