date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_h,season_pa,season_g,pa_g,n_eff,f_bat,f_pit,f_park,h_pa,p,p2,odds_dk,odds_mgm,odds_czr,odds2_dk,odds2_mgm,odds2_czr,fair,fair2,odds_dk_u
2026-09-11,824873,673490,Ha-Seong Kim,Atlanta Braves,Philadelphia Phillies,1,Aaron Nola,605400,R,13,114,41,2.78,2.61,0.9,1.04,1.0,0.20218,44.5,7.9,,,,,,,+125,+1166,
2026-09-11,824631,807713,Matt Shaw,Chicago Cubs,Pittsburgh Pirates,1,Wilber Dotel,696062,R,36,176,67,2.63,2.47,0.98,0.99,1.0,0.21176,44.4,7.6,,,,,,,+125,+1216,
2026-09-11,822684,677588,José Tena,Washington Nationals,Los Angeles Angels,1,Yusei Kikuchi,579328,L,56,277,109,2.54,2.39,0.97,1.03,1.0,0.2171,44.3,7.4,,,,,,,+126,+1251,
2026-09-11,823498,642708,Amed Rosario,New York Yankees,New York Mets,1,Nolan McLean,690997,R,50,227,82,2.77,2.6,1.01,0.93,0.99,0.20142,44.3,7.7,,,,,,,+126,+1199,
2026-09-11,822930,666211,Taylor Trammell,Houston Astros,Tampa Bay Rays,0,Drew Rasmussen,656876,R,47,254,88,2.89,2.72,0.94,0.95,0.99,0.19224,44.0,7.8,122,100,103,770,550,650,+127,+1182,-163
2026-09-11,823498,641857,Ryan McMahon,New York Yankees,New York Mets,1,Nolan McLean,690997,R,64,330,114,2.89,2.72,0.95,0.93,0.99,0.19073,43.8,7.7,-113,-120,-117,558,450,500,+128,+1199,-118
2026-09-11,823012,687363,Victor Scott II,St. Louis Cardinals,Chicago White Sox,1,Anthony Kay,641743,L,31,186,69,2.7,2.54,0.93,1.01,0.99,0.20237,43.7,7.4,,,,,,,+129,+1251,
2026-09-11,822767,681297,Colton Cowser,Baltimore Orioles,Toronto Blue Jays,0,Max Scherzer,453286,R,65,351,130,2.7,2.54,0.93,1.0,1.0,0.20207,43.6,7.4,-111,-115,-113,567,525,500,+129,+1251,-120
2026-09-11,823498,669224,Austin Wells,New York Yankees,New York Mets,1,Nolan McLean,690997,R,55,351,111,3.16,2.97,0.87,0.93,0.99,0.17432,43.4,7.9,-109,100,-108,544,575,550,+130,+1166,-122
2026-09-11,823012,686780,Pedro Pagés,St. Louis Cardinals,Chicago White Sox,1,Anthony Kay,641743,L,38,198,78,2.54,2.39,0.96,1.01,0.99,0.21011,43.1,6.9,,,,,,,+132,+1349,
