Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds
2026-08-02,Philadelphia Phillies,Baltimore Orioles,52.4,47.6,-137,114,-140,115,-5.4%,-5.9%,+0.9%,+1.1%,Zack Wheeler,R,51.5,90.1,2367.0,13.3,Kyle Bradish,R,59.0,90.5,2439.0,8.4,0.702,0.712,4.55,4.7,N/A,N/A,N/A,ESTIMATED,102,,,-2.9%,+2.9%,-3.2%,+3.2%,Baltimore Orioles,-135,115
2026-08-02,Washington Nationals,Atlanta Braves,None,None,104,-126,105,-125,N/A,N/A,N/A,N/A,Cade Cavalli,R,58.3,91.7,2223.0,9.8,TBD,R,0,None,None,None,0.772,0.732,4.83,3.64,4.4,-4.2,N/A,ESTIMATED,102,,,N/A,N/A,N/A,N/A,,105,-125
2026-08-02,St. Louis Cardinals,Toronto Blue Jays,41.5,58.5,-104,-116,-102,-118,-9.5%,-9.0%,+4.8%,+4.4%,Matthew Liberatore,L,51.3,89.1,2362.0,9.7,Max Scherzer,R,12.3,87.8,2209.0,6.9,0.691,0.684,4.07,2.8,10.0,-9.9,FADE ✗,ESTIMATED,100,,,-7.2%,+7.2%,-6.8%,+6.8%,Toronto Blue Jays,-105,-115
2026-08-02,Arizona Diamondbacks,Cleveland Guardians,47.6,52.4,123,-149,125,-150,+2.8%,+3.2% ** BET **,-7.4%,-7.6%,Merrill Kelly,R,54.7,89.3,2315.0,9.5,Gavin Williams,R,66.7,90.9,2271.0,13.4,0.709,0.68,4.2,3.9,-2.1,2.2,CONFIRMED ✓,ESTIMATED,98,** BET **,,+4.8%,-4.8%,+5.1%,-5.1%,Arizona Diamondbacks,122,-145
2026-08-02,Pittsburgh Pirates,Cincinnati Reds,40.8,59.2,129,-156,125,-155,-2.9%,-3.6%,-1.7%,-1.6%,Mitch Keller,R,56.8,88.7,2397.0,8.6,Chase Burns,R,56.3,94.5,2635.0,12.8,0.754,0.705,4.58,3.13,-9.6,9.7,CONFIRMED ✓,ESTIMATED,106,,,-1.0%,+1.0%,-1.4%,+1.4%,,130,-155
2026-08-02,Chicago White Sox,Tampa Bay Rays,40.0,60.0,124,-150,125,-150,-4.6%,-4.4%,+0.0%,+0.0%,Anthony Kay,L,51.8,90.0,2276.0,9.7,Griffin Jax,R,43.3,91.5,2539.0,13.2,0.722,0.729,2.84,1.57,-0.2,0.2,N/A,ESTIMATED,98,,,-2.6%,+2.6%,-2.5%,+2.5%,,130,-155
2026-08-02,Miami Marlins,New York Mets,None,None,-120,-101,-120,100,N/A,N/A,N/A,N/A,Sandy Alcantara,R,0,None,None,None,Robert Stock,R,0,None,None,None,0.734,0.685,3.8,2.75,5.5,-5.5,N/A,ESTIMATED,97,,,N/A,N/A,N/A,N/A,,-120,100
2026-08-02,Texas Rangers,Houston Astros,45.0,55.0,104,-126,105,-125,-4.0%,-3.8%,-0.8%,-0.6%,Kumar Rocker,R,51.3,89.2,2131.0,10.5,Peter Lambert,R,51.5,89.3,2218.0,10.4,0.721,0.735,4.37,3.92,0.2,0.0,N/A,ESTIMATED,99,,,-1.8%,+1.8%,-1.7%,+1.7%,,105,-125
2026-08-02,New York Yankees,Chicago Cubs,51.3,48.7,-130,108,-130,105,-5.2%,-5.2%,+0.6%,-0.1%,Gerrit Cole,R,34.0,91.9,2375.0,10.0,Colin Rea,R,55.8,89.5,2046.0,8.0,0.723,0.752,2.68,2.49,12.9,-12.9,CONFIRMED ✓,ESTIMATED,104,,,-2.7%,+2.7%,-2.4%,+2.4%,,-130,110
2026-08-02,Kansas City Royals,Colorado Rockies,58.8,41.2,-106,-114,-105,-115,+7.3%,+7.6%,-12.1%,-12.3%,Seth Lugo,R,61.8,85.6,2517.0,7.2,Kyle Freeland,L,49.7,87.0,2258.0,9.4,0.713,0.741,3.88,6.08,-0.9,0.9,N/A,ESTIMATED,118,,,+9.7%,-9.7%,+9.9%,-9.9%,,-105,-115
2026-08-02,Milwaukee Brewers,Los Angeles Angels,59.2,40.8,-239,194,-235,195,-11.3%,-10.9%,+6.8% ** BET **,+6.9% ** BET **,Jacob Misiorowski,R,60.0,97.8,2557.0,17.3,Walbert Ureña,R,46.7,93.5,2067.0,11.4,0.737,0.697,3.84,4.5,7.4,-7.5,CONFIRMED ✓,ESTIMATED,97,** BET **,,-8.3%,+8.3%,-8.2%,+8.2%,,-240,196
2026-08-02,Detroit Tigers,Athletics,50.2,49.8,-115,-105,-115,-105,-3.3%,-3.3%,-1.4%,-1.4%,Keider Montero,R,55.2,89.8,2354.0,8.0,Gage Jump,L,31.5,91.1,2332.0,10.9,0.725,0.724,3.82,5.7,-8.5,8.7,FADE ✗,ESTIMATED,95,,,-0.9%,+0.9%,-0.9%,+0.9%,,-115,-105
2026-08-02,San Francisco Giants,San Diego Padres,None,None,124,-150,125,-150,N/A,N/A,N/A,N/A,Landen Roupp,R,56.8,87.1,2332.0,9.2,Michael King,R,0,None,None,None,0.725,0.696,3.95,2.86,-3.2,3.3,N/A,ESTIMATED,94,,,N/A,N/A,N/A,N/A,,122,-145
2026-08-02,Minnesota Twins,Seattle Mariners,51.3,48.7,113,-136,115,-140,+4.4% ** BET **,+4.8% ** BET **,-8.9%,-9.6%,Taj Bradley,R,60.3,92.8,2178.0,10.4,George Kirby,R,60.0,92.0,2270.0,10.7,0.725,0.687,3.3,5.56,8.2,-8.2,CONFIRMED ✓,ESTIMATED,96,** BET **,,+6.4%,-6.4%,+6.9%,-6.9%,Minnesota Twins,115,-135
2026-08-02,Boston Red Sox,Los Angeles Dodgers,52.4,47.6,135,-163,135,-165,+9.8%,+9.8%,-14.4%,-14.7%,Jake Bennett,L,32.8,88.7,2081.0,11.5,Emmet Sheehan,R,46.3,88.8,2264.0,14.0,0.709,0.774,3.13,4.65,-4.4,4.4,FADE ✗,ESTIMATED,96,,,+11.7%,-11.7%,+11.8%,-11.8%,,135,-160
