Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Home SP,Flag
2026-04-18,Kansas City Royals,New York Yankees,36.4,63.6,135,-163,135,-160,-6.2%,-6.2%,+1.6%,+2.1%,Noah Cameron,Will Warren,
2026-04-18,Cincinnati Reds,Minnesota Twins,35.0,65.0,141,-171,120,-145,-6.5%,-10.5%,+1.9%,+5.8%,Andrew Abbott,Taj Bradley,
2026-04-18,New York Mets,Chicago Cubs,40.3,59.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Freddy Peralta,Jameson Taillon,
2026-04-18,San Francisco Giants,Washington Nationals,36.0,64.0,-118,-102,-120,100,-18.1%,-18.5%,+13.5% ** BET **,+14.0% ** BET **,Adrian Houser,Cade Cavalli,** BET **
2026-04-18,Tampa Bay Rays,Pittsburgh Pirates,50.4,49.6,139,-168,140,-165,+8.6% ** BET **,+8.7% ** BET **,-13.1%,-12.7%,Drew Rasmussen,Paul Skenes,** BET **
2026-04-18,Chicago White Sox,Athletics,41.1,58.9,135,-163,135,-160,-1.5%,-1.5%,-3.1%,-2.6%,Erick Fedde,Luis Severino,
2026-04-18,Detroit Tigers,Boston Red Sox,60.0,40.0,-163,135,-160,135,-2.0%,-1.5%,-2.6%,-2.6%,Tarik Skubal,Brayan Bello,
2026-04-18,Milwaukee Brewers,Miami Marlins,None,None,-108,-112,-110,-110,N/A,N/A,N/A,N/A,Brandon Woodruff,Sandy Alcantara,
2026-04-18,Baltimore Orioles,Cleveland Guardians,44.8,55.2,113,-136,115,-140,-2.1%,-1.7%,-2.4%,-3.1%,Dean Kremer,Gavin Williams,
2026-04-18,St. Louis Cardinals,Houston Astros,None,None,129,-156,130,-155,N/A,N/A,N/A,N/A,Andre Pallante,Lance McCullers Jr.,
2026-04-18,Texas Rangers,Seattle Mariners,47.9,52.1,123,-149,125,-150,+3.1%,+3.5%,-7.7%,-7.9%,Nathan Eovaldi,George Kirby,
2026-04-18,Atlanta Braves,Philadelphia Phillies,56.5,43.5,109,-131,110,-130,+8.7% ** BET **,+8.9% ** BET **,-13.2%,-13.0%,Chris Sale,Cristopher Sánchez,** BET **
2026-04-18,Los Angeles Dodgers,Colorado Rockies,65.0,35.0,-293,234,-285,230,-9.6%,-9.0%,+5.1%,+4.7%,Emmet Sheehan,Ryan Feltner,
2026-04-18,Toronto Blue Jays,Arizona Diamondbacks,43.7,56.3,102,-122,100,-120,-5.8%,-6.3%,+1.3%,+1.8%,Max Scherzer,Zac Gallen,
2026-04-18,San Diego Padres,Los Angeles Angels,49.1,50.9,-115,-105,-115,-105,-4.4%,-4.4%,-0.3%,-0.3%,Germán Márquez,Yusei Kikuchi,
