Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds
2026-08-11,Cleveland Guardians,Detroit Tigers,45.7,54.3,115,-124,110,-135,-0.8%,-1.9%,-1.1%,-3.1%,Tanner Bibee,R,69.0,87.7,2301.0,9.8,Drew Anderson,R,0,None,None,None,0.707,0.785,5.43,1.53,-2.3,-0.6,CONFIRMED ✓,CONFIRMED+PLATOON,100,,DK vig 101.9%,+0.1%,-0.1%,+0.4%,-0.4%,,112,-122
2026-08-11,Pittsburgh Pirates,Miami Marlins,49.2,50.8,-111,103,-115,-105,-3.4%,-4.3%,+1.5%,-0.4%,Paul Skenes,R,64.8,92.5,2105.0,13.2,Eury Pérez,R,54.8,92.9,2522.0,13.3,0.768,0.744,5.29,3.35,-1.9,-1.0,CONFIRMED ✓,CONFIRMED+PLATOON,96,,DK vig 101.9%,-2.4%,+2.4%,-1.9%,+1.9%,,-112,102
2026-08-11,Chicago Cubs,Washington Nationals,41.1,58.9,-165,154,-185,150,-21.2%,-23.8%,+19.5%,+18.9%,Shota Imanaga,L,66.3,86.5,2044.0,13.0,Jake Irvin,R,31.0,86.8,2377.0,9.9,0.738,0.924,3.44,3.5,-1.2,-1.8,FADE ✗,CONFIRMED+PLATOON,99,,DK vig 101.7%,-20.2%,+20.2%,-20.8%,+20.8%,,-177,162
2026-08-11,Seattle Mariners,New York Yankees,44.9,55.1,120,-129,115,-140,-0.6%,-1.6%,-1.2%,-3.2%,Bryan Woo,R,63.7,92.5,2277.0,11.2,Ryan Weathers,L,60.5,88.8,2338.0,11.1,0.709,0.766,4.33,1.91,-2.4,-0.4,CONFIRMED ✓,CONFIRMED+PLATOON,101,,DK vig 101.8%,+0.2%,-0.2%,+0.5%,-0.5%,,120,-130
2026-08-11,Boston Red Sox,Toronto Blue Jays,40.2,59.8,126,-136,115,-140,-4.0%,-6.3%,+2.2%,+1.5%,Patrick Sandoval,L,12.0,88.8,2201.0,11.3,Dylan Cease,R,63.2,91.1,2485.0,13.5,0.721,0.713,2.86,3.28,-1.4,-1.2,N/A,PARTIAL,100,,DK vig 101.8%,-3.2%,+3.2%,-4.2%,+4.2%,Toronto Blue Jays,123,-133
2026-08-11,New York Mets,Atlanta Braves,43.7,56.3,116,-124,110,-135,-2.6%,-3.9%,+0.9%,-1.1%,Nolan McLean,R,65.3,91.1,2496.0,9.5,Martín Pérez,L,50.2,85.2,1973.0,8.7,0.696,0.762,4.29,3.11,2.6,-5.6,FADE ✗,PARTIAL,102,,DK vig 101.7%,-1.8%,+1.8%,-1.6%,+1.6%,,115,-125
2026-08-11,Baltimore Orioles,Minnesota Twins,42.1,57.9,102,-109,-105,-115,-7.4%,-9.1%,+5.7% ** BET **,+4.4% ** BET **,Brandon Young,R,53.8,88.5,2045.0,9.6,Bailey Ober,R,46.5,83.6,2152.0,9.2,0.627,0.694,3.9,4.03,-3.3,0.2,CONFIRMED ✓,CONFIRMED+PLATOON,100,** BET **,DK vig 101.7%,-6.6%,+6.6%,-6.8%,+6.8%,Minnesota Twins,101,-111
2026-08-11,Cincinnati Reds,Chicago White Sox,39.1,60.9,138,-148,135,-160,-2.9%,-3.5%,+1.2%,-0.6%,Nick Lodolo,L,31.3,89.7,2277.0,8.7,Sean Burke,R,64.3,89.8,2511.0,10.6,0.681,0.7,5.12,6.02,-0.5,-2.3,FADE ✗,CONFIRMED+PLATOON,99,,DK vig 101.7%,-2.2%,+2.2%,-1.8%,+1.8%,,141,-151
2026-08-11,Philadelphia Phillies,St. Louis Cardinals,53.5,46.5,-163,152,-175,145,-8.5%,-10.1%,+6.8% ** BET **,+5.7% ** BET **,Cristopher Sánchez,L,74.8,90.4,2081.0,14.7,Andre Pallante,R,62.0,89.8,2290.0,7.6,0.709,0.696,3.99,3.57,9.8,-12.9,CONFIRMED ✓,ESTIMATED,98,** BET **,DK vig 101.7%,-7.5%,+7.5%,-7.4%,+7.4%,St. Louis Cardinals,-160,150
2026-08-11,Texas Rangers,Los Angeles Angels,69.8,30.2,-145,135,-160,135,+10.6%,+8.3%,-12.4%,-12.4%,Cody Bradford,L,2.2,84.1,1883.0,4.3,Ryan Johnson,R,25.3,87.4,2242.0,10.3,0.716,0.688,2.62,4.8,4.6,-7.4,CONFIRMED ✓,ESTIMATED,97,,DK vig 101.8%,+11.6%,-11.6%,+10.7%,-10.7%,,-153,143
