date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_h,season_pa,season_g,pa_g,n_eff,f_bat,f_pit,f_park,h_pa,p,p2,odds_dk,odds_mgm,odds_czr,odds2_dk,odds2_mgm,odds2_czr,fair,fair2,odds_dk_u
2026-09-18,823572,650333,Luis Arraez,Philadelphia Phillies,New York Mets,0,Zac Thornton,804267,L,180,630,145,4.34,4.08,1.19,1.02,0.98,0.26104,70.9,28.9,-290,-295,-320,193,180,187,-244,+246,
2026-09-18,822847,703520,Brett Bateman,Toronto Blue Jays,Texas Rangers,0,Kumar Rocker,677958,R,46,157,34,4.62,4.34,1.1,1.03,1.01,0.24665,70.7,29.2,-257,-235,-250,205,210,184,-241,+242,189
2026-09-18,824790,694192,Jackson Chourio,Milwaukee Brewers,Baltimore Orioles,0,TBD,,,141,539,118,4.57,4.3,1.12,1.0,1.0,0.24368,69.9,28.2,-329,-285,-380,161,180,158,-232,+255,
2026-09-18,822923,650490,Yandy Díaz,Tampa Bay Rays,Boston Red Sox,1,Ranger Suarez,624133,L,173,655,147,4.46,4.19,1.14,1.0,0.99,0.24418,69.1,27.2,-339,-325,-360,163,165,161,-224,+268,
2026-09-18,824303,647304,Josh Naylor,Seattle Mariners,Colorado Rockies,0,TBD,,,153,612,143,4.28,4.02,1.09,1.0,1.07,0.25341,69.1,27.0,-389,,-390,141,,152,-224,+270,
2026-09-18,823252,672640,Otto Lopez,Miami Marlins,San Diego Padres,0,Nick Pivetta,601713,R,182,650,149,4.36,4.1,1.18,0.98,0.99,0.24903,69.1,27.1,-213,-225,-230,258,230,215,-224,+269,158
2026-09-18,824303,668227,Randy Arozarena,Seattle Mariners,Colorado Rockies,0,TBD,,,150,630,145,4.34,4.08,1.06,1.0,1.07,0.24587,68.4,26.3,-337,,-380,158,,155,-216,+280,
2026-09-18,823331,693304,Nick Gonzales,Pittsburgh Pirates,Kansas City Royals,1,Randy Dobnak,677976,R,160,580,141,4.11,3.86,1.16,1.01,1.01,0.25683,68.2,25.8,-304,-250,-295,186,210,177,-214,+288,
2026-09-18,824303,664983,Jake McCarthy,Colorado Rockies,Seattle Mariners,1,Bryan Woo,693433,R,151,558,138,4.04,3.8,1.14,0.98,1.07,0.26028,68.2,25.7,-361,,-440,145,,136,-214,+289,
2026-09-18,824138,670541,Yordan Alvarez,Houston Astros,Atlanta Braves,1,Tyler Mahle,641816,R,166,651,149,4.37,4.11,1.11,1.02,0.99,0.24304,68.2,26.1,-225,-225,-235,246,230,205,-214,+283,167
2026-09-18,825032,672515,Gabriel Moreno,Arizona Diamondbacks,New York Yankees,1,Gerrit Cole,543037,R,136,514,122,4.21,3.96,1.12,1.02,1.01,0.25139,68.2,26.0,-250,-285,-245,226,185,191,-214,+285,184
2026-09-18,822923,802415,Chandler Simpson,Tampa Bay Rays,Boston Red Sox,1,Ranger Suarez,624133,L,169,585,144,4.06,3.82,1.2,1.0,0.99,0.2575,67.9,25.5,-242,-275,-235,239,200,188,-212,+292,179
2026-09-18,823898,518692,Freddie Freeman,Los Angeles Dodgers,San Francisco Giants,1,Cesar Perdomo,702885,L,161,624,145,4.3,4.04,1.12,1.02,0.99,0.24414,67.7,25.6,-239,-250,-245,238,200,184,-210,+291,177
2026-09-18,824303,681198,TJ Rumfield,Colorado Rockies,Seattle Mariners,1,Bryan Woo,693433,R,156,600,147,4.08,3.84,1.12,0.98,1.07,0.25459,67.6,25.2,-244,,-240,226,,188,-209,+297,180
2026-09-18,823252,665487,Fernando Tatis Jr.,San Diego Padres,Miami Marlins,1,Tyler Phillips,663969,R,170,669,151,4.43,4.16,1.11,0.99,0.99,0.23557,67.3,25.4,-331,-275,-335,165,180,168,-206,+294,
2026-09-18,823005,695578,James Wood,Washington Nationals,St. Louis Cardinals,0,Kyle Leahy,681517,R,127,585,126,4.64,4.36,1.0,1.05,0.99,0.2256,67.2,25.5,-197,-200,-209,268,260,240,-205,+292,147
2026-09-18,824138,665161,Jeremy Peña,Houston Astros,Atlanta Braves,1,Tyler Mahle,641816,R,114,443,103,4.3,4.04,1.1,1.02,0.99,0.24065,67.1,25.0,-227,-250,-240,250,210,198,-204,+300,168
2026-09-18,823572,666182,Bo Bichette,New York Mets,Philadelphia Phillies,1,Andrew Painter,691725,R,158,653,151,4.32,4.06,1.07,1.04,0.98,0.23833,66.9,24.8,-262,-275,-250,214,188,184,-202,+303,193
2026-09-18,824463,682829,Elly De La Cruz,Cincinnati Reds,Chicago Cubs,1,Clay Holmes,605280,R,150,597,134,4.46,4.19,1.1,0.96,1.01,0.23147,66.8,24.9,-206,-250,-225,269,210,210,-201,+302,154
2026-09-18,824303,677594,Julio Rodríguez,Seattle Mariners,Colorado Rockies,0,TBD,,,137,619,142,4.36,4.1,1.01,1.0,1.07,0.23487,66.6,24.6,-383,,-400,139,,144,-199,+307,
2026-09-18,824463,691718,Pete Crow-Armstrong,Chicago Cubs,Cincinnati Reds,0,Chase Burns,695505,R,167,687,153,4.49,4.22,1.08,0.96,1.01,0.22816,66.5,24.7,-270,-250,-250,195,200,191,-199,+305,
