Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds,Game#,GamePk,DK RL Away,DK RL Home,MGM RL Away,MGM RL Home
2026-09-23,Washington Nationals,Detroit Tigers,52.8,47.2,144,-174,140,-170,+11.8%,+11.1%,-16.3%,-15.8%,Richard Lovelady,L,16.3,86.8,2407.0,8.6,Framber Valdez,L,84.3,88.0,2290.0,7.9,0.798,0.681,3.33,3.66,0.7,-0.8,N/A,CONFIRMED+PLATOON,100,,,+13.6%,-13.6%,+13.0%,-13.0%,,145,-175,1,824223,+1.5@-154,-1.5@128,+1.5@-150,-1.5@125
2026-09-23,Toronto Blue Jays,Baltimore Orioles,52.6,47.4,109,-131,110,-130,+4.8% ** BET **,+5.0% ** BET **,-9.3%,-9.1%,Max Scherzer,R,36.3,87.4,2262.0,8.3,Chris Bassitt,R,48.5,85.5,2189.0,8.4,0.695,0.681,3.21,2.54,0.0,0.0,N/A,CONFIRMED+PLATOON,102,** BET **,,+6.9%,-6.9%,+6.9%,-6.9%,,107,-125,1,824785,+1.5@-205,-1.5@167,+1.5@-200,-1.5@165
2026-09-23,Toronto Blue Jays,Baltimore Orioles,None,None,100,-121,100,-120,N/A,N/A,N/A,N/A,TBD,R,0,None,None,None,Trey Gibson,R,16.5,91.2,2189.0,7.8,0.687,0.671,3.24,2.45,2.2,-2.0,N/A,CONFIRMED+PLATOON,102,,,N/A,N/A,N/A,N/A,,103,-121,2,824784,+1.5@-207,-1.5@169,+1.5@-200,-1.5@165
2026-09-23,Minnesota Twins,San Francisco Giants,38.1,61.9,-162,134,-160,135,-23.7%,-23.4%,+19.2%,+19.3%,Connor Prielipp,L,60.2,90.0,2601.0,9.2,Cesar Perdomo,L,9.7,89.5,2057.0,9.7,0.755,0.798,2.38,4.33,2.0,-2.1,FADE ✗,CONFIRMED+PLATOON,95,,,-21.0%,+21.0%,-21.0%,+21.0%,,-160,135,1,823168,-1.5@108,+1.5@-130,-1.5@110,+1.5@-135
2026-09-23,St. Louis Cardinals,Pittsburgh Pirates,40.4,59.6,118,-143,115,-140,-5.5%,-6.1%,+0.8%,+1.3%,Matthew Liberatore,L,74.7,88.5,2402.0,9.5,Lake Bachar,R,41.7,89.8,2717.0,10.9,0.722,0.717,4.02,3.67,-4.1,4.1,CONFIRMED ✓,CONFIRMED+PLATOON,98,,,-3.4%,+3.4%,-4.0%,+4.0%,Pittsburgh Pirates,118,-138,1,823327,+1.5@-193,-1.5@158,+1.5@-190,-1.5@155
2026-09-23,Milwaukee Brewers,Philadelphia Phillies,61.3,38.7,-129,107,-130,105,+5.0% ** BET **,+4.8% ** BET **,-9.6%,-10.1%,Logan Henderson,R,46.7,88.3,2417.0,12.3,Aaron Nola,R,84.2,85.9,2296.0,11.0,0.766,0.751,3.4,3.81,-2.9,2.9,FADE ✗,CONFIRMED+PLATOON,105,** BET **,,+7.5%,-7.5%,+7.6%,-7.6%,,-129,111,1,823410,-1.5@138,+1.5@-167,-1.5@135,+1.5@-165
2026-09-23,Tampa Bay Rays,New York Yankees,48.6,51.4,113,-137,115,-140,+1.7%,+2.1%,-6.4%,-6.9%,Mason Englert,R,17.8,86.0,2281.0,10.6,Gerrit Cole,R,60.7,92.0,2375.0,9.7,0.752,0.693,1.89,3.42,3.3,-3.1,FADE ✗,CONFIRMED+PLATOON,101,,,+3.8%,-3.8%,+4.2%,-4.2%,Tampa Bay Rays,122,-150,1,823492,+1.5@-207,-1.5@169,+1.5@-210,-1.5@170
2026-09-23,Cleveland Guardians,Boston Red Sox,40.5,59.5,117,-142,115,-140,-5.6%,-6.0%,+0.8%,+1.2%,Foster Griffin,L,83.3,86.0,2156.0,9.3,Sonny Gray,R,81.5,87.4,2502.0,8.7,0.721,0.76,2.8,3.48,-1.8,1.8,CONFIRMED ✓,CONFIRMED+PLATOON,104,,,-3.5%,+3.5%,-3.9%,+3.9%,Boston Red Sox,115,-134,1,824710,+1.5@-199,-1.5@163,+1.5@-200,-1.5@165
2026-09-23,Cincinnati Reds,Atlanta Braves,39.7,60.3,218,-272,220,-275,+8.3%,+8.5%,-12.8%,-13.0%,Andrew Abbott,L,79.5,87.4,2447.0,8.2,Chris Sale,L,78.5,88.7,2357.0,13.1,0.759,0.663,4.67,3.89,-1.0,1.1,N/A,CONFIRMED+PLATOON,102,,,+9.7%,-9.7%,+9.8%,-9.8%,,215,-265,1,824868,+1.5@-105,-1.5@-115,+1.5@-105,-1.5@-115
2026-09-23,Chicago White Sox,Kansas City Royals,60.5,39.5,-120,-101,-120,100,+6.0% ** BET **,+6.0% ** BET **,-10.7%,-10.5%,Bryan Hudson,L,32.7,88.5,2162.0,10.2,Seth Lugo,R,84.5,85.7,2514.0,7.3,0.751,0.709,4.92,7.2,0.4,-0.2,N/A,CONFIRMED+PLATOON,99,** BET **,,+8.4%,-8.4%,+8.3%,-8.3%,,-115,-105,1,824060,-1.5@138,+1.5@-167,-1.5@140,+1.5@-170
2026-09-23,Miami Marlins,Chicago Cubs,44.2,55.8,158,-193,155,-190,+5.4% ** BET **,+5.0% ** BET **,-10.1%,-9.7%,Ryan Gusto,R,41.3,88.6,2244.0,8.4,Kevin Gausman,R,86.0,89.0,2003.0,11.7,0.744,0.761,4.86,3.64,-2.2,2.2,CONFIRMED ✓,CONFIRMED+PLATOON,104,** BET **,,+7.1%,-7.1%,+6.8%,-6.8%,,154,-182,1,824625,+1.5@-149,-1.5@123,+1.5@-145,-1.5@120
2026-09-23,New York Mets,Texas Rangers,50.9,49.1,-109,-110,-110,-110,-1.3%,-1.5%,-3.3%,-3.3%,Nolan McLean,R,86.3,91.2,2503.0,9.2,Cody Bradford,L,19.3,84.7,1906.0,7.2,0.661,0.706,4.0,3.67,0.5,-0.7,N/A,CONFIRMED+PLATOON,103,,,+1.0%,-1.0%,+0.9%,-0.9%,,-110,-107,1,822841,-1.5@152,+1.5@-185,-1.5@150,+1.5@-185
2026-09-23,Arizona Diamondbacks,Colorado Rockies,49.9,50.1,-162,134,-160,135,-11.9%,-11.6%,+7.4%,+7.5%,Merrill Kelly,R,78.3,89.3,2315.0,9.5,Mason Adams,R,11.5,89.4,2282.0,7.5,0.742,0.771,3.8,5.83,0.0,0.0,N/A,CONFIRMED+PLATOON,118,,,-9.2%,+9.2%,-9.2%,+9.2%,,-157,134,1,824301,-1.5@-107,+1.5@-112,-1.5@-105,+1.5@-115
2026-09-23,Los Angeles Angels,Athletics,58.9,41.1,-131,109,-135,110,+2.2%,+1.5%,-6.7%,-6.5%,Walbert Ureña,R,72.2,94.1,2082.0,11.8,Jeffrey Springs,L,69.2,85.9,1991.0,9.3,0.678,0.72,5.3,6.8,0.0,0.0,N/A,ESTIMATED,95,,,+4.6%,-4.6%,+4.2%,-4.2%,Los Angeles Angels,-129,110,1,824951,-1.5@118,+1.5@-143,-1.5@118,+1.5@-145
2026-09-23,San Diego Padres,Los Angeles Dodgers,35.4,64.6,183,-225,185,-225,+0.1%,+0.3%,-4.6%,-4.6%,Robbie Ray,L,81.2,88.5,2134.0,10.0,Yoshinobu Yamamoto,R,89.5,91.1,2181.0,11.6,0.716,0.765,3.83,2.55,-0.1,0.1,N/A,ESTIMATED,96,,,+1.6%,-1.6%,+1.7%,-1.7%,,182,-218,1,823894,+1.5@-115,-1.5@-105,+1.5@-118,-1.5@-102
2026-09-23,Houston Astros,Seattle Mariners,54.2,45.8,101,-122,105,-125,+4.4%,+5.4%,-9.2%,-9.8%,Ethan Pecko,R,14.3,88.8,2280.0,8.8,George Kirby,R,84.8,92.0,2257.0,10.4,0.725,0.691,3.67,3.68,N/A,N/A,N/A,ESTIMATED,96,,,+6.7%,-6.7%,+7.5%,-7.5%,,105,-127,1,823086,+1.5@-192,-1.5@158,+1.5@-190,-1.5@155
