Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds,Game#,GamePk
2026-08-17,St. Louis Cardinals,Cincinnati Reds,59.0,41.0,-109,101,-115,-105,+6.8%,+5.5%,-8.8%,-10.2%,Quinn Mathews,L,4.5,,,,Kent Emanuel,L,2.5,,,,0.697,0.698,2.21,5.17,N/A,N/A,N/A,ESTIMATED,106,,,N/A,N/A,N/A,N/A,,-111,101,1,824514
2026-08-17,St. Louis Cardinals,Cincinnati Reds,56.9,43.1,-116,108,-125,105,+3.2% ** BET **,+1.3%,-5.0%,-5.7%,Andre Pallante,R,65.0,89.9,2285.0,7.4,Rhett Lowder,R,47.2,89.1,2351.0,7.8,0.698,0.699,2.21,5.17,-0.6,0.7,N/A,ESTIMATED,106,** BET **,DK vig 101.8%,+4.1%,-4.1%,+3.6%,-3.6%,St. Louis Cardinals,-121,110,2,824478
2026-08-17,Baltimore Orioles,Tampa Bay Rays,35.8,64.2,147,-158,140,-170,-4.7%,-5.9%,+3.0% ** BET **,+1.2%,Brandon Young,R,56.8,88.5,2051.0,9.6,Shane McClanahan,L,49.5,89.8,2095.0,11.8,0.721,0.768,4.58,5.4,0.0,0.0,N/A,CONFIRMED+PLATOON,98,** BET **,DK vig 101.7%,-4.0%,+4.0%,-4.0%,+4.0%,Tampa Bay Rays,150,-160,1,822939
2026-08-17,Miami Marlins,Philadelphia Phillies,36.7,63.3,224,-242,200,-250,+5.8% ** BET **,+3.4% ** BET **,-7.5%,-8.1%,Janson Junk,R,43.8,88.4,2200.0,5.5,Cristopher Sánchez,L,77.8,90.4,2081.0,14.7,0.76,0.77,3.06,3.46,-8.7,5.7,CONFIRMED ✓,CONFIRMED+PLATOON,105,** BET **,DK vig 101.7%,+6.3%,-6.3%,+4.9%,-4.9%,Miami Marlins,220,-250,1,823427
2026-08-17,Detroit Tigers,Pittsburgh Pirates,59.4,40.6,-105,-103,-110,-110,+8.2%,+7.0%,-10.1%,-11.8%,Framber Valdez,L,66.5,88.0,2290.0,7.8,Carmen Mlodzinski,R,49.8,89.7,2108.0,7.9,0.904,0.755,4.83,3.63,-3.9,1.2,FADE ✗,CONFIRMED+PLATOON,98,,DK vig 101.9%,+9.2%,-9.2%,+9.4%,-9.4%,,-103,-107,1,823343
2026-08-17,Arizona Diamondbacks,Boston Red Sox,37.9,62.1,121,-130,115,-135,-7.3%,-8.6%,+5.6%,+4.7%,Mitch Bratt,L,16.8,86.7,2281.0,6.6,Alec Gamboa,L,8.5,92.9,2108.0,8.9,0.762,0.75,2.89,3.88,1.8,-4.6,FADE ✗,CONFIRMED+PLATOON,104,,DK vig 101.7%,-6.5%,+6.5%,-6.9%,+6.9%,,117,-127,1,824725
2026-08-17,San Diego Padres,New York Mets,44.9,55.1,108,-116,105,-125,-3.2%,-3.9%,+1.4%,-0.5%,Walker Buehler,R,57.2,89.8,2199.0,7.9,Nolan McLean,R,68.3,91.1,2497.0,9.4,0.74,0.706,2.62,3.81,-1.9,-0.8,CONFIRMED ✓,CONFIRMED+PLATOON,97,,DK vig 101.8%,-2.3%,+2.3%,-1.8%,+1.8%,,109,-120,1,823589
2026-08-17,Athletics,Kansas City Royals,29.0,71.0,165,-177,155,-190,-8.7%,-10.2%,+7.1%,+5.5%,Mason Barnett,R,19.0,89.4,2351.0,8.1,Michael Wacha,R,75.3,87.0,1988.0,8.1,0.688,0.716,6.33,3.68,-0.3,-2.5,FADE ✗,CONFIRMED+PLATOON,99,,DK vig 101.6%,-8.1%,+8.1%,-8.4%,+8.4%,,165,-180,1,824077
2026-08-17,Atlanta Braves,Minnesota Twins,53.3,46.7,-124,116,-135,110,-2.1%,-4.1%,+0.4%,-0.9%,Martín Pérez,L,53.2,85.1,1974.0,8.7,Bailey Ober,R,49.5,83.6,2151.0,9.2,0.754,0.742,4.33,6.33,-1.5,-1.6,CONFIRMED ✓,CONFIRMED+PLATOON,100,,DK vig 101.7%,-1.2%,+1.2%,-1.4%,+1.4%,,-125,115,1,823668
2026-08-17,Chicago White Sox,Chicago Cubs,40.7,59.3,145,-155,135,-160,-0.1%,-1.9%,-1.5%,-2.2%,Luis Castillo,R,0,None,None,None,Shota Imanaga,L,68.7,86.5,2041.0,13.0,0.746,0.749,4.09,6.28,-0.5,-2.5,FADE ✗,CONFIRMED+PLATOON,104,,DK vig 101.6%,+0.5%,-0.5%,-0.2%,+0.2%,,140,-150,1,824641
2026-08-17,Los Angeles Dodgers,Colorado Rockies,62.3,37.7,-265,244,-275,220,-10.3%,-11.0%,+8.6%,+6.5%,Blake Snell,L,4.5,89.9,2378.0,15.5,Tomoyuki Sugano,R,56.8,88.2,2288.0,7.1,0.771,0.7,3.09,5.37,1.3,-4.2,CONFIRMED ✓,CONFIRMED+PLATOON,118,,DK vig 101.7%,-9.1%,+9.1%,-7.8%,+7.8%,,-270,235,1,824320
