Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds,Game#,GamePk,DK RL Away,DK RL Home,MGM RL Away,MGM RL Home
2026-09-18,Chicago Cubs,Cincinnati Reds,56.4,43.6,-149,123,-145,118,-3.4%,-2.8%,-1.2%,-2.3%,Clay Holmes,R,45.8,88.7,2164.0,8.2,Chase Burns,R,75.7,94.3,2646.0,12.8,0.771,0.678,3.5,7.82,1.0,-0.8,N/A,PARTIAL,106,,,-0.8%,+0.8%,+0.1%,-0.1%,,-150,122,1,824463,-1.5@113,+1.5@-136,-1.5@115,+1.5@-140
2026-09-18,Kansas City Royals,Pittsburgh Pirates,44.5,55.5,158,-193,154,-190,+5.7% ** BET **,+5.1% ** BET **,-10.4%,-10.0%,Randy Dobnak,R,34.7,87.5,2013.0,7.8,Paul Skenes,R,81.0,92.6,2101.0,12.6,0.718,0.768,4.14,5.71,0.0,0.0,N/A,CONFIRMED+PLATOON,98,** BET **,,+7.4%,-7.4%,+6.9%,-6.9%,,156,-190,1,823331,+1.5@-136,-1.5@113,+1.5@-135,-1.5@110
2026-09-18,Milwaukee Brewers,Baltimore Orioles,56.3,43.7,-155,128,-155,125,-4.5%,-4.5%,-0.2%,-0.7%,Dustin May,R,69.2,92.6,2530.0,9.9,Cade Povich,L,16.7,86.8,2347.0,8.7,0.747,0.711,4.08,4.0,1.8,-1.8,CONFIRMED ✓,ESTIMATED,102,,,-1.8%,+1.8%,-1.5%,+1.5%,,-150,126,1,824790,-1.5@112,+1.5@-135,-1.5@110,+1.5@-135
2026-09-18,Athletics,Cleveland Guardians,22.0,78.0,184,-227,185,-225,-13.2%,-13.1%,+8.6%,+8.8%,Mason Barnett,R,20.3,89.6,2320.0,8.0,Daniel Espino,R,6.2,94.8,2412.0,17.1,0.666,0.72,6.92,3.57,0.2,-0.2,N/A,CONFIRMED+PLATOON,98,,,-11.7%,+11.7%,-11.7%,+11.7%,,184,-218,1,824383,+1.5@-114,-1.5@-106,+1.5@-115,-1.5@-105
2026-09-18,Boston Red Sox,Tampa Bay Rays,48.9,51.1,113,-136,115,-140,+2.0%,+2.4%,-6.5%,-7.2%,Ranger Suarez,L,68.8,85.9,1979.0,8.7,Ian Seymour,L,61.2,86.2,1971.0,13.3,0.716,0.734,3.12,2.0,0.0,0.0,N/A,CONFIRMED+PLATOON,98,,,+4.0%,-4.0%,+4.5%,-4.5%,Boston Red Sox,113,-135,1,822923,+1.5@-194,-1.5@159,+1.5@-190,-1.5@155
2026-09-18,Philadelphia Phillies,New York Mets,None,None,-107,-112,-110,-110,N/A,N/A,N/A,N/A,TBD,R,0,None,None,None,Zac Thornton,L,36.7,87.5,2351.0,8.7,0.71,0.701,3.35,3.57,0.5,-0.4,N/A,ESTIMATED,97,,,N/A,N/A,N/A,N/A,,-103,-114,1,823572,-1.5@154,+1.5@-188,-1.5@150,+1.5@-185
2026-09-18,Detroit Tigers,Chicago White Sox,49.0,51.0,109,-132,110,-135,+1.2%,+1.4%,-5.9%,-6.4%,Andrew Sears,L,8.3,89.3,2161.0,11.5,David Sandlin,R,15.2,90.9,2311.0,8.6,0.715,0.721,3.1,3.47,0.0,0.0,N/A,ESTIMATED,99,,,+3.3%,-3.3%,+3.7%,-3.7%,Detroit Tigers,118,-138,1,824547,+1.5@-187,-1.5@154,+1.5@-190,-1.5@155
2026-09-18,Toronto Blue Jays,Texas Rangers,60.9,39.1,-137,114,-140,115,+3.1% ** BET **,+2.6%,-7.6%,-7.4%,Dylan Cease,R,83.2,90.5,2473.0,12.8,Kumar Rocker,R,69.3,89.2,2141.0,10.6,0.696,0.717,4.17,4.42,0.0,0.0,N/A,ESTIMATED,103,** BET **,,+5.6%,-5.6%,+5.3%,-5.3%,Toronto Blue Jays,-136,116,1,822847,-1.5@128,+1.5@-155,-1.5@125,+1.5@-155
2026-09-18,Seattle Mariners,Colorado Rockies,59.2,40.8,-194,159,-190,155,-6.8%,-6.3%,+2.2%,+1.6%,Bryan Woo,R,81.2,92.7,2266.0,11.1,Gabriel Hughes,R,29.7,89.3,2156.0,8.0,0.692,0.741,4.06,8.1,0.1,-0.1,N/A,ESTIMATED,118,,,-3.9%,+3.9%,-3.4%,+3.4%,Colorado Rockies,-190,156,1,824303,-1.5@-125,+1.5@104,-1.5@-125,+1.5@105
2026-09-18,Atlanta Braves,Houston Astros,48.5,51.5,-120,100,-120,100,-6.0%,-6.0%,+1.5%,+1.5%,Tyler Mahle,R,69.0,89.7,2144.0,9.7,Peter Lambert,R,72.8,89.4,2205.0,10.5,0.721,0.725,5.17,4.21,0.0,0.0,N/A,ESTIMATED,99,,,-3.7%,+3.7%,-3.7%,+3.7%,Houston Astros,-118,101,1,824138,-1.5@137,+1.5@-166,-1.5@135,+1.5@-165
2026-09-18,Washington Nationals,St. Louis Cardinals,52.4,47.6,-111,-108,-110,-110,-0.2%,+0.0%,-4.3%,-4.8%,Cade Cavalli,R,82.3,91.6,2240.0,10.9,Kyle Leahy,R,67.5,89.5,2179.0,8.5,0.749,0.698,3.52,3.6,0.0,0.0,N/A,ESTIMATED,98,,,+2.1%,-2.1%,+2.4%,-2.4%,,-109,-107,1,823005,-1.5@149,+1.5@-181,-1.5@150,+1.5@-185
2026-09-18,Minnesota Twins,Los Angeles Angels,54.4,45.6,-115,-105,-115,-105,+0.9%,+0.9%,-5.6%,-5.6%,Connor Prielipp,L,56.7,90.1,2601.0,9.3,Grayson Rodriguez,R,43.5,89.9,2188.0,9.5,0.72,0.679,4.68,4.19,0.0,0.0,N/A,ESTIMATED,97,,,+3.3%,-3.3%,+3.3%,-3.3%,Minnesota Twins,-120,102,1,823977,-1.5@144,+1.5@-175,-1.5@145,+1.5@-175
2026-09-18,Miami Marlins,San Diego Padres,52.3,47.7,179,-219,180,-220,+16.5%,+16.6%,-21.0%,-21.1%,Tyler Phillips,R,59.5,88.6,2064.0,9.7,Nick Pivetta,R,12.5,89.6,2433.0,7.2,0.728,0.715,4.07,5.23,0.0,0.0,N/A,ESTIMATED,94,,,+18.0%,-18.0%,+18.1%,-18.1%,,168,-200,1,823252,+1.5@-126,-1.5@105,+1.5@-130,-1.5@105
2026-09-18,New York Yankees,Arizona Diamondbacks,41.1,58.9,-118,-102,-118,-102,-13.0%,-13.0%,+8.4%,+8.4%,Gerrit Cole,R,57.7,92.1,2372.0,9.9,Eduardo Rodriguez,L,89.2,88.3,2175.0,9.4,0.721,0.713,3.0,3.86,-0.2,0.0,N/A,ESTIMATED,97,,,-10.6%,+10.6%,-10.6%,+10.6%,,-122,104,1,825032,-1.5@141,+1.5@-171,-1.5@140,+1.5@-170
2026-09-18,San Francisco Giants,Los Angeles Dodgers,42.6,57.4,247,-312,240,-300,+13.8%,+13.2%,-18.3%,-17.6%,Cesar Perdomo,L,7.3,89.6,2035.0,12.1,Tyler Glasnow,R,30.8,90.8,2629.0,11.4,0.718,0.759,4.33,3.15,0.1,-0.1,N/A,ESTIMATED,96,,,+15.0%,-15.0%,+14.4%,-14.4%,,250,-320,1,823898,+1.5@113,-1.5@-137,+1.5@115,-1.5@-140
