Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds
2026-08-01,St. Louis Cardinals,Toronto Blue Jays,None,None,136,-164,135,-165,N/A,N/A,N/A,N/A,Quinn Mathews,R,0,None,None,None,Kevin Gausman,R,60.8,89.1,2008.0,11.5,0.689,0.698,3.88,3.12,1.4,-1.5,N/A,CONFIRMED+PLATOON,100,,,N/A,N/A,N/A,N/A,,135,-160
2026-08-01,Minnesota Twins,Seattle Mariners,44.5,55.5,141,-171,140,-170,+3.0%,+2.8%,-7.6%,-7.5%,Connor Prielipp,L,36.2,89.7,2577.0,8.6,Logan Gilbert,R,62.8,89.5,1941.0,13.2,0.724,0.686,3.17,5.95,2.7,-2.8,FADE ✗,ESTIMATED,96,,,+4.8%,-4.8%,+4.7%,-4.7%,Minnesota Twins,143,-170
2026-08-01,Chicago White Sox,Tampa Bay Rays,40.7,59.3,144,-175,145,-175,-0.3%,-0.1%,-4.3%,-4.3%,Jordan Hicks,R,15.5,94.7,2064.0,9.6,Drew Rasmussen,R,55.7,92.3,2372.0,11.0,0.766,0.731,3.04,1.83,-3.9,3.8,CONFIRMED ✓,PARTIAL,98,,,+1.5%,-1.5%,+1.6%,-1.6%,,143,-170
2026-08-01,Miami Marlins,New York Mets,None,None,113,-136,110,-135,N/A,N/A,N/A,N/A,Tyler Phillips,R,42.2,88.9,2079.0,9.7,Zac Thornton,R,0,None,None,None,0.733,0.685,4.06,2.43,-2.1,1.9,N/A,ESTIMATED,97,,,N/A,N/A,N/A,N/A,,115,-135
2026-08-01,Pittsburgh Pirates,Cincinnati Reds,52.3,47.7,-123,102,-120,100,-2.9%,-2.2%,-1.8%,-2.3%,Braxton Ashcraft,R,61.2,92.4,2473.0,12.1,Andrew Abbott,L,58.5,87.3,2447.0,8.6,0.755,0.707,5.07,3.0,1.9,-1.7,CONFIRMED ✓,ESTIMATED,106,,,-0.4%,+0.4%,+0.1%,-0.1%,,-120,100
2026-08-01,Philadelphia Phillies,Baltimore Orioles,54.2,45.8,-149,123,-145,120,-5.6%,-5.0%,+1.0%,+0.3%,Cristopher Sánchez,L,69.3,90.3,2082.0,14.8,Shane Baz,R,61.0,90.6,2414.0,8.3,0.702,0.716,5.36,4.66,N/A,N/A,N/A,ESTIMATED,102,,,-3.0%,+3.0%,-2.3%,+2.3%,Baltimore Orioles,-145,122
2026-08-01,Texas Rangers,Houston Astros,50.1,49.9,-130,108,-130,105,-6.4%,-6.4%,+1.8%,+1.1%,Jacob deGrom,R,55.2,92.9,2439.0,15.8,Ronel Blanco,R,5.0,87.2,2010.0,11.7,0.721,0.734,4.2,3.91,7.7,-7.7,CONFIRMED ✓,ESTIMATED,99,,,-3.9%,+3.9%,-3.6%,+3.6%,Houston Astros,-130,110
2026-08-01,Arizona Diamondbacks,Cleveland Guardians,None,None,148,-180,150,-185,N/A,N/A,N/A,N/A,Kohl Drake,R,0,None,None,None,Parker Messick,L,62.7,89.7,2089.0,10.4,0.704,0.676,3.58,2.65,-6.6,6.7,N/A,ESTIMATED,98,,,N/A,N/A,N/A,N/A,,150,-178
2026-08-01,Washington Nationals,Atlanta Braves,44.9,55.1,143,-173,140,-170,+3.7% ** BET **,+3.2% ** BET **,-8.3%,-7.9%,Miles Mikolas,R,51.0,88.6,2214.0,5.4,Reynaldo López,R,35.8,88.6,2153.0,8.3,0.775,0.73,4.87,3.73,-3.5,3.4,CONFIRMED ✓,ESTIMATED,102,** BET **,,+5.5%,-5.5%,+5.1%,-5.1%,Washington Nationals,143,-170
2026-08-01,New York Yankees,Chicago Cubs,55.5,44.5,-101,-120,100,-120,+5.3% ** BET **,+5.5% ** BET **,-10.0%,-10.0%,Max Fried,L,34.8,88.1,2266.0,10.0,David Peterson,L,47.3,88.8,2141.0,8.7,0.724,0.752,2.32,2.7,6.6,-6.4,CONFIRMED ✓,ESTIMATED,104,** BET **,,+7.6%,-7.6%,+7.7%,-7.7%,New York Yankees,100,-120
