Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet
2026-07-28,Cleveland Guardians,Cincinnati Reds,45.3,54.7,-137,114,-135,110,-12.5%,-12.1%,+8.0%,+7.1%,Gavin Williams,R,63.2,90.8,2267.0,12.9,Caleb Ferguson,L,10.5,89.1,2497.0,7.6,0.627,0.678,3.71,2.83,18.9,-18.8,FADE ✗,CONFIRMED+PLATOON,106,,,-10.0%,+10.0%,-9.4%,+9.4%,
2026-07-28,Cleveland Guardians,Cincinnati Reds,45.3,54.7,-137,114,-135,110,-12.5%,-12.1%,+8.0%,+7.1%,Gavin Williams,R,63.2,90.8,2267.0,12.9,Caleb Ferguson,L,10.5,89.1,2497.0,7.6,0.627,0.678,3.71,2.83,18.9,-18.8,FADE ✗,CONFIRMED+PLATOON,106,,,-10.0%,+10.0%,-9.4%,+9.4%,
2026-07-28,Baltimore Orioles,Detroit Tigers,28.1,71.9,139,-168,145,-175,-13.7%,-12.7%,+9.2%,+8.3%,Dean Kremer,R,16.0,86.4,2039.0,13.0,Troy Melton,R,30.0,91.8,2195.0,11.0,0.693,0.772,2.89,4.21,-5.7,5.7,CONFIRMED ✓,CONFIRMED+PLATOON,100,,,-11.9%,+11.9%,-11.0%,+11.0%,
2026-07-28,Arizona Diamondbacks,Pittsburgh Pirates,42.3,57.7,113,-136,115,-140,-4.6%,-4.2%,+0.1%,-0.6%,Brandon Pfaadt,R,32.5,89.0,2447.0,9.1,Bubba Chandler,R,50.3,94.6,2349.0,9.8,0.731,0.803,4.62,4.34,2.2,-2.3,FADE ✗,CONFIRMED+PLATOON,98,,,-2.6%,+2.6%,-2.1%,+2.1%,
2026-07-28,Texas Rangers,Tampa Bay Rays,41.9,58.1,144,-175,145,-180,+0.9%,+1.1%,-5.5%,-6.2%,Cal Quantrill,R,26.7,90.1,1960.0,7.3,Griffin Jax,R,40.5,91.6,2541.0,12.6,0.736,0.756,3.0,1.7,0.8,-0.8,N/A,CONFIRMED+PLATOON,98,,,+2.7%,-2.7%,+3.1%,-3.1%,Texas Rangers
2026-07-28,Philadelphia Phillies,Miami Marlins,None,None,107,-129,110,-135,N/A,N/A,N/A,N/A,Aaron Nola,R,54.2,85.8,2304.0,11.1,Sandy Alcantara,R,0,None,None,None,0.706,0.767,4.56,5.02,-8.4,8.5,N/A,CONFIRMED+PLATOON,96,,,N/A,N/A,N/A,N/A,
2026-07-28,Toronto Blue Jays,Washington Nationals,47.5,52.5,-121,101,-120,100,-7.3%,-7.0%,+2.7%,+2.5%,Shane Bieber,R,15.3,88.4,2283.0,8.9,Cade Cavalli,R,55.3,91.7,2220.0,9.9,0.717,0.757,3.98,4.08,-2.2,2.3,CONFIRMED ✓,CONFIRMED+PLATOON,99,,,-4.9%,+4.9%,-4.7%,+4.7%,Washington Nationals
2026-07-28,Kansas City Royals,Minnesota Twins,41.9,58.1,141,-171,140,-170,+0.4%,+0.2%,-5.0%,-4.9%,Seth Lugo,R,58.8,85.6,2512.0,7.4,Taj Bradley,R,57.3,92.8,2175.0,10.3,0.718,0.788,2.77,3.54,-14.6,14.5,CONFIRMED ✓,CONFIRMED+PLATOON,100,,,+2.2%,-2.2%,+2.1%,-2.1%,
2026-07-28,New York Yankees,Chicago White Sox,49.8,50.2,-149,123,-145,120,-10.0%,-9.4%,+5.4% ** BET **,+4.7% ** BET **,Gerrit Cole,R,31.0,91.9,2372.0,9.6,Anthony Kay,L,49.2,90.0,2273.0,9.4,0.712,0.766,3.33,6.11,-3.1,3.1,CONFIRMED ✓,CONFIRMED+PLATOON,99,** BET **,,-7.4%,+7.4%,-6.7%,+6.7%,Chicago White Sox
2026-07-28,Chicago Cubs,St. Louis Cardinals,41.6,58.4,-120,-105,-120,100,-12.9%,-12.9%,+8.4% ** BET **,+8.4%,Colin Rea,R,52.8,89.5,2050.0,8.3,Michael McGreevy,R,57.2,87.0,2199.0,7.3,0.748,0.711,3.17,4.29,-5.4,5.6,CONFIRMED ✓,CONFIRMED+PLATOON,98,** BET **,,-10.6%,+10.6%,-10.6%,+10.6%,
