Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds,Game#,GamePk
2026-08-19,Detroit Tigers,Pittsburgh Pirates,41.9,58.1,136,-146,125,-155,-0.5%,-2.5%,-1.2%,-2.7%,Jackson Jobe,R,4.3,92.2,2502.0,9.7,Paul Skenes,R,67.3,92.5,2101.0,13.0,0.726,0.742,4.69,3.86,-12.8,9.8,CONFIRMED ✓,ESTIMATED,98,,DK vig 101.7%,+0.2%,-0.2%,-0.3%,+0.3%,,135,-145,1,823342
2026-08-19,San Diego Padres,New York Mets,60.6,39.4,-128,119,-135,110,+4.5%,+3.2%,-6.3%,-8.2%,Michael King,R,71.2,88.8,2280.0,10.2,Robert Stock,R,6.2,91.1,2241.0,12.8,0.705,0.696,2.57,3.39,6.1,-8.9,CONFIRMED ✓,ESTIMATED,97,,DK vig 101.8%,+5.5%,-5.5%,+5.9%,-5.9%,San Diego Padres,-130,120,1,823587
2026-08-19,Atlanta Braves,Minnesota Twins,50.0,50.0,-102,-105,-115,-105,-0.5%,-3.5%,-1.2%,-1.2%,AJ Smith-Shawver,R,2.2,92.0,1968.0,2.9,Taj Bradley,R,67.8,92.9,2182.0,10.0,0.727,0.726,3.84,5.14,-6.4,3.4,CONFIRMED ✓,ESTIMATED,100,,DK vig 101.7%,+0.3%,-0.3%,-1.1%,+1.1%,,-105,-105,1,823664
2026-08-19,Chicago White Sox,Chicago Cubs,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TBD,R,0,None,None,None,Clay Holmes,R,31.7,89.2,2180.0,7.1,0.73,0.757,4.21,5.63,N/A,N/A,N/A,ESTIMATED,104,,,N/A,N/A,N/A,N/A,,N/A,N/A,1,824640
2026-08-19,Arizona Diamondbacks,Boston Red Sox,42.7,57.3,123,-149,125,-150,-2.1%,-1.7%,-2.5%,-2.7%,Brandon Pfaadt,R,46.3,89.0,2446.0,8.8,Payton Tolle,L,57.5,92.9,2253.0,12.9,0.712,0.728,5.25,3.71,1.4,-1.3,N/A,ESTIMATED,104,,,-0.1%,+0.1%,+0.2%,-0.2%,,130,-140,1,824722
2026-08-19,Miami Marlins,Philadelphia Phillies,58.1,41.9,109,-131,105,-130,+10.3%,+9.3%,-14.8%,-14.6%,Sandy Alcantara,R,85.3,92.5,2242.0,9.3,Aaron Nola,R,65.0,85.9,2290.0,11.1,0.73,0.713,3.78,3.25,8.3,-8.3,CONFIRMED ✓,ESTIMATED,105,,,+12.4%,-12.4%,+11.8%,-11.8%,,110,-121,1,823424
2026-08-19,New York Yankees,Baltimore Orioles,44.5,55.5,-121,101,-120,100,-10.3%,-10.0%,+5.7% ** BET **,+5.5% ** BET **,Will Warren,R,59.0,90.2,2499.0,8.6,Chris Bassitt,R,30.8,84.9,2166.0,7.7,0.715,0.718,2.18,4.06,-9.7,9.6,CONFIRMED ✓,ESTIMATED,102,** BET **,,-7.9%,+7.9%,-7.7%,+7.7%,,-121,110,1,824801
2026-08-19,San Francisco Giants,Cleveland Guardians,39.7,60.3,153,-186,155,-190,+0.2%,+0.5%,-4.7%,-5.2%,Matt Wilkinson,L,0,None,None,None,Parker Messick,L,71.2,89.9,2096.0,10.6,0.713,0.683,4.58,3.54,0.8,-0.8,N/A,ESTIMATED,98,,,+1.9%,-1.9%,+2.3%,-2.3%,,162,-177,1,824394
2026-08-19,St. Louis Cardinals,Cincinnati Reds,37.9,62.1,122,-148,125,-150,-7.1%,-6.5%,+2.4%,+2.1%,Matthew Liberatore,L,59.5,88.9,2372.0,9.6,Chase Burns,R,65.5,94.3,2645.0,12.7,0.698,0.696,1.9,4.5,-9.3,12.3,CONFIRMED ✓,ESTIMATED,106,,,-5.1%,+5.1%,-4.6%,+4.6%,Cincinnati Reds,130,-140,1,824476
2026-08-19,Toronto Blue Jays,Tampa Bay Rays,35.7,64.3,177,-217,170,-210,-0.4%,-1.3%,-4.2%,-3.4%,Max Scherzer,R,20.5,87.6,2246.0,8.3,Drew Rasmussen,R,64.7,92.4,2370.0,11.3,0.682,0.74,3.38,6.05,-12.9,12.7,CONFIRMED ✓,ESTIMATED,98,,,+1.2%,-1.2%,+0.4%,-0.4%,,183,-203,1,822937
